RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
559,20211110,F,40대,충청북도,700만원 이상,12,12,84,0,0,50,50,0
1013,20211110,M,60대,강원도,300이상500만원 미만,8,7,54,60,20,0,20,0
2804,20211110,M,40대,인천광역시,300이상500만원 미만,6,12,54,50,0,30,20,0
4377,20211110,F,30대,대구광역시,500이상700만원 미만,1,4,13,70,0,0,30,0
5180,20211110,M,40대,부산광역시,300이상500만원 미만,2,2,14,50,20,20,10,0
6686,20211110,F,60대,경기도,700만원 이상,3,6,27,30,20,30,20,0
17503,20211110,F,30대,서울특별시,700만원 이상,3,0,15,10,30,10,50,0
19124,20211110,F,50대,경기도,300이상500만원 미만,2,5,20,5,40,50,5,0
19178,20211110,F,60대,광주광역시,300이상500만원 미만,6,3,36,20,25,15,40,0
19299,20211110,M,50대,충청북도,500이상700만원 미만,2,6,22,70,0,0,30,0
19599,20211110,M,40대,전라북도,700만원 이상,3,5,25,35,60,5,0,0
26724,20211110,F,50대,경기도,700만원 이상,6,12,54,50,10,20,20,0
29747,20211110,M,60대,부산광역시,300이상500만원 미만,3,5,25,20,30,40,10,0
30440,20211110,M,30대,울산광역시,300이상500만원 미만,7,9,53,50,0,20,30,0
31044,20211110,M,50대,전라북도,300이상500만원 미만,2,5,20,30,0,30,40,0
36120,20211110,M,50대,서울특별시,300이상500만원 미만,3,7,29,10,60,10,20,0
36323,20211110,M,60대,인천광역시,300이상500만원 미만,2,5,20,20,0,30,50,0
36760,20211110,M,50대,경기도,300이상500만원 미만,2,5,20,10,70,20,0,0
39652,20211110,M,50대,인천광역시,700만원 이상,5,10,45,60,10,10,20,0
39778,20211110,M,50대,경상북도,500이상700만원 미만,1,3,11,80,10,0,10,0
39865,20211110,M,40대,광주광역시,500이상700만원 미만,2,4,18,50,50,0,0,0
44099,20211110,F,30대,서울특별시,500이상700만원 미만,3,6,27,20,40,10,30,0
45042,20211110,F,40대,강원도,700만원 이상,3,3,21,20,50,20,10,0
47461,20211110,M,40대,대구광역시,700만원 이상,2,5,20,30,20,30,20,0
49825,20211110,M,30대,경기도,700만원 이상,6,12,54,30,50,0,20,0
51828,20211110,F,30대,충청남도,500이상700만원 미만,2,5,20,60,0,0,40,0
53774,20211110,F,30대,서울특별시,300만원 미만,2,2,14,30,30,30,10,0
55334,20211110,F,60대,강원도,300이상500만원 미만,0,3,6,30,0,0,70,0
56077,20211110,F,50대,경상북도,300이상500만원 미만,2,5,20,10,40,20,30,0
57558,20211110,M,50대,경기도,700만원 이상,1,3,11,20,30,20,30,0
57587,20211110,M,60대,인천광역시,300만원 미만,5,7,39,50,5,5,40,0
63028,20211110,M,50대,경기도,700만원 이상,2,6,22,40,20,10,20,10
69988,20211110,M,60대,경상북도,300만원 미만,1,2,9,60,10,10,20,0
73452,20211110,M,50대,전라남도,300이상500만원 미만,2,4,18,20,30,10,40,0
75955,20211110,F,60대,부산광역시,300이상500만원 미만,5,8,41,60,10,10,20,0
84891,20211110,F,30대,인천광역시,300이상500만원 미만,2,10,30,30,20,0,50,0
86366,20211110,M,60대,전라남도,300만원 미만,2,4,18,25,40,5,30,0
91369,20211110,M,20대,서울특별시,500이상700만원 미만,5,10,45,90,5,2,3,0
92680,20211110,F,20대,경기도,300이상500만원 미만,5,10,45,80,15,5,0,0
102389,20211110,F,50대,경기도,무응답,2,4,18,30,0,40,30,0
