RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322457,20230719,M,40대,서울특별시,700만원 이상,1,5,15,50,0,0,0,50
53322541,20230719,F,60대,서울특별시,700만원 이상,6,8,46,50,30,10,10,0
53322723,20230719,M,30대,서울특별시,500이상700만원 미만,2,14,38,30,20,10,10,30
53322756,20230719,M,20대,서울특별시,무응답,3,5,25,60,0,0,40,0
53322901,20230719,F,60대,서울특별시,700만원 이상,3,5,25,50,10,10,30,0
53322935,20230719,F,50대,서울특별시,300만원 미만,1,1,7,50,0,0,0,50
53322959,20230719,F,50대,서울특별시,300만원 미만,1,1,7,20,70,5,5,0
53322987,20230719,M,20대,서울특별시,700만원 이상,2,2,14,100,0,0,0,0
53323259,20230719,F,60대,서울특별시,500이상700만원 미만,18,15,120,30,20,20,30,0
53323411,20230719,F,50대,서울특별시,500이상700만원 미만,2,3,16,50,15,25,10,0
53323462,20230719,M,20대,서울특별시,300만원 미만,5,5,35,40,10,50,0,0
53323475,20230719,M,20대,서울특별시,무응답,3,10,35,70,20,0,10,0
53323480,20230719,M,20대,서울특별시,700만원 이상,4,6,32,50,20,0,30,0
53323507,20230719,F,30대,서울특별시,무응답,4,4,28,20,10,70,0,0
53323522,20230719,M,20대,서울특별시,무응답,2,4,18,50,20,10,20,0
53323543,20230719,M,30대,서울특별시,700만원 이상,3,5,25,50,0,50,0,0
53323563,20230719,F,20대,서울특별시,500이상700만원 미만,2,6,22,50,30,10,10,0
53323687,20230719,F,30대,서울특별시,500이상700만원 미만,7,12,59,50,0,10,10,30
53323719,20230719,F,60대,서울특별시,500이상700만원 미만,8,8,56,50,50,0,0,0
53323734,20230719,M,50대,서울특별시,700만원 이상,3,6,27,30,0,30,40,0
53323757,20230719,M,60대,서울특별시,700만원 이상,8,8,56,50,50,0,0,0
53323865,20230719,M,60대,서울특별시,300만원 미만,3,5,25,10,40,30,20,0
53324073,20230719,F,50대,서울특별시,700만원 이상,3,3,21,50,0,0,50,0
53324087,20230719,M,60대,서울특별시,300만원 미만,6,4,38,20,70,0,10,0
53324471,20230719,M,30대,서울특별시,700만원 이상,2,5,20,0,50,50,0,0
53324571,20230719,F,40대,서울특별시,300만원 미만,3,4,23,80,0,20,0,0
53324973,20230719,M,60대,서울특별시,300이상500만원 미만,1,3,11,50,30,0,20,0
53325330,20230719,M,60대,서울특별시,300이상500만원 미만,2,4,18,30,50,0,20,0
53325458,20230719,M,60대,경상북도,300만원 미만,2,2,14,30,50,10,10,0
53325515,20230719,F,50대,경기도,500이상700만원 미만,3,5,25,0,50,50,0,0
53325572,20230719,M,50대,경상북도,300이상500만원 미만,1,2,9,10,60,20,10,0
53325671,20230719,F,30대,경기도,500이상700만원 미만,2,6,22,40,40,0,20,0
53325875,20230719,M,20대,경기도,500이상700만원 미만,2,4,18,50,10,20,20,0
53326016,20230719,M,30대,경상남도,300만원 미만,3,3,21,20,0,0,80,0
53326063,20230719,F,30대,서울특별시,무응답,5,3,31,60,0,40,0,0
53326095,20230719,F,40대,서울특별시,700만원 이상,2,8,26,30,0,10,60,0
53326288,20230719,F,30대,경기도,500이상700만원 미만,4,1,22,60,0,0,40,0
53326332,20230719,M,40대,경상남도,300이상500만원 미만,1,10,25,6,2,2,90,0
53326470,20230719,M,40대,충청남도,500이상700만원 미만,1,1,7,10,30,10,50,0
53326575,20230719,F,40대,서울특별시,700만원 이상,1,3,11,70,0,0,30,0
53326587,20230719,F,40대,경기도,300이상500만원 미만,2,1,12,50,10,10,30,0
53326669,20230719,M,60대,인천광역시,700만원 이상,4,6,32,20,50,0,30,0
53327329,20230719,M,50대,강원도,500이상700만원 미만,1,8,21,40,50,10,0,0
53327369,20230719,M,60대,전라북도,300만원 미만,6,8,46,50,10,10,30,0
53327446,20230719,M,30대,대구광역시,300만원 미만,3,12,39,30,30,10,30,0
53327466,20230719,F,30대,서울특별시,무응답,5,10,45,90,0,0,10,0
53327515,20230719,F,40대,대전광역시,300이상500만원 미만,0,1,2,70,0,20,10,0
53327560,20230719,F,30대,경기도,300만원 미만,3,8,31,80,10,0,10,0
53327598,20230719,F,40대,전라북도,700만원 이상,4,5,30,40,40,0,20,0
53327719,20230719,M,40대,경기도,500이상700만원 미만,1,1,7,50,0,0,50,0
53327774,20230719,F,60대,경상남도,500이상700만원 미만,2,1,12,30,10,30,30,0
53328096,20230719,F,20대,충청북도,무응답,1,1,7,0,50,50,0,0
53328163,20230719,F,20대,경기도,무응답,8,5,50,60,0,0,40,0
53328166,20230719,M,40대,부산광역시,500이상700만원 미만,2,5,20,20,50,5,25,0
53328336,20230719,M,50대,서울특별시,500이상700만원 미만,2,4,18,40,0,30,30,0
53328589,20230719,M,50대,인천광역시,300이상500만원 미만,3,5,25,70,0,0,30,0
53328638,20230719,F,20대,광주광역시,700만원 이상,1,1,7,0,100,0,0,0
53328672,20230719,M,40대,경기도,300만원 미만,2,6,22,60,30,0,10,0
53328719,20230719,F,60대,전라북도,300만원 미만,0,1,2,70,0,0,30,0
53328726,20230719,F,40대,경기도,300만원 미만,2,4,18,50,10,10,30,0
53328867,20230719,F,30대,경상남도,무응답,2,2,14,50,0,0,50,0
53328874,20230719,F,40대,인천광역시,700만원 이상,4,8,36,0,50,0,50,0
53329036,20230719,M,50대,경기도,500이상700만원 미만,4,8,36,10,0,30,30,30
