RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322233,20230104,M,20대,서울특별시,300이상500만원 미만,1,2,9,40,20,10,30,0
53322446,20230104,M,50대,서울특별시,300만원 미만,3,8,31,50,50,0,0,0
53322483,20230104,F,60대,서울특별시,300만원 미만,2,5,20,0,80,20,0,0
53322506,20230104,M,20대,서울특별시,300만원 미만,2,4,18,30,10,30,30,0
53322717,20230104,F,30대,서울특별시,500이상700만원 미만,3,8,31,40,50,0,10,0
53322905,20230104,M,50대,서울특별시,500이상700만원 미만,5,12,49,20,20,20,20,20
53322931,20230104,F,40대,서울특별시,700만원 이상,2,5,20,20,50,20,10,0
53322943,20230104,M,40대,울산광역시,300이상500만원 미만,4,5,30,50,10,10,30,0
53322976,20230104,M,60대,서울특별시,300만원 미만,1,1,7,40,20,10,20,10
53323220,20230104,M,50대,서울특별시,300만원 미만,4,12,44,70,0,0,30,0
53323522,20230104,M,20대,서울특별시,300만원 미만,2,4,18,50,20,0,30,0
53323552,20230104,F,20대,서울특별시,300만원 미만,4,8,36,40,20,10,30,0
53323647,20230104,M,20대,서울특별시,500이상700만원 미만,3,6,27,100,0,0,0,0
53323840,20230104,F,30대,서울특별시,500이상700만원 미만,6,9,48,20,10,50,20,0
53323927,20230104,F,60대,서울특별시,300이상500만원 미만,8,6,52,20,10,50,20,0
53324415,20230104,M,30대,서울특별시,700만원 이상,3,8,31,10,40,20,30,0
53324591,20230104,F,50대,서울특별시,500이상700만원 미만,3,5,25,60,0,20,20,0
53324609,20230104,M,60대,서울특별시,300이상500만원 미만,3,5,25,50,30,10,10,0
