RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
238721,20240103,M,20대,경기도,300이상500만원 미만,4,8,36,60.00000,10.00000,10.00000,20.00000,0.00000
351308,20240103,M,20대,경기도,300이상500만원 미만,1,8,21,60.00000,20.00000,15.00000,5.00000,0.00000
359820,20240103,M,20대,경기도,500이상700만원 미만,4,12,44,80.00000,0.00000,0.00000,10.00000,10.00000
393668,20240103,M,20대,경기도,300만원 미만,2,8,26,20.00000,10.00000,0.00000,70.00000,0.00000
418862,20240103,M,20대,경기도,300만원 미만,10,12,74,80.00000,5.00000,10.00000,5.00000,0.00000
422714,20240103,M,20대,경기도,500이상700만원 미만,6,3,36,90.00000,0.00000,0.00000,10.00000,0.00000
424422,20240103,M,20대,경기도,300만원 미만,2,5,20,10.00000,10.00000,20.00000,60.00000,0.00000
429242,20240103,M,20대,경기도,500이상700만원 미만,1,2,9,20.00000,20.00000,10.00000,50.00000,0.00000
453053,20240103,M,20대,경기도,300만원 미만,2,4,18,20.00000,10.00000,50.00000,20.00000,0.00000
458314,20240103,M,20대,경기도,300이상500만원 미만,5,5,35,70.00000,20.00000,0.00000,10.00000,0.00000
460454,20240103,M,20대,서울특별시,700만원 이상,6,8,46,40.00000,30.00000,0.00000,30.00000,0.00000
461647,20240103,M,20대,경기도,700만원 이상,2,2,14,20.00000,30.00000,40.00000,10.00000,0.00000
463711,20240103,M,20대,경기도,300이상500만원 미만,7,8,51,80.00000,0.00000,0.00000,20.00000,0.00000
467261,20240103,M,20대,경기도,500이상700만원 미만,3,8,31,30.00000,30.00000,10.00000,30.00000,0.00000
469538,20240103,M,20대,경기도,무응답,4,12,44,100.00000,0.00000,0.00000,0.00000,0.00000
469866,20240103,M,20대,경기도,300만원 미만,4,8,36,70.00000,0.00000,0.00000,30.00000,0.00000
470643,20240103,M,20대,경기도,300만원 미만,4,8,36,40.00000,0.00000,20.00000,40.00000,0.00000
53322179,20240103,M,50대,서울특별시,500이상700만원 미만,2,5,20,30.00000,40.00000,10.00000,20.00000,0.00000
53322514,20240103,F,60대,서울특별시,700만원 이상,3,3,21,10.00000,30.00000,30.00000,30.00000,0.00000
53322673,20240103,F,60대,서울특별시,300만원 미만,6,6,42,40.00000,30.00000,20.00000,10.00000,0.00000
53322757,20240103,M,40대,서울특별시,300이상500만원 미만,0,2,4,50.00000,0.00000,0.00000,50.00000,0.00000
53322965,20240103,F,60대,서울특별시,300이상500만원 미만,1,2,9,70.00000,0.00000,0.00000,30.00000,0.00000
