RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322175,20221207,F,20대,서울특별시,500이상700만원 미만,0,3,6,35,15,50,0,0
53322231,20221207,M,20대,서울특별시,무응답,2,5,20,50,20,0,30,0
53322366,20221207,F,60대,서울특별시,300만원 미만,8,3,46,50,30,10,10,0
53322377,20221207,M,40대,서울특별시,700만원 이상,1,3,11,20,20,20,40,0
53322428,20221207,M,60대,서울특별시,300만원 미만,1,2,9,20,10,10,60,0
53322472,20221207,M,20대,서울특별시,300이상500만원 미만,2,3,16,100,0,0,0,0
53322636,20221207,F,50대,서울특별시,500이상700만원 미만,2,6,22,20,60,0,20,0
53322653,20221207,F,60대,서울특별시,300만원 미만,3,5,25,50,0,20,20,10
53322733,20221207,M,30대,서울특별시,무응답,4,8,36,50,25,0,25,0
53322749,20221207,F,20대,서울특별시,700만원 이상,1,10,25,70,0,0,30,0
53322796,20221207,M,40대,서울특별시,300이상500만원 미만,2,5,20,40,30,0,30,0
53322828,20221207,M,20대,서울특별시,무응답,8,7,54,75,20,0,0,5
53322843,20221207,F,40대,서울특별시,300이상500만원 미만,3,5,25,50,20,10,20,0
53323192,20221207,F,60대,서울특별시,300이상500만원 미만,5,5,35,30,30,15,25,0
53323255,20221207,F,50대,서울특별시,700만원 이상,4,3,26,30,0,40,30,0
53323471,20221207,M,20대,서울특별시,무응답,2,2,14,0,10,0,90,0
53323660,20221207,F,30대,서울특별시,300이상500만원 미만,1,2,9,50,0,20,30,0
53323679,20221207,M,30대,서울특별시,700만원 이상,2,8,26,20,20,10,50,0
53323720,20221207,F,50대,서울특별시,700만원 이상,2,6,22,10,10,20,60,0
53323724,20221207,F,40대,서울특별시,300만원 미만,5,3,31,40,5,15,20,20
53323895,20221207,F,50대,서울특별시,500이상700만원 미만,1,3,11,60,40,0,0,0
53323900,20221207,F,60대,서울특별시,300이상500만원 미만,3,5,25,30,20,20,20,10
53323934,20221207,F,40대,서울특별시,300이상500만원 미만,7,10,55,95,0,0,5,0
53324244,20221207,F,50대,서울특별시,500이상700만원 미만,3,3,21,10,10,10,70,0
53324262,20221207,M,50대,서울특별시,700만원 이상,3,12,39,50,0,0,50,0
53324287,20221207,F,60대,서울특별시,300만원 미만,3,8,31,55,15,18,12,0
53324312,20221207,M,40대,서울특별시,700만원 이상,3,8,31,30,30,0,40,0
53324455,20221207,M,20대,경기도,무응답,4,12,44,10,40,40,10,0
53324536,20221207,M,20대,서울특별시,700만원 이상,5,8,41,55,25,10,10,0
53324596,20221207,M,40대,서울특별시,500이상700만원 미만,15,18,111,30,10,10,10,40
53324667,20221207,M,60대,서울특별시,500이상700만원 미만,6,6,42,20,80,0,0,0
53324805,20221207,M,60대,서울특별시,700만원 이상,0,2,4,70,10,0,10,10
53324975,20221207,M,20대,서울특별시,무응답,4,10,40,90,0,5,5,0
53325049,20221207,M,60대,서울특별시,300이상500만원 미만,3,8,31,50,50,0,0,0
53325064,20221207,F,20대,서울특별시,300이상500만원 미만,4,9,38,55,30,10,5,0
53325125,20221207,M,60대,서울특별시,300만원 미만,6,6,42,20,80,0,0,0
53325444,20221207,F,60대,전라북도,700만원 이상,2,3,16,30,0,50,20,0
53325726,20221207,M,30대,충청북도,500이상700만원 미만,2,5,20,10,30,10,50,0
53325894,20221207,F,50대,울산광역시,300만원 미만,4,2,24,20,0,0,50,30
53325905,20221207,F,30대,울산광역시,700만원 이상,0,4,8,0,0,0,100,0
53326053,20221207,M,50대,경기도,500이상700만원 미만,3,5,25,50,30,20,0,0
53326205,20221207,M,30대,경기도,700만원 이상,2,10,30,40,20,0,40,0
53326227,20221207,M,40대,부산광역시,300이상500만원 미만,3,5,25,40,40,10,10,0
53326233,20221207,M,50대,경기도,700만원 이상,2,5,20,30,20,20,30,0
53326291,20221207,F,30대,강원도,700만원 이상,2,3,16,20,0,70,10,0
53326328,20221207,M,60대,부산광역시,700만원 이상,10,10,70,30,30,10,10,20
53326340,20221207,F,20대,경기도,300만원 미만,3,5,25,50,30,20,0,0
53326521,20221207,F,60대,세종특별자치시,300만원 미만,2,5,20,20,10,40,30,0
53326565,20221207,F,60대,경기도,300만원 미만,4,5,30,50,10,10,30,0
53326749,20221207,F,60대,전라남도,500이상700만원 미만,2,3,16,0,100,0,0,0
53326800,20221207,M,60대,경기도,300이상500만원 미만,4,8,36,30,50,0,0,20
53326806,20221207,M,60대,세종특별자치시,500이상700만원 미만,4,12,44,50,0,0,40,10
53326853,20221207,M,50대,경기도,300만원 미만,2,10,30,70,20,0,10,0
53326900,20221207,M,60대,부산광역시,300이상500만원 미만,2,6,22,35,50,0,15,0
53327012,20221207,F,50대,충청남도,700만원 이상,5,10,45,40,20,20,20,0
53327284,20221207,M,40대,경기도,300이상500만원 미만,1,3,11,20,0,0,0,80
53327298,20221207,F,40대,부산광역시,300이상500만원 미만,3,3,21,70,10,10,10,0
53327326,20221207,F,30대,경상북도,무응답,2,8,26,20,20,20,40,0
53327399,20221207,F,50대,경기도,300이상500만원 미만,2,5,20,50,0,10,20,20
53327747,20221207,F,40대,경기도,500이상700만원 미만,3,5,25,80,10,0,10,0
53327777,20221207,F,30대,강원도,700만원 이상,3,8,31,5,30,50,15,0
53328293,20221207,F,30대,대구광역시,무응답,3,8,31,70,10,10,10,0
53328432,20221207,M,60대,서울특별시,700만원 이상,5,10,45,10,20,50,10,10
53328501,20221207,M,60대,부산광역시,300만원 미만,4,4,28,10,80,10,0,0
53328559,20221207,M,40대,경기도,500이상700만원 미만,2,8,26,10,10,70,10,0
53328784,20221207,M,50대,울산광역시,700만원 이상,5,10,45,70,10,0,20,0
53328787,20221207,F,50대,경기도,300만원 미만,2,2,14,30,0,70,0,0
53328807,20221207,M,50대,대구광역시,300만원 미만,4,4,28,80,0,0,20,0
53328943,20221207,F,20대,대전광역시,무응답,1,3,11,50,50,0,0,0
53329067,20221207,M,30대,서울특별시,500이상700만원 미만,3,10,35,70,20,5,5,0
53329343,20221207,F,40대,충청북도,700만원 이상,1,4,13,10,10,10,30,40
53329624,20221207,F,50대,충청북도,700만원 이상,1,6,17,30,30,30,10,0
53329631,20221207,F,40대,서울특별시,300이상500만원 미만,3,6,27,80,10,10,0,0
53329937,20221207,F,50대,경상남도,300만원 미만,3,5,25,30,20,40,10,0
53330195,20221207,F,60대,경상남도,300이상500만원 미만,2,8,26,10,50,20,20,0
53330261,20221207,M,50대,경상남도,300만원 미만,1,5,15,30,50,10,10,0
53330343,20221207,F,20대,경기도,무응답,2,5,20,80,0,0,20,0
53330388,20221207,F,20대,대전광역시,무응답,3,10,35,50,10,0,40,0
53330405,20221207,M,30대,부산광역시,500이상700만원 미만,4,4,28,30,0,0,0,70
53330426,20221207,F,50대,경상북도,300만원 미만,6,10,50,0,80,0,20,0
53330440,20221207,F,60대,강원도,300만원 미만,2,1,12,50,30,10,10,0
53330461,20221207,M,50대,인천광역시,무응답,1,1,7,80,0,0,0,20
