RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
172192,20240313,M,20대,경상남도,무응답,2,5,20,20.00000,20.00000,20.00000,40.00000,0.00000
283351,20240313,M,20대,경기도,300만원 미만,3,14,43,50.00000,10.00000,20.00000,20.00000,0.00000
360197,20240313,M,20대,서울특별시,300이상500만원 미만,3,12,39,60.00000,0.00000,0.00000,40.00000,0.00000
392612,20240313,M,20대,부산광역시,무응답,3,5,25,70.00000,10.00000,10.00000,10.00000,0.00000
433969,20240313,M,20대,경기도,300만원 미만,2,2,14,70.00000,0.00000,30.00000,0.00000,0.00000
451065,20240313,M,20대,서울특별시,500이상700만원 미만,4,10,40,10.00000,10.00000,40.00000,40.00000,0.00000
456733,20240313,M,20대,강원도,300이상500만원 미만,5,5,35,10.00000,20.00000,30.00000,40.00000,0.00000
460212,20240313,M,20대,서울특별시,300만원 미만,2,5,20,40.00000,10.00000,20.00000,30.00000,0.00000
471336,20240313,M,20대,울산광역시,700만원 이상,2,12,34,100.00000,0.00000,0.00000,0.00000,0.00000
472184,20240313,M,20대,경기도,700만원 이상,5,12,49,25.00000,50.00000,10.00000,15.00000,0.00000
53322198,20240313,M,50대,서울특별시,500이상700만원 미만,2,5,20,10.00000,30.00000,30.00000,30.00000,0.00000
53322319,20240313,F,50대,서울특별시,300이상500만원 미만,6,6,42,50.00000,0.00000,20.00000,30.00000,0.00000
53322536,20240313,F,40대,서울특별시,700만원 이상,2,4,18,50.00000,20.00000,10.00000,20.00000,0.00000
53322755,20240313,M,30대,서울특별시,300만원 미만,3,12,39,80.00000,10.00000,5.00000,5.00000,0.00000
53322984,20240313,F,60대,서울특별시,300이상500만원 미만,3,6,27,60.00000,0.00000,40.00000,0.00000,0.00000
53323090,20240313,F,60대,서울특별시,700만원 이상,7,7,49,20.00000,60.00000,10.00000,10.00000,0.00000
53323297,20240313,F,50대,서울특별시,700만원 이상,1,3,11,30.00000,20.00000,0.00000,50.00000,0.00000
53323403,20240313,M,60대,서울특별시,700만원 이상,2,6,22,0.00000,70.00000,0.00000,30.00000,0.00000
53323528,20240313,M,20대,서울특별시,700만원 이상,3,8,31,70.00000,0.00000,0.00000,30.00000,0.00000
53323656,20240313,F,30대,서울특별시,300만원 미만,2,12,34,15.00000,5.00000,0.00000,80.00000,0.00000
53323765,20240313,F,60대,서울특별시,500이상700만원 미만,6,3,36,30.00000,30.00000,30.00000,10.00000,0.00000
53323952,20240313,F,60대,서울특별시,700만원 이상,5,5,35,30.00000,20.00000,30.00000,20.00000,0.00000
