RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322377,20230308,M,40대,서울특별시,500이상700만원 미만,1,3,11,60,0,40,0,0
53322733,20230308,M,30대,서울특별시,무응답,3,5,25,80,0,20,0,0
53322755,20230308,M,30대,서울특별시,300만원 미만,4,12,44,80,5,5,10,0
53322811,20230308,F,30대,서울특별시,700만원 이상,3,6,27,60,20,20,0,0
53322827,20230308,M,30대,서울특별시,300이상500만원 미만,3,8,31,50,10,5,35,0
53323193,20230308,F,40대,서울특별시,무응답,3,6,27,50,30,5,15,0
53323516,20230308,F,20대,서울특별시,700만원 이상,2,3,16,40,20,10,30,0
53323912,20230308,F,50대,서울특별시,300이상500만원 미만,0,10,20,50,0,0,50,0
53324104,20230308,F,60대,서울특별시,300만원 미만,3,5,25,20,50,30,0,0
53324282,20230308,F,60대,서울특별시,300만원 미만,1,3,11,20,10,10,60,0
53324323,20230308,M,20대,서울특별시,300만원 미만,2,5,20,10,80,5,5,0
53324508,20230308,F,50대,서울특별시,700만원 이상,2,1,12,20,50,0,30,0
53324585,20230308,F,60대,서울특별시,700만원 이상,1,2,9,30,10,25,25,10
53324716,20230308,M,60대,서울특별시,500이상700만원 미만,2,2,14,50,10,0,40,0
53324848,20230308,M,60대,서울특별시,700만원 이상,5,10,45,0,50,20,30,0
53324922,20230308,F,20대,서울특별시,500이상700만원 미만,3,5,25,10,20,60,10,0
53324977,20230308,F,40대,서울특별시,700만원 이상,2,3,16,20,0,0,30,50
53324994,20230308,F,60대,서울특별시,300만원 미만,5,6,37,0,0,0,60,40
53325171,20230308,F,20대,서울특별시,500이상700만원 미만,4,2,24,10,50,30,10,0
53325233,20230308,M,60대,서울특별시,700만원 이상,5,5,35,20,20,40,20,0
53325340,20230308,F,50대,서울특별시,700만원 이상,3,3,21,30,40,10,0,20
53325387,20230308,F,60대,서울특별시,300만원 미만,3,5,25,30,0,30,40,0
53325425,20230308,F,50대,경상북도,500이상700만원 미만,0,3,6,70,0,0,30,0
53325444,20230308,F,60대,전라북도,300이상500만원 미만,2,2,14,30,10,30,30,0
53325527,20230308,F,40대,제주특별자치도,300이상500만원 미만,3,3,21,20,30,30,20,0
53325744,20230308,F,60대,경기도,700만원 이상,3,4,23,30,0,30,40,0
53325789,20230308,F,30대,경상북도,500이상700만원 미만,1,5,15,20,30,0,50,0
53325953,20230308,F,20대,경상북도,300만원 미만,2,2,14,40,30,10,20,0
53326024,20230308,F,20대,경기도,300만원 미만,2,8,26,50,0,0,50,0
53326204,20230308,M,40대,부산광역시,300이상500만원 미만,2,2,14,60,0,40,0,0
53326217,20230308,M,60대,충청남도,300만원 미만,1,1,7,20,5,10,20,45
53326521,20230308,F,60대,세종특별자치시,300만원 미만,3,5,25,20,30,30,20,0
53326663,20230308,M,20대,충청남도,500이상700만원 미만,2,8,26,10,40,0,50,0
53326716,20230308,M,40대,경상북도,500이상700만원 미만,4,6,32,60,5,30,5,0
53326778,20230308,F,40대,전라남도,500이상700만원 미만,5,5,35,50,30,10,10,0
53326810,20230308,F,30대,세종특별자치시,700만원 이상,2,2,14,80,5,5,10,0
53327086,20230308,M,30대,경기도,500이상700만원 미만,2,5,20,60,20,10,10,0
53327206,20230308,M,40대,인천광역시,700만원 이상,5,5,35,50,40,0,10,0
53327302,20230308,M,60대,경기도,700만원 이상,2,4,18,30,15,25,20,10
53327447,20230308,M,20대,대전광역시,무응답,1,1,7,100,0,0,0,0
53327513,20230308,F,40대,부산광역시,300이상500만원 미만,3,8,31,30,50,20,0,0
53327534,20230308,M,20대,광주광역시,무응답,4,10,40,50,10,15,25,0
53327674,20230308,M,40대,서울특별시,700만원 이상,4,5,30,30,20,10,40,0
53327772,20230308,M,60대,서울특별시,700만원 이상,2,3,16,20,50,20,10,0
53327830,20230308,F,40대,부산광역시,500이상700만원 미만,2,10,30,30,0,0,70,0
53327955,20230308,M,30대,경기도,300이상500만원 미만,5,10,45,80,10,5,5,0
53327988,20230308,F,40대,경기도,500이상700만원 미만,3,5,25,50,30,0,20,0
53327991,20230308,F,20대,경기도,무응답,4,12,44,30,0,0,70,0
53328054,20230308,F,50대,울산광역시,700만원 이상,1,3,11,20,20,10,50,0
53328071,20230308,M,40대,서울특별시,700만원 이상,2,5,20,30,10,30,30,0
