RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322202,20231018,F,40대,서울특별시,300이상500만원 미만,1,2,9,30,10,10,50,0
53322595,20231018,F,50대,서울특별시,700만원 이상,1,7,19,80,0,20,0,0
53322987,20231018,M,20대,서울특별시,700만원 이상,2,2,14,100,0,0,0,0
53323024,20231018,F,20대,서울특별시,300만원 미만,6,15,60,40,30,5,25,0
53323031,20231018,M,50대,서울특별시,무응답,2,6,22,10,10,10,10,60
53323089,20231018,F,60대,서울특별시,300이상500만원 미만,1,1,7,50,10,10,10,20
53323098,20231018,F,60대,서울특별시,300이상500만원 미만,2,10,30,20,20,40,20,0
53323105,20231018,F,60대,서울특별시,300만원 미만,10,8,66,30,30,20,20,0
53323222,20231018,M,60대,서울특별시,300이상500만원 미만,4,8,36,10,30,10,50,0
53323334,20231018,M,40대,서울특별시,300이상500만원 미만,2,8,26,80,0,0,20,0
53323366,20231018,F,60대,서울특별시,500이상700만원 미만,2,4,18,0,0,70,30,0
53323379,20231018,F,50대,서울특별시,500이상700만원 미만,5,2,29,30,30,10,30,0
53323462,20231018,M,20대,서울특별시,300만원 미만,3,5,25,40,20,30,10,0
53323475,20231018,M,20대,서울특별시,무응답,3,10,35,30,30,10,30,0
53323480,20231018,M,20대,서울특별시,700만원 이상,2,3,16,80,0,0,20,0
53323712,20231018,M,60대,서울특별시,700만원 이상,2,10,30,20,80,0,0,0
53323723,20231018,M,60대,서울특별시,700만원 이상,3,12,39,50,20,15,15,0
53323734,20231018,M,50대,서울특별시,700만원 이상,3,8,31,30,10,10,50,0
53323797,20231018,M,50대,서울특별시,500이상700만원 미만,3,6,27,50,5,25,20,0
53323955,20231018,F,50대,서울특별시,300만원 미만,1,2,9,10,0,0,90,0
53324118,20231018,M,50대,서울특별시,500이상700만원 미만,2,3,16,0,20,20,60,0
53324141,20231018,F,20대,서울특별시,300만원 미만,0,2,4,60,0,0,40,0
53324266,20231018,F,20대,서울특별시,300만원 미만,0,3,6,0,0,0,100,0
53324302,20231018,F,50대,서울특별시,700만원 이상,5,10,45,30,30,30,10,0
53324670,20231018,F,50대,서울특별시,300이상500만원 미만,5,10,45,20,70,0,10,0
53325115,20231018,M,20대,경기도,700만원 이상,3,3,21,70,10,0,20,0
53325150,20231018,F,60대,서울특별시,500이상700만원 미만,3,2,19,10,50,30,10,0
53325310,20231018,M,60대,서울특별시,300이상500만원 미만,3,7,29,20,40,20,20,0
53325328,20231018,F,40대,서울특별시,무응답,3,2,19,70,15,15,0,0
53325423,20231018,F,50대,강원도,700만원 이상,2,5,20,20,50,0,30,0
53325450,20231018,M,50대,경상남도,500이상700만원 미만,2,4,18,80,0,10,10,0
53325544,20231018,M,50대,전라북도,300만원 미만,4,6,32,20,40,30,10,0
53325599,20231018,M,40대,세종특별자치시,700만원 이상,2,4,18,30,0,30,40,0
53325726,20231018,M,30대,충청북도,500이상700만원 미만,3,7,29,20,40,10,30,0
53325789,20231018,F,30대,경상북도,500이상700만원 미만,1,8,21,0,50,0,50,0
53325822,20231018,M,60대,충청남도,300이상500만원 미만,2,4,18,10,20,20,50,0
53325851,20231018,M,30대,대전광역시,무응답,8,12,64,50,0,0,0,50
53325868,20231018,F,20대,경기도,300이상500만원 미만,3,3,21,50,20,20,10,0
53325929,20231018,M,30대,부산광역시,300만원 미만,2,6,22,40,30,20,10,0
53325949,20231018,F,40대,경기도,500이상700만원 미만,1,1,7,40,10,30,20,0
53326118,20231018,F,40대,인천광역시,500이상700만원 미만,1,2,9,70,10,0,10,10
53326150,20231018,F,30대,인천광역시,700만원 이상,8,8,56,30,20,50,0,0
53326193,20231018,M,60대,경기도,700만원 이상,3,5,25,30,50,0,20,0
53326211,20231018,F,40대,서울특별시,700만원 이상,2,0,10,70,10,0,20,0
53326433,20231018,F,30대,충청남도,500이상700만원 미만,8,4,48,90,5,3,2,0
53326460,20231018,F,40대,인천광역시,300이상500만원 미만,10,5,60,70,10,10,10,0
53326596,20231018,M,30대,경기도,700만원 이상,2,12,34,50,0,0,50,0
53326762,20231018,M,20대,경상남도,500이상700만원 미만,1,4,13,50,5,5,40,0
53326765,20231018,M,40대,경기도,700만원 이상,4,8,36,10,20,10,60,0
53326843,20231018,F,50대,강원도,500이상700만원 미만,1,2,9,40,10,20,30,0
53326867,20231018,M,50대,울산광역시,300만원 미만,2,3,16,40,0,20,40,0
53326898,20231018,F,30대,충청북도,300이상500만원 미만,1,5,15,50,0,0,0,50
53326914,20231018,M,50대,충청북도,300만원 미만,5,5,35,50,50,0,0,0
53326922,20231018,M,20대,울산광역시,무응답,2,6,22,50,0,0,50,0
53326936,20231018,F,50대,서울특별시,500이상700만원 미만,2,4,18,30,10,40,20,0
53326942,20231018,F,50대,인천광역시,300이상500만원 미만,5,5,35,40,10,10,40,0
53326954,20231018,F,60대,충청북도,300만원 미만,7,10,55,40,5,5,50,0
53327141,20231018,M,40대,대전광역시,300이상500만원 미만,1,3,11,20,0,10,70,0
53327211,20231018,M,20대,부산광역시,무응답,6,6,42,40,25,35,0,0
53327308,20231018,M,60대,경기도,700만원 이상,2,6,22,20,20,20,40,0
53327406,20231018,M,60대,경상북도,300만원 미만,5,7,39,30,50,0,20,0
53327560,20231018,F,30대,경기도,300이상500만원 미만,2,12,34,100,0,0,0,0
53327617,20231018,F,40대,인천광역시,500이상700만원 미만,4,5,30,50,10,10,30,0
53327705,20231018,M,40대,전라남도,500이상700만원 미만,2,4,18,30,20,5,20,25
53327780,20231018,F,50대,부산광역시,500이상700만원 미만,3,4,23,20,10,30,20,20
53327869,20231018,M,30대,대구광역시,300만원 미만,1,8,21,50,0,0,50,0
53327887,20231018,F,30대,강원도,300이상500만원 미만,3,12,39,90,0,0,10,0
53328104,20231018,F,40대,광주광역시,700만원 이상,1,5,15,0,80,20,0,0
53328341,20231018,M,30대,경기도,700만원 이상,2,5,20,30,20,20,30,0
53328343,20231018,M,40대,경기도,700만원 이상,1,8,21,100,0,0,0,0
53328467,20231018,F,60대,서울특별시,300이상500만원 미만,2,8,26,40,0,0,20,40
53328577,20231018,M,30대,경상남도,300만원 미만,4,10,40,30,20,0,50,0
53328598,20231018,F,20대,충청남도,300만원 미만,2,0,10,100,0,0,0,0
53328622,20231018,F,40대,경기도,300이상500만원 미만,2,4,18,50,10,0,40,0
53328672,20231018,M,40대,경기도,300만원 미만,3,6,27,0,30,70,0,0
53328787,20231018,F,50대,경기도,300만원 미만,4,6,32,40,10,40,10,0
53328813,20231018,M,50대,경기도,300이상500만원 미만,2,4,18,0,100,0,0,0
53329006,20231018,M,50대,울산광역시,700만원 이상,2,5,20,60,20,10,10,0
53329111,20231018,M,50대,제주특별자치도,500이상700만원 미만,15,4,83,10,90,0,0,0
53329232,20231018,F,40대,부산광역시,300만원 미만,2,3,16,60,10,10,20,0
53329299,20231018,F,40대,울산광역시,무응답,2,3,16,50,10,10,30,0
53329311,20231018,F,40대,울산광역시,300이상500만원 미만,3,5,25,70,30,0,0,0
53329379,20231018,F,60대,대구광역시,300만원 미만,1,2,9,30,30,30,10,0
53329410,20231018,F,40대,부산광역시,300만원 미만,1,2,9,70,0,0,30,0
53329451,20231018,M,30대,제주특별자치도,300이상500만원 미만,2,5,20,10,40,10,40,0
53329486,20231018,M,30대,서울특별시,500이상700만원 미만,2,4,18,20,0,0,80,0
53329604,20231018,F,60대,서울특별시,700만원 이상,2,5,20,20,80,0,0,0
53329701,20231018,F,50대,인천광역시,300이상500만원 미만,1,10,25,0,0,0,100,0
53330084,20231018,M,30대,서울특별시,700만원 이상,1,4,13,30,60,10,0,0
