RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322235,20230426,F,20대,서울특별시,300만원 미만,2,6,22,50,0,10,40,0
53322450,20230426,M,60대,서울특별시,500이상700만원 미만,4,6,32,20,20,20,30,10
53322502,20230426,F,50대,서울특별시,300이상500만원 미만,5,1,27,80,0,0,20,0
53322629,20230426,F,60대,서울특별시,300이상500만원 미만,1,2,9,40,20,10,30,0
53322943,20230426,M,40대,서울특별시,500이상700만원 미만,2,5,20,30,30,10,30,0
53322944,20230426,F,60대,서울특별시,500이상700만원 미만,2,4,18,20,20,10,50,0
53323059,20230426,M,50대,서울특별시,700만원 이상,1,0,5,0,100,0,0,0
53323140,20230426,M,50대,서울특별시,300만원 미만,2,2,14,0,50,20,30,0
53323220,20230426,M,50대,서울특별시,300만원 미만,3,6,27,40,20,0,40,0
53323254,20230426,F,40대,서울특별시,700만원 이상,5,0,25,30,10,50,10,0
53323298,20230426,F,60대,서울특별시,300만원 미만,6,6,42,20,0,50,30,0
53323430,20230426,F,40대,서울특별시,700만원 이상,7,5,45,0,40,0,60,0
53323504,20230426,M,20대,서울특별시,무응답,4,4,28,50,30,0,20,0
53323510,20230426,F,40대,서울특별시,500이상700만원 미만,2,10,30,80,0,0,20,0
53323528,20230426,M,20대,서울특별시,300만원 미만,3,7,29,10,70,0,20,0
53323636,20230426,F,40대,서울특별시,300이상500만원 미만,1,8,21,30,10,20,40,0
53323679,20230426,M,40대,서울특별시,700만원 이상,2,8,26,50,0,0,50,0
53323685,20230426,F,30대,서울특별시,300이상500만원 미만,2,6,22,60,20,0,20,0
53323774,20230426,M,50대,서울특별시,700만원 이상,1,1,7,0,0,35,65,0
53323777,20230426,F,50대,서울특별시,300이상500만원 미만,2,1,12,30,40,20,10,0
53323792,20230426,M,50대,경기도,500이상700만원 미만,3,4,23,20,40,10,30,0
53323809,20230426,M,60대,서울특별시,700만원 이상,4,10,40,0,40,0,60,0
53324000,20230426,F,50대,서울특별시,500이상700만원 미만,3,2,19,0,60,0,40,0
53324069,20230426,F,30대,서울특별시,무응답,2,5,20,20,20,20,40,0
53324319,20230426,F,20대,서울특별시,300만원 미만,2,5,20,60,10,10,20,0
53324415,20230426,M,30대,서울특별시,700만원 이상,3,8,31,40,20,20,20,0
53324637,20230426,M,60대,경상남도,300이상500만원 미만,3,5,25,10,50,40,0,0
53324763,20230426,M,60대,서울특별시,300이상500만원 미만,4,6,32,20,30,30,20,0
53324828,20230426,M,60대,서울특별시,700만원 이상,5,2,29,70,0,0,30,0
53324856,20230426,M,40대,서울특별시,500이상700만원 미만,1,8,21,50,50,0,0,0
53324975,20230426,M,20대,서울특별시,무응답,3,12,39,80,10,0,10,0
53325101,20230426,F,40대,서울특별시,무응답,2,5,20,30,20,30,20,0
53325256,20230426,F,40대,서울특별시,300만원 미만,3,8,31,50,40,0,10,0
53325371,20230426,F,60대,서울특별시,300만원 미만,1,5,15,10,50,10,30,0
53325399,20230426,F,40대,서울특별시,300만원 미만,2,10,30,20,30,10,40,0
53326116,20230426,M,50대,울산광역시,700만원 이상,2,10,30,10,30,10,50,0
53326122,20230426,F,40대,대구광역시,500이상700만원 미만,8,4,48,50,0,0,50,0
53326163,20230426,F,60대,서울특별시,500이상700만원 미만,4,6,32,30,30,40,0,0
53326188,20230426,F,50대,서울특별시,300이상500만원 미만,2,3,16,10,10,60,10,10
53326200,20230426,M,50대,서울특별시,500이상700만원 미만,4,6,32,30,10,30,30,0
53326245,20230426,F,30대,충청남도,700만원 이상,2,7,24,10,50,10,30,0
53326310,20230426,F,50대,대구광역시,300만원 미만,3,5,25,30,30,20,20,0
53326383,20230426,M,60대,광주광역시,300만원 미만,3,2,19,70,10,10,5,5
53326426,20230426,M,50대,제주특별자치도,300만원 미만,10,10,70,50,0,0,0,50
53326432,20230426,M,40대,서울특별시,500이상700만원 미만,3,14,43,10,0,20,5,65
53326475,20230426,F,40대,울산광역시,300만원 미만,3,2,19,60,10,20,10,0
53326711,20230426,F,50대,제주특별자치도,300이상500만원 미만,3,6,27,40,30,10,20,0
53326779,20230426,F,50대,서울특별시,700만원 이상,3,6,27,30,10,40,20,0
53326822,20230426,M,60대,부산광역시,700만원 이상,6,13,56,35,20,5,40,0
53326931,20230426,M,40대,전라남도,300만원 미만,1,2,9,30,10,20,40,0
53326942,20230426,F,50대,인천광역시,500이상700만원 미만,6,6,42,70,10,5,15,0
53327003,20230426,F,40대,경기도,300이상500만원 미만,2,5,20,80,0,0,20,0
53327011,20230426,F,50대,경기도,500이상700만원 미만,1,3,11,30,50,0,20,0
53327012,20230426,F,50대,충청남도,700만원 이상,3,3,21,30,20,20,30,0
53327018,20230426,M,50대,경상남도,300만원 미만,3,8,31,30,0,0,70,0
53327068,20230426,F,30대,경기도,300이상500만원 미만,2,5,20,40,10,10,40,0
53327087,20230426,M,60대,경상남도,300만원 미만,15,15,105,15,50,10,25,0
53327158,20230426,M,30대,인천광역시,300만원 미만,1,2,9,80,10,5,5,0
53327228,20230426,F,60대,강원도,300이상500만원 미만,6,10,50,10,0,10,80,0
53327448,20230426,M,30대,경기도,700만원 이상,2,6,22,20,60,1,19,0
53327579,20230426,F,50대,경기도,700만원 이상,2,1,12,40,15,5,40,0
53327615,20230426,F,20대,경상북도,무응답,10,10,70,30,30,10,30,0
53328135,20230426,F,40대,울산광역시,300이상500만원 미만,3,3,21,30,20,20,30,0
53328199,20230426,F,50대,울산광역시,300만원 미만,2,8,26,30,20,10,40,0
53328221,20230426,M,30대,경상북도,500이상700만원 미만,5,10,45,80,0,10,10,0
53328278,20230426,F,40대,서울특별시,300이상500만원 미만,2,5,20,40,10,30,20,0
53328559,20230426,M,40대,경기도,500이상700만원 미만,2,8,26,20,0,80,0,0
53329012,20230426,M,20대,서울특별시,무응답,18,18,126,25,25,25,0,25
53329283,20230426,F,20대,서울특별시,무응답,10,15,80,95,0,0,5,0
53329301,20230426,M,40대,경기도,700만원 이상,2,6,22,50,0,50,0,0
53329402,20230426,F,40대,서울특별시,700만원 이상,2,5,20,60,40,0,0,0
53329755,20230426,M,60대,경기도,500이상700만원 미만,2,6,22,20,0,20,60,0
53329802,20230426,M,50대,경상북도,500이상700만원 미만,2,10,30,0,50,0,50,0
53329918,20230426,M,40대,전라남도,300만원 미만,3,5,25,30,10,10,20,30
53330327,20230426,F,20대,서울특별시,300만원 미만,3,12,39,80,10,0,10,0
53330419,20230426,M,40대,울산광역시,300만원 미만,1,1,7,50,30,10,10,0
53330461,20230426,M,50대,인천광역시,300이상500만원 미만,3,9,33,10,18,22,50,0
53330645,20230426,F,40대,전라북도,700만원 이상,5,5,35,50,30,10,10,0
53330661,20230426,M,60대,대구광역시,500이상700만원 미만,2,6,22,40,30,10,20,0
53330877,20230426,M,40대,광주광역시,300이상500만원 미만,1,4,13,0,70,0,30,0
53331000,20230426,F,60대,인천광역시,500이상700만원 미만,2,6,22,0,0,60,40,0
53331006,20230426,F,40대,경기도,700만원 이상,3,8,31,50,0,20,30,0
53331038,20230426,F,30대,강원도,500이상700만원 미만,0,0,0,50,0,0,50,0
53331057,20230426,F,30대,경기도,500이상700만원 미만,3,0,15,60,0,40,0,0
53331060,20230426,F,30대,경상남도,300이상500만원 미만,4,6,32,40,10,10,40,0
53331073,20230426,F,30대,대구광역시,300만원 미만,1,5,15,50,0,0,50,0
53331180,20230426,M,60대,인천광역시,300이상500만원 미만,1,2,9,20,20,20,40,0
53331249,20230426,M,40대,제주특별자치도,300이상500만원 미만,5,2,29,30,0,0,70,0
53331264,20230426,M,20대,전라북도,500이상700만원 미만,6,6,42,70,10,10,10,0
53331319,20230426,F,60대,서울특별시,700만원 이상,3,0,15,0,50,30,20,0
53331351,20230426,M,20대,경기도,500이상700만원 미만,5,10,45,70,0,0,30,0
53331759,20230426,F,60대,강원도,무응답,2,1,12,50,25,0,25,0
53331761,20230426,M,50대,전라북도,300만원 미만,5,7,39,50,50,0,0,0
53331854,20230426,M,50대,전라남도,500이상700만원 미만,3,3,21,10,50,0,40,0
53331954,20230426,F,50대,경상북도,300만원 미만,2,1,12,80,10,0,10,0
53332100,20230426,F,60대,부산광역시,700만원 이상,2,7,24,20,10,20,50,0
53332168,20230426,M,40대,인천광역시,300이상500만원 미만,1,1,7,90,10,0,0,0
53332334,20230426,F,40대,경기도,700만원 이상,3,3,21,10,5,5,80,0
53332727,20230426,F,50대,충청남도,300만원 미만,5,5,35,30,50,10,10,0
53332943,20230426,F,50대,광주광역시,300이상500만원 미만,2,3,16,30,10,50,10,0
53333007,20230426,F,40대,부산광역시,500이상700만원 미만,2,10,30,50,20,10,20,0
53333173,20230426,M,40대,경기도,300만원 미만,2,1,12,70,20,0,10,0
53333318,20230426,M,30대,경기도,500이상700만원 미만,1,10,25,60,20,0,20,0
53333522,20230426,M,60대,경기도,300만원 미만,4,2,24,20,80,0,0,0
53333722,20230426,F,60대,경상남도,300만원 미만,2,4,18,50,0,30,20,0
53333737,20230426,F,60대,경상남도,700만원 이상,2,4,18,70,0,20,10,0
53333798,20230426,F,60대,충청북도,700만원 이상,2,4,18,30,10,20,30,10
53333915,20230426,F,60대,인천광역시,300만원 미만,2,5,20,30,10,20,30,10
53334030,20230426,F,50대,경기도,300이상500만원 미만,4,8,36,50,10,5,25,10
53334446,20230426,F,50대,서울특별시,300만원 미만,4,4,28,50,0,10,40,0
53334502,20230426,F,50대,부산광역시,700만원 이상,5,5,35,30,50,0,20,0
53334516,20230426,F,50대,강원도,300만원 미만,2,2,14,50,10,10,30,0
53334608,20230426,F,20대,경상남도,300만원 미만,4,7,34,60,0,10,30,0
53334632,20230426,M,30대,서울특별시,300이상500만원 미만,2,14,38,20,55,5,20,0
53334887,20230426,M,60대,경기도,500이상700만원 미만,1,6,17,50,10,10,30,0
53334941,20230426,M,50대,경기도,700만원 이상,2,6,22,60,0,0,40,0
53334960,20230426,M,50대,전라북도,300이상500만원 미만,2,6,22,60,0,0,40,0
53334995,20230426,M,40대,서울특별시,무응답,3,8,31,40,30,0,30,0
53335035,20230426,F,40대,경기도,300만원 미만,2,12,34,60,0,0,40,0
53335050,20230426,M,60대,부산광역시,300이상500만원 미만,2,3,16,25,30,5,40,0
53335082,20230426,M,20대,서울특별시,무응답,3,8,31,0,0,0,100,0
53335358,20230426,F,60대,서울특별시,300만원 미만,6,6,42,15,45,30,10,0
53335440,20230426,F,30대,부산광역시,500이상700만원 미만,0,2,4,40,5,5,50,0
53335501,20230426,F,20대,경상북도,700만원 이상,3,5,25,80,20,0,0,0
53335528,20230426,F,40대,강원도,300이상500만원 미만,3,2,19,20,0,80,0,0
53335577,20230426,F,50대,서울특별시,700만원 이상,2,3,16,0,30,0,70,0
53335586,20230426,F,60대,대전광역시,700만원 이상,5,8,41,30,50,10,10,0
53335647,20230426,F,40대,경기도,700만원 이상,1,3,11,70,0,0,30,0
53335675,20230426,F,30대,충청남도,무응답,1,1,7,100,0,0,0,0
53335878,20230426,F,60대,경기도,700만원 이상,8,8,56,30,20,15,35,0
53335916,20230426,F,30대,충청남도,500이상700만원 미만,2,4,18,90,0,0,10,0
53335930,20230426,F,60대,경상남도,300만원 미만,2,5,20,30,20,20,30,0
53335951,20230426,M,20대,경기도,무응답,0,0,0,100,0,0,0,0
53336096,20230426,M,30대,서울특별시,300이상500만원 미만,3,8,31,60,15,10,15,0
53336175,20230426,F,60대,인천광역시,700만원 이상,2,5,20,0,20,60,20,0
53336214,20230426,F,50대,경기도,300이상500만원 미만,1,1,7,60,10,10,20,0
53336249,20230426,M,50대,서울특별시,300이상500만원 미만,2,3,16,90,5,2,3,0
53336284,20230426,F,30대,인천광역시,300만원 미만,3,3,21,50,0,0,50,0
53336312,20230426,F,60대,전라북도,300이상500만원 미만,3,5,25,30,0,0,0,70
53336364,20230426,M,30대,경상남도,500이상700만원 미만,3,10,35,82,5,3,10,0
53336521,20230426,M,30대,전라남도,500이상700만원 미만,2,4,18,0,50,0,50,0
53336705,20230426,F,50대,경기도,500이상700만원 미만,8,10,60,40,20,0,20,20
53336844,20230426,M,40대,경상남도,300이상500만원 미만,5,10,45,30,30,0,40,0
53336954,20230426,F,60대,전라남도,300만원 미만,3,15,45,20,0,0,80,0
53336999,20230426,M,50대,경기도,300만원 미만,4,5,30,80,0,0,20,0
53337042,20230426,F,50대,충청북도,500이상700만원 미만,2,6,22,40,0,20,40,0
53337381,20230426,F,50대,강원도,300만원 미만,2,6,22,50,0,25,25,0
53337638,20230426,F,50대,경상남도,700만원 이상,3,3,21,50,10,10,30,0
53337682,20230426,F,60대,경기도,500이상700만원 미만,2,3,16,10,50,20,20,0
53337708,20230426,F,50대,충청북도,700만원 이상,2,1,12,40,20,20,20,0
53337827,20230426,M,30대,경상남도,무응답,3,6,27,0,60,40,0,0
53337837,20230426,F,20대,경기도,무응답,3,4,23,60,20,10,10,0
53338009,20230426,M,20대,대구광역시,700만원 이상,3,7,29,47,21,5,27,0
53338164,20230426,F,20대,인천광역시,500이상700만원 미만,5,10,45,50,50,0,0,0
53338232,20230426,M,30대,광주광역시,300만원 미만,3,4,23,50,0,20,30,0
53338368,20230426,F,50대,인천광역시,500이상700만원 미만,8,3,46,30,20,0,40,10
53338489,20230426,M,20대,충청남도,무응답,2,2,14,30,30,20,20,0
53338593,20230426,M,60대,전라남도,300만원 미만,5,3,31,10,60,0,30,0
53338689,20230426,M,20대,경상북도,무응답,6,8,46,60,40,0,0,0
53338889,20230426,M,60대,경상북도,300이상500만원 미만,15,5,85,25,0,25,50,0
53339035,20230426,M,60대,부산광역시,300만원 미만,2,8,26,50,10,10,10,20
53339096,20230426,F,60대,전라북도,300이상500만원 미만,4,5,30,30,40,20,10,0
53339359,20230426,M,30대,충청남도,300이상500만원 미만,1,2,9,0,30,40,30,0
53339361,20230426,M,20대,서울특별시,300이상500만원 미만,5,15,55,90,0,10,0,0
53339494,20230426,M,30대,경기도,300이상500만원 미만,2,2,14,20,60,0,20,0
53339510,20230426,M,30대,강원도,500이상700만원 미만,2,2,14,0,0,80,20,0
53339735,20230426,M,40대,광주광역시,300이상500만원 미만,1,1,7,90,2,2,6,0
53339743,20230426,F,50대,대전광역시,300만원 미만,4,5,30,30,20,35,15,0
53339759,20230426,F,50대,부산광역시,700만원 이상,5,1,27,5,40,5,50,0
53340070,20230426,F,40대,서울특별시,700만원 이상,1,5,15,10,20,30,40,0
53340310,20230426,M,30대,경기도,500이상700만원 미만,3,5,25,50,40,0,10,0
53340452,20230426,F,60대,충청북도,300만원 미만,3,3,21,60,0,30,10,0
53340501,20230426,F,40대,경기도,300이상500만원 미만,2,2,14,60,0,40,0,0
53340563,20230426,M,50대,대구광역시,500이상700만원 미만,4,16,52,50,20,0,30,0
53340579,20230426,F,50대,전라남도,300만원 미만,5,8,41,50,20,20,10,0
53340675,20230426,F,30대,경기도,500이상700만원 미만,3,5,25,40,30,20,10,0
53340846,20230426,M,60대,부산광역시,300이상500만원 미만,4,8,36,10,20,60,10,0
53340918,20230426,F,40대,경기도,300만원 미만,10,0,50,20,0,80,0,0
53340997,20230426,M,50대,인천광역시,300만원 미만,3,10,35,0,50,0,50,0
53341101,20230426,F,20대,경기도,700만원 이상,3,10,35,10,60,0,30,0
53341176,20230426,M,40대,서울특별시,300이상500만원 미만,3,8,31,80,0,0,20,0
53341227,20230426,M,30대,경기도,500이상700만원 미만,3,2,19,50,10,10,30,0
53341244,20230426,M,60대,경기도,700만원 이상,1,4,13,15,0,80,5,0
53341373,20230426,F,30대,경기도,700만원 이상,3,5,25,20,30,40,10,0
53341440,20230426,M,50대,경상북도,300이상500만원 미만,3,6,27,20,0,0,80,0
53341487,20230426,M,50대,서울특별시,700만원 이상,2,4,18,40,20,30,10,0
53341556,20230426,F,60대,경기도,500이상700만원 미만,5,5,35,20,30,20,30,0
53341677,20230426,M,30대,부산광역시,700만원 이상,1,4,13,30,20,20,30,0
53341695,20230426,F,60대,경기도,300이상500만원 미만,9,10,65,40,40,0,20,0
53341796,20230426,M,20대,인천광역시,무응답,3,10,35,25,25,5,45,0
53342404,20230426,F,50대,충청북도,700만원 이상,5,12,49,80,20,0,0,0
53342444,20230426,M,50대,대구광역시,500이상700만원 미만,5,2,29,0,0,0,20,80
53342527,20230426,F,60대,부산광역시,300이상500만원 미만,2,5,20,75,0,0,25,0
53342617,20230426,F,40대,부산광역시,500이상700만원 미만,3,1,17,10,10,50,30,0
53342870,20230426,F,40대,경기도,700만원 이상,1,6,17,100,0,0,0,0
53342905,20230426,F,30대,인천광역시,500이상700만원 미만,3,8,31,40,0,0,60,0
53342993,20230426,M,30대,경상북도,500이상700만원 미만,2,3,16,50,30,20,0,0
53343034,20230426,F,60대,부산광역시,300만원 미만,2,5,20,50,30,10,10,0
53343480,20230426,F,60대,경기도,300이상500만원 미만,4,9,38,40,30,20,10,0
53343571,20230426,M,30대,울산광역시,300만원 미만,1,1,7,20,20,20,40,0
53343731,20230426,M,20대,부산광역시,무응답,3,5,25,20,0,0,80,0
53343735,20230426,M,50대,서울특별시,500이상700만원 미만,0,12,24,60,10,10,20,0
53343755,20230426,M,40대,부산광역시,700만원 이상,2,4,18,40,40,10,10,0
53343768,20230426,F,20대,서울특별시,300이상500만원 미만,3,18,51,30,50,0,20,0
53343861,20230426,F,30대,충청남도,300이상500만원 미만,2,5,20,50,0,40,10,0
53343862,20230426,F,60대,경기도,무응답,5,8,41,20,40,30,10,0
53343916,20230426,M,20대,전라남도,300만원 미만,4,13,46,99,0,0,1,0
53343991,20230426,F,20대,전라북도,300만원 미만,2,2,14,100,0,0,0,0
53344042,20230426,M,40대,경기도,500이상700만원 미만,3,1,17,10,70,10,10,0
53344138,20230426,F,30대,경상북도,500이상700만원 미만,2,2,14,90,10,0,0,0
53344144,20230426,F,60대,경상남도,700만원 이상,2,4,18,70,5,15,10,0
53344211,20230426,M,20대,경상남도,500이상700만원 미만,2,4,18,30,10,10,50,0
53344229,20230426,F,30대,경기도,300이상500만원 미만,8,10,60,30,10,10,50,0
53344449,20230426,M,30대,경기도,300이상500만원 미만,1,1,7,60,20,0,20,0
53344470,20230426,M,20대,경기도,300만원 미만,2,3,16,10,20,30,40,0
53344475,20230426,M,30대,경기도,300만원 미만,5,5,35,50,20,30,0,0
53344518,20230426,M,50대,부산광역시,300만원 미만,2,3,16,50,0,0,10,40
53344585,20230426,M,20대,경기도,300만원 미만,4,11,42,10,20,5,65,0
53344600,20230426,M,30대,경기도,300이상500만원 미만,2,4,18,25,25,25,25,0
53345554,20230426,M,30대,경기도,무응답,5,15,55,30,10,10,50,0
53345920,20230426,M,30대,전라북도,500이상700만원 미만,1,2,9,90,0,0,10,0
53345977,20230426,F,50대,경기도,700만원 이상,3,10,35,50,20,10,20,0
53345997,20230426,M,60대,경기도,500이상700만원 미만,12,12,84,60,40,0,0,0
53346247,20230426,F,50대,경상북도,300이상500만원 미만,2,12,34,50,0,20,0,30
53346257,20230426,M,40대,인천광역시,300만원 미만,2,12,34,10,70,10,10,0
53346303,20230426,M,20대,충청남도,300만원 미만,4,12,44,40,40,0,20,0
53346678,20230426,M,30대,경상북도,300이상500만원 미만,2,2,14,40,50,0,10,0
53346799,20230426,F,60대,강원도,500이상700만원 미만,3,8,31,30,0,10,60,0
