RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
158212,20231206,M,20대,서울특별시,700만원 이상,2,12,34,30.00000,50.00000,0.00000,20.00000,0.00000
303649,20231206,M,20대,전라북도,300만원 미만,3,12,39,20.00000,10.00000,30.00000,40.00000,0.00000
348941,20231206,M,20대,경기도,300만원 미만,4,8,36,70.00000,5.00000,5.00000,20.00000,0.00000
354894,20231206,M,20대,세종특별자치시,무응답,4,6,32,0.00000,100.00000,0.00000,0.00000,0.00000
365469,20231206,M,20대,울산광역시,500이상700만원 미만,3,6,27,60.00000,20.00000,10.00000,10.00000,0.00000
381415,20231206,M,20대,경상남도,300만원 미만,5,12,49,50.00000,20.00000,10.00000,20.00000,0.00000
405537,20231206,M,20대,충청북도,700만원 이상,3,6,27,60.00000,10.00000,0.00000,30.00000,0.00000
417903,20231206,M,20대,경기도,300만원 미만,2,3,16,50.00000,0.00000,0.00000,50.00000,0.00000
425367,20231206,M,20대,울산광역시,300만원 미만,2,5,20,70.00000,20.00000,10.00000,0.00000,0.00000
425975,20231206,M,20대,서울특별시,700만원 이상,3,8,31,30.00000,30.00000,10.00000,30.00000,0.00000
427613,20231206,M,20대,경기도,700만원 이상,3,0,15,10.00000,50.00000,10.00000,30.00000,0.00000
436102,20231206,M,20대,경기도,300이상500만원 미만,2,4,18,20.00000,10.00000,30.00000,40.00000,0.00000
442177,20231206,M,20대,전라북도,300이상500만원 미만,3,10,35,40.00000,10.00000,10.00000,40.00000,0.00000
449715,20231206,M,30대,부산광역시,300이상500만원 미만,6,3,36,6.00000,63.00000,8.00000,23.00000,0.00000
451730,20231206,M,20대,제주특별자치도,500이상700만원 미만,3,8,31,40.00000,20.00000,0.00000,40.00000,0.00000
453989,20231206,M,20대,대구광역시,300이상500만원 미만,3,12,39,50.00000,30.00000,10.00000,10.00000,0.00000
456324,20231206,M,20대,경기도,300이상500만원 미만,1,8,21,20.00000,20.00000,20.00000,20.00000,20.00000
462953,20231206,M,20대,서울특별시,300만원 미만,1,2,9,40.00000,20.00000,0.00000,40.00000,0.00000
463440,20231206,M,20대,광주광역시,300만원 미만,1,1,7,10.00000,10.00000,10.00000,70.00000,0.00000
465052,20231206,M,20대,경기도,500이상700만원 미만,5,7,39,30.00000,10.00000,30.00000,30.00000,0.00000
465289,20231206,M,20대,경기도,무응답,10,8,66,50.00000,10.00000,10.00000,30.00000,0.00000
466284,20231206,M,20대,대구광역시,300만원 미만,10,16,82,16.00000,22.00000,16.00000,4.00000,42.00000
467094,20231206,M,20대,인천광역시,300이상500만원 미만,3,3,21,20.00000,40.00000,15.00000,25.00000,0.00000
472208,20231206,M,20대,경기도,500이상700만원 미만,2,4,18,50.00000,50.00000,0.00000,0.00000,0.00000
472556,20231206,M,20대,서울특별시,700만원 이상,1,5,15,50.00000,0.00000,50.00000,0.00000,0.00000
53322317,20231206,F,50대,서울특별시,300만원 미만,4,6,32,50.00000,50.00000,0.00000,0.00000,0.00000
53322353,20231206,F,60대,서울특별시,300만원 미만,1,1,7,30.00000,10.00000,30.00000,30.00000,0.00000
53322579,20231206,M,40대,서울특별시,700만원 이상,2,5,20,20.00000,30.00000,20.00000,30.00000,0.00000
53322912,20231206,F,60대,제주특별자치도,700만원 이상,7,7,49,60.00000,10.00000,10.00000,20.00000,0.00000
53323127,20231206,M,40대,서울특별시,300이상500만원 미만,1,3,11,30.00000,0.00000,20.00000,50.00000,0.00000
53323619,20231206,F,20대,서울특별시,300만원 미만,9,10,65,50.00000,20.00000,15.00000,10.00000,5.00000
53323791,20231206,M,60대,서울특별시,300만원 미만,12,12,84,50.00000,40.00000,10.00000,0.00000,0.00000
53324018,20231206,M,50대,경기도,700만원 이상,3,15,45,90.00000,10.00000,0.00000,0.00000,0.00000
53324072,20231206,M,60대,서울특별시,700만원 이상,6,6,42,30.00000,20.00000,20.00000,30.00000,0.00000
53324111,20231206,M,30대,서울특별시,무응답,1,2,9,90.00000,0.00000,0.00000,10.00000,0.00000
53324287,20231206,F,60대,서울특별시,300만원 미만,2,3,16,0.00000,50.00000,50.00000,0.00000,0.00000
53324368,20231206,F,40대,서울특별시,500이상700만원 미만,4,10,40,20.00000,20.00000,0.00000,30.00000,30.00000
53324440,20231206,F,20대,서울특별시,무응답,0,0,0,25.00000,25.00000,25.00000,25.00000,0.00000
53324448,20231206,M,30대,서울특별시,300이상500만원 미만,3,9,33,35.00000,35.00000,5.00000,5.00000,20.00000
53324499,20231206,F,20대,인천광역시,700만원 이상,5,8,41,50.00000,10.00000,0.00000,40.00000,0.00000
53324541,20231206,F,30대,서울특별시,무응답,0,1,2,100.00000,0.00000,0.00000,0.00000,0.00000
53324590,20231206,F,20대,서울특별시,300만원 미만,6,12,54,80.00000,10.00000,0.00000,10.00000,0.00000
53324630,20231206,M,60대,서울특별시,300이상500만원 미만,2,3,16,30.00000,20.00000,20.00000,30.00000,0.00000
53324837,20231206,F,20대,서울특별시,300만원 미만,2,4,18,20.00000,20.00000,10.00000,50.00000,0.00000
53324841,20231206,F,20대,서울특별시,300이상500만원 미만,3,10,35,10.00000,70.00000,0.00000,20.00000,0.00000
53325124,20231206,F,60대,서울특별시,300이상500만원 미만,1,3,11,0.00000,0.00000,20.00000,30.00000,50.00000
53325324,20231206,F,40대,서울특별시,300이상500만원 미만,2,3,16,50.00000,0.00000,20.00000,30.00000,0.00000
53325369,20231206,M,60대,서울특별시,500이상700만원 미만,2,6,22,20.00000,70.00000,0.00000,10.00000,0.00000
53325420,20231206,F,40대,경기도,300만원 미만,3,5,25,50.00000,5.00000,35.00000,10.00000,0.00000
53325514,20231206,F,20대,충청북도,무응답,4,6,32,90.00000,0.00000,0.00000,10.00000,0.00000
53325884,20231206,F,50대,경기도,500이상700만원 미만,2,4,18,50.00000,10.00000,20.00000,20.00000,0.00000
53326041,20231206,F,30대,경상남도,300이상500만원 미만,2,6,22,30.00000,20.00000,50.00000,0.00000,0.00000
53326084,20231206,F,40대,인천광역시,300이상500만원 미만,3,5,25,40.00000,30.00000,20.00000,10.00000,0.00000
53326361,20231206,F,50대,경상남도,500이상700만원 미만,3,4,23,50.00000,0.00000,0.00000,50.00000,0.00000
53326363,20231206,M,50대,울산광역시,300이상500만원 미만,1,3,11,50.00000,0.00000,10.00000,40.00000,0.00000
53326463,20231206,M,30대,부산광역시,300만원 미만,3,5,25,30.00000,10.00000,20.00000,40.00000,0.00000
