RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322236,20230118,F,40대,서울특별시,700만원 이상,3,2,19,10,0,70,20,0
53322268,20230118,F,50대,서울특별시,500이상700만원 미만,10,10,70,60,0,0,40,0
53322316,20230118,M,20대,울산광역시,300이상500만원 미만,1,6,17,100,0,0,0,0
53322407,20230118,F,40대,서울특별시,300이상500만원 미만,1,3,11,30,20,30,20,0
53322573,20230118,F,30대,서울특별시,300만원 미만,4,12,44,15,50,0,35,0
53322682,20230118,M,60대,서울특별시,300이상500만원 미만,2,2,14,60,20,0,20,0
53322728,20230118,M,40대,서울특별시,700만원 이상,3,8,31,25,25,25,25,0
53322756,20230118,M,20대,서울특별시,무응답,9,6,57,70,0,0,30,0
53322825,20230118,F,20대,서울특별시,500이상700만원 미만,3,7,29,30,20,0,50,0
53322846,20230118,M,30대,서울특별시,300만원 미만,1,1,7,20,80,0,0,0
53322984,20230118,F,60대,서울특별시,300이상500만원 미만,5,12,49,60,0,30,10,0
53323118,20230118,M,40대,서울특별시,300만원 미만,1,1,7,20,60,20,0,0
53323176,20230118,M,50대,서울특별시,300이상500만원 미만,2,10,30,40,25,10,25,0
53323227,20230118,M,50대,서울특별시,300이상500만원 미만,1,3,11,0,50,0,50,0
53323373,20230118,F,20대,서울특별시,300만원 미만,2,14,38,70,20,10,0,0
53323412,20230118,M,50대,서울특별시,700만원 이상,3,12,39,30,40,10,20,0
53323734,20230118,M,50대,서울특별시,700만원 이상,2,8,26,20,20,10,50,0
53324032,20230118,F,30대,서울특별시,500이상700만원 미만,1,3,11,90,10,0,0,0
53324297,20230118,F,50대,서울특별시,300만원 미만,3,6,27,30,30,10,20,10
53324446,20230118,M,20대,서울특별시,300만원 미만,4,8,36,80,10,0,10,0
53324486,20230118,F,40대,서울특별시,300이상500만원 미만,3,7,29,30,20,30,20,0
53324526,20230118,F,20대,서울특별시,300만원 미만,3,5,25,50,30,10,10,0
53324663,20230118,F,60대,서울특별시,무응답,2,6,22,30,10,20,40,0
53324751,20230118,F,60대,서울특별시,700만원 이상,1,3,11,20,30,20,20,10
53324893,20230118,F,30대,서울특별시,300이상500만원 미만,3,12,39,50,0,20,30,0
53325068,20230118,M,20대,충청남도,300만원 미만,1,2,9,50,20,20,10,0
53325545,20230118,F,40대,경기도,500이상700만원 미만,2,1,12,30,10,50,10,0
53325823,20230118,F,50대,인천광역시,500이상700만원 미만,1,16,37,20,10,0,70,0
53326001,20230118,F,40대,충청북도,300이상500만원 미만,2,6,22,10,30,30,20,10
53326040,20230118,M,30대,서울특별시,500이상700만원 미만,2,0,10,0,100,0,0,0
53326075,20230118,F,60대,경기도,300만원 미만,3,5,25,10,10,30,30,20
53326092,20230118,F,60대,울산광역시,300만원 미만,1,1,7,20,20,20,40,0
53326316,20230118,F,30대,전라북도,300만원 미만,3,1,17,50,30,10,10,0
53326320,20230118,F,30대,경기도,500이상700만원 미만,2,3,16,50,10,5,5,30
53326348,20230118,F,60대,부산광역시,300만원 미만,2,10,30,20,40,10,30,0
53326460,20230118,F,40대,인천광역시,300만원 미만,2,5,20,80,0,15,5,0
53326462,20230118,M,40대,충청남도,500이상700만원 미만,3,10,35,10,25,15,50,0
53326556,20230118,M,60대,서울특별시,300이상500만원 미만,1,2,9,20,15,15,50,0
53326558,20230118,F,40대,부산광역시,300만원 미만,1,3,11,50,0,0,50,0
53326750,20230118,M,50대,경기도,700만원 이상,1,3,11,30,50,5,15,0
53326825,20230118,M,40대,경상남도,700만원 이상,2,8,26,5,25,40,30,0
53326882,20230118,M,30대,충청북도,700만원 이상,5,10,45,50,50,0,0,0
53326916,20230118,M,60대,경기도,700만원 이상,2,5,20,20,20,0,60,0
53327047,20230118,F,40대,세종특별자치시,300이상500만원 미만,5,10,45,30,0,50,20,0
53327334,20230118,M,60대,경기도,300이상500만원 미만,1,4,13,0,40,30,30,0
53327413,20230118,M,20대,경기도,700만원 이상,8,3,46,29,41,19,11,0
53327615,20230118,F,20대,경상북도,무응답,8,8,56,40,0,20,40,0
53327617,20230118,F,40대,인천광역시,300이상500만원 미만,3,3,21,80,0,0,20,0
53327634,20230118,M,50대,전라남도,700만원 이상,4,10,40,40,20,20,20,0
53327670,20230118,F,20대,대전광역시,300만원 미만,6,9,48,20,50,30,0,0
53327805,20230118,M,50대,경기도,300이상500만원 미만,3,5,25,50,20,20,10,0
53327824,20230118,M,60대,부산광역시,300만원 미만,1,2,9,20,10,40,30,0
53327833,20230118,F,50대,경상북도,300만원 미만,2,10,30,60,10,10,10,10
53327935,20230118,M,50대,경기도,700만원 이상,3,10,35,70,10,0,20,0
53328043,20230118,M,60대,경기도,300이상500만원 미만,0,10,20,10,0,0,0,90
53328097,20230118,M,50대,경기도,300이상500만원 미만,1,3,11,40,60,0,0,0
53328104,20230118,F,40대,광주광역시,700만원 이상,2,10,30,30,30,30,10,0
53328135,20230118,F,40대,울산광역시,300만원 미만,3,3,21,20,10,10,40,20
53328176,20230118,M,50대,경기도,300이상500만원 미만,2,5,20,50,0,0,50,0
53328200,20230118,F,50대,경기도,300이상500만원 미만,3,8,31,70,0,0,30,0
53328242,20230118,M,20대,서울특별시,무응답,3,5,25,0,20,50,30,0
53328288,20230118,M,50대,경상남도,300이상500만원 미만,8,8,56,55,5,5,35,0
53328310,20230118,M,20대,서울특별시,300만원 미만,1,12,29,80,0,10,10,0
53328318,20230118,M,40대,경상남도,300만원 미만,2,10,30,10,50,0,40,0
53328397,20230118,F,40대,충청남도,500이상700만원 미만,1,1,7,10,10,50,20,10
53328410,20230118,M,30대,서울특별시,300만원 미만,1,2,9,30,10,30,30,0
53328602,20230118,F,30대,경기도,300만원 미만,3,5,25,100,0,0,0,0
53328625,20230118,M,40대,울산광역시,700만원 이상,1,2,9,50,50,0,0,0
53328705,20230118,F,40대,경기도,300이상500만원 미만,5,10,45,100,0,0,0,0
53328802,20230118,F,60대,경기도,500이상700만원 미만,1,2,9,10,0,5,5,80
53328819,20230118,F,50대,서울특별시,500이상700만원 미만,2,4,18,50,20,0,30,0
53328946,20230118,F,50대,서울특별시,700만원 이상,3,4,23,19,30,50,1,0
53328972,20230118,M,20대,서울특별시,무응답,18,18,126,60,10,30,0,0
53329175,20230118,F,40대,인천광역시,500이상700만원 미만,3,5,25,70,5,5,20,0
53329184,20230118,F,50대,경기도,500이상700만원 미만,2,2,14,30,50,0,20,0
53329451,20230118,M,30대,제주특별자치도,300만원 미만,1,5,15,30,20,20,30,0
53329555,20230118,M,50대,경상남도,300이상500만원 미만,6,6,42,60,10,30,0,0
53329809,20230118,M,60대,광주광역시,500이상700만원 미만,2,10,30,30,30,10,30,0
53329928,20230118,F,50대,인천광역시,500이상700만원 미만,2,5,20,40,10,10,40,0
53329939,20230118,M,30대,경상북도,300이상500만원 미만,10,10,70,30,0,70,0,0
53329944,20230118,M,50대,충청남도,500이상700만원 미만,11,9,73,45,15,20,20,0
53330016,20230118,F,20대,대전광역시,무응답,12,12,84,60,0,40,0,0
53330036,20230118,F,40대,인천광역시,700만원 이상,2,3,16,40,20,20,20,0
53330148,20230118,F,20대,인천광역시,300이상500만원 미만,1,8,21,0,0,20,80,0
53330175,20230118,F,30대,충청북도,300만원 미만,2,4,18,50,30,5,15,0
53330351,20230118,F,20대,강원도,무응답,4,3,26,80,10,2,8,0
53330427,20230118,M,30대,서울특별시,300이상500만원 미만,1,3,11,50,10,0,40,0
53330618,20230118,F,30대,경기도,500이상700만원 미만,2,10,30,50,0,50,0,0
53330635,20230118,F,60대,인천광역시,300이상500만원 미만,2,5,20,20,30,20,30,0
53330651,20230118,M,20대,경기도,무응답,3,15,45,30,60,10,0,0
53330877,20230118,M,40대,광주광역시,300이상500만원 미만,1,3,11,50,30,0,20,0
53330888,20230118,M,50대,부산광역시,500이상700만원 미만,3,8,31,0,50,0,50,0
53330979,20230118,F,30대,부산광역시,700만원 이상,10,10,70,50,10,30,10,0
53331000,20230118,F,60대,인천광역시,500이상700만원 미만,4,10,40,40,0,30,30,0
53331178,20230118,M,30대,전라북도,500이상700만원 미만,2,6,22,80,0,20,0,0
53331252,20230118,F,50대,부산광역시,300만원 미만,2,0,10,20,20,20,40,0
53331315,20230118,F,30대,경기도,300만원 미만,4,4,28,65,15,10,10,0
53331346,20230118,M,50대,대전광역시,300이상500만원 미만,2,5,20,25,20,20,35,0
53331363,20230118,F,20대,부산광역시,300만원 미만,8,8,56,70,10,10,10,0
53331372,20230118,M,50대,서울특별시,300만원 미만,1,2,9,30,40,30,0,0
53331488,20230118,F,50대,강원도,300이상500만원 미만,3,5,25,0,0,20,80,0
53331744,20230118,F,50대,경기도,700만원 이상,1,5,15,50,30,10,10,0
53331841,20230118,M,50대,광주광역시,300만원 미만,2,10,30,35,50,5,10,0
53332083,20230118,F,40대,경상남도,700만원 이상,1,3,11,20,30,30,20,0
53332174,20230118,F,30대,전라북도,300만원 미만,10,6,62,90,0,0,10,0
53332261,20230118,M,40대,경상남도,700만원 이상,3,12,39,50,25,25,0,0
53332284,20230118,F,60대,대전광역시,500이상700만원 미만,2,3,16,50,10,10,30,0
53332299,20230118,M,40대,울산광역시,500이상700만원 미만,3,8,31,30,20,0,50,0
53332443,20230118,F,20대,서울특별시,무응답,1,3,11,90,0,10,0,0
53332444,20230118,M,60대,충청북도,300이상500만원 미만,2,3,16,20,30,0,50,0
53332471,20230118,F,50대,충청남도,300이상500만원 미만,2,5,20,50,0,0,50,0
53332722,20230118,F,60대,충청북도,300만원 미만,2,3,16,0,90,0,10,0
53333038,20230118,F,20대,경기도,700만원 이상,0,7,14,50,10,20,20,0
53333059,20230118,M,40대,경기도,300이상500만원 미만,0,3,6,20,70,5,5,0
53333068,20230118,M,20대,서울특별시,500이상700만원 미만,2,5,20,100,0,0,0,0
53333089,20230118,M,60대,전라남도,300만원 미만,4,3,26,5,15,10,10,60
53333093,20230118,F,40대,광주광역시,300만원 미만,4,12,44,60,10,10,20,0
53333138,20230118,F,50대,경기도,300만원 미만,2,8,26,50,0,0,50,0
53333153,20230118,F,60대,경상북도,300만원 미만,2,4,18,50,20,10,20,0
53333302,20230118,F,60대,경기도,300만원 미만,5,6,37,30,0,10,60,0
53333391,20230118,F,60대,세종특별자치시,300이상500만원 미만,4,6,32,60,40,0,0,0
53333512,20230118,F,60대,서울특별시,700만원 이상,8,0,40,50,20,20,0,10
53333550,20230118,F,50대,인천광역시,300만원 미만,3,8,31,20,10,40,30,0
53333890,20230118,F,30대,부산광역시,300이상500만원 미만,3,7,29,50,0,40,10,0
53333976,20230118,M,20대,경기도,300이상500만원 미만,4,8,36,30,0,0,70,0
53333982,20230118,F,40대,전라북도,300이상500만원 미만,1,3,11,50,10,20,20,0
53333991,20230118,M,30대,경기도,300이상500만원 미만,4,8,36,90,0,0,10,0
53334193,20230118,F,60대,서울특별시,300만원 미만,1,2,9,20,50,20,10,0
53334495,20230118,F,50대,경기도,300이상500만원 미만,2,5,20,20,10,60,10,0
53334557,20230118,F,50대,대구광역시,500이상700만원 미만,2,1,12,10,35,15,40,0
53334701,20230118,F,20대,충청북도,300만원 미만,3,12,39,10,20,40,30,0
53334900,20230118,F,20대,경상남도,300만원 미만,1,2,9,90,0,0,10,0
53334901,20230118,F,40대,강원도,300만원 미만,2,1,12,80,5,5,10,0
53334955,20230118,F,40대,대구광역시,300이상500만원 미만,1,3,11,10,50,35,5,0
53334995,20230118,M,40대,서울특별시,300이상500만원 미만,3,7,29,50,30,10,10,0
53335315,20230118,F,40대,세종특별자치시,300이상500만원 미만,3,10,35,20,10,20,50,0
53335358,20230118,F,60대,서울특별시,300만원 미만,4,5,30,10,40,30,20,0
53335440,20230118,F,30대,부산광역시,500이상700만원 미만,1,3,11,40,0,0,60,0
