RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322348,20230621,F,50대,서울특별시,300만원 미만,3,5,25,50,20,20,10,0
53322363,20230621,F,50대,서울특별시,300만원 미만,2,5,20,40,10,40,10,0
53322438,20230621,M,60대,서울특별시,500이상700만원 미만,3,6,27,20,10,10,60,0
53322469,20230621,M,40대,서울특별시,500이상700만원 미만,4,12,44,30,30,10,30,0
53322514,20230621,F,60대,서울특별시,700만원 이상,4,6,32,0,30,20,50,0
53322643,20230621,F,60대,서울특별시,500이상700만원 미만,2,3,16,10,20,40,30,0
53322657,20230621,M,60대,서울특별시,300만원 미만,3,5,25,20,30,50,0,0
53322707,20230621,F,20대,충청남도,300만원 미만,1,2,9,10,80,0,10,0
53323045,20230621,F,20대,서울특별시,500이상700만원 미만,3,5,25,50,30,20,0,0
53323132,20230621,F,50대,경기도,300만원 미만,0,2,4,10,10,20,10,50
53323174,20230621,F,60대,서울특별시,300이상500만원 미만,4,5,30,0,40,0,60,0
53323509,20230621,F,30대,서울특별시,500이상700만원 미만,5,11,47,24,25,26,25,0
53323528,20230621,M,20대,서울특별시,300만원 미만,3,5,25,90,0,0,10,0
53323558,20230621,F,20대,서울특별시,500이상700만원 미만,3,12,39,30,10,10,50,0
53324075,20230621,M,20대,서울특별시,무응답,4,4,28,30,20,20,30,0
53324113,20230621,F,50대,서울특별시,700만원 이상,2,5,20,45,30,10,15,0
53324135,20230621,M,40대,서울특별시,300이상500만원 미만,4,10,40,30,20,10,40,0
53324144,20230621,F,60대,서울특별시,300만원 미만,2,2,14,40,30,0,30,0
53324179,20230621,M,40대,서울특별시,300이상500만원 미만,3,1,17,10,50,10,30,0
53324266,20230621,F,20대,서울특별시,300만원 미만,1,2,9,50,0,30,20,0
53324432,20230621,M,20대,서울특별시,무응답,4,8,36,30,0,50,20,0
53324536,20230621,M,20대,서울특별시,무응답,12,16,92,70,0,30,0,0
53324604,20230621,F,60대,서울특별시,300이상500만원 미만,3,2,19,30,10,10,50,0
53324754,20230621,M,60대,서울특별시,300이상500만원 미만,6,6,42,30,0,0,70,0
53324858,20230621,F,60대,서울특별시,300만원 미만,1,1,7,70,0,20,0,10
53324910,20230621,M,30대,서울특별시,700만원 이상,4,7,34,90,0,0,10,0
53324922,20230621,F,20대,서울특별시,700만원 이상,2,6,22,0,20,60,20,0
53324975,20230621,M,20대,서울특별시,무응답,4,12,44,50,0,50,0,0
53325018,20230621,M,60대,서울특별시,500이상700만원 미만,2,8,26,60,20,0,10,10
53325340,20230621,F,50대,서울특별시,500이상700만원 미만,3,5,25,50,10,30,10,0
53325502,20230621,F,30대,충청남도,300만원 미만,2,2,14,30,10,20,40,0
53325619,20230621,M,30대,광주광역시,300이상500만원 미만,2,4,18,80,5,0,15,0
53325685,20230621,M,40대,서울특별시,500이상700만원 미만,2,5,20,25,25,25,25,0
53325817,20230621,F,50대,서울특별시,300이상500만원 미만,3,2,19,50,0,50,0,0
53325823,20230621,F,50대,인천광역시,500이상700만원 미만,0,8,16,60,0,0,40,0
53325841,20230621,F,60대,경기도,300만원 미만,1,2,9,30,30,20,20,0
53325894,20230621,F,50대,울산광역시,300만원 미만,1,3,11,70,0,0,30,0
53325901,20230621,F,50대,경기도,300이상500만원 미만,2,8,26,30,15,15,5,35
53326008,20230621,M,20대,부산광역시,500이상700만원 미만,10,10,70,90,0,10,0,0
53326084,20230621,F,40대,인천광역시,300만원 미만,2,2,14,80,20,0,0,0
53326152,20230621,M,50대,경기도,700만원 이상,4,10,40,50,50,0,0,0
53326217,20230621,M,60대,충청남도,300만원 미만,2,2,14,10,10,20,20,40
53326301,20230621,M,40대,충청남도,500이상700만원 미만,2,8,26,20,20,20,40,0
53326330,20230621,M,40대,경기도,300이상500만원 미만,1,3,11,30,20,40,10,0
53326565,20230621,F,60대,경기도,300만원 미만,6,6,42,40,10,10,40,0
53326602,20230621,F,30대,경기도,300이상500만원 미만,2,3,16,20,30,40,10,0
53326684,20230621,M,50대,대전광역시,300이상500만원 미만,6,4,38,25,50,25,0,0
53326716,20230621,M,40대,경상북도,500이상700만원 미만,2,10,30,30,15,50,5,0
53326749,20230621,F,60대,전라남도,300이상500만원 미만,6,6,42,50,0,20,30,0
53326853,20230621,M,60대,경기도,300만원 미만,3,12,39,90,0,0,10,0
53326983,20230621,F,40대,경상남도,700만원 이상,1,2,9,10,50,10,30,0
53327031,20230621,M,50대,서울특별시,700만원 이상,2,4,18,50,30,10,10,0
53327194,20230621,F,20대,부산광역시,700만원 이상,2,8,26,5,50,20,25,0
53327308,20230621,M,60대,경기도,700만원 이상,2,6,22,10,20,30,40,0
53327398,20230621,F,50대,충청남도,300만원 미만,3,5,25,80,0,0,0,20
53327607,20230621,F,30대,제주특별자치도,700만원 이상,1,4,13,100,0,0,0,0
53327697,20230621,F,30대,인천광역시,300이상500만원 미만,8,12,64,60,20,0,20,0
53327782,20230621,M,30대,경상남도,무응답,3,3,21,50,50,0,0,0
53327969,20230621,M,30대,경기도,700만원 이상,2,7,24,80,10,0,10,0
53328074,20230621,M,30대,서울특별시,700만원 이상,2,2,14,0,0,0,100,0
53328190,20230621,M,60대,경상남도,300이상500만원 미만,5,5,35,20,20,5,25,30
53328222,20230621,F,30대,울산광역시,300만원 미만,1,10,25,0,100,0,0,0
53328242,20230621,M,20대,서울특별시,무응답,2,8,26,0,0,40,60,0
53328309,20230621,M,50대,대전광역시,700만원 이상,5,10,45,50,40,5,5,0
53328310,20230621,M,20대,서울특별시,300만원 미만,1,10,25,100,0,0,0,0
53328396,20230621,F,50대,서울특별시,700만원 이상,2,4,18,40,0,0,60,0
53328446,20230621,M,60대,부산광역시,500이상700만원 미만,6,6,42,50,20,0,30,0
53328455,20230621,F,60대,서울특별시,300만원 미만,3,2,19,30,0,20,50,0
53328471,20230621,F,20대,경상남도,무응답,7,6,47,30,0,0,70,0
53328516,20230621,F,20대,경기도,700만원 이상,3,5,25,50,10,20,20,0
53328576,20230621,F,50대,경상남도,300만원 미만,3,1,17,50,0,50,0,0
53328650,20230621,M,50대,경기도,300만원 미만,1,2,9,0,100,0,0,0
53328900,20230621,M,50대,충청북도,300이상500만원 미만,1,1,7,20,30,30,20,0
53329065,20230621,M,60대,서울특별시,700만원 이상,2,7,24,30,40,30,0,0
53329232,20230621,F,40대,부산광역시,300만원 미만,3,3,21,10,10,10,70,0
53329306,20230621,F,40대,서울특별시,300만원 미만,1,1,7,0,50,30,20,0
53329475,20230621,M,30대,서울특별시,300이상500만원 미만,1,1,7,100,0,0,0,0
53329567,20230621,F,30대,경기도,300이상500만원 미만,4,10,40,70,5,5,20,0
53329851,20230621,F,30대,경기도,300만원 미만,1,2,9,10,10,10,70,0
53329936,20230621,F,20대,경기도,500이상700만원 미만,4,15,50,40,20,10,30,0
53330140,20230621,F,40대,충청북도,500이상700만원 미만,2,5,20,50,30,0,20,0
53330225,20230621,M,50대,대구광역시,300이상500만원 미만,2,6,22,40,30,10,20,0
53330464,20230621,F,60대,부산광역시,300이상500만원 미만,3,2,19,30,20,20,30,0
53330913,20230621,F,20대,부산광역시,700만원 이상,3,12,39,50,0,0,50,0
53330939,20230621,M,20대,전라남도,300만원 미만,4,16,52,40,10,10,40,0
53331024,20230621,F,30대,인천광역시,300이상500만원 미만,3,4,23,50,10,10,30,0
53331175,20230621,M,60대,경기도,500이상700만원 미만,1,5,15,25,5,0,70,0
53331264,20230621,M,20대,전라북도,500이상700만원 미만,5,12,49,50,20,5,25,0
53331336,20230621,F,50대,경기도,무응답,1,5,15,20,10,20,50,0
53331374,20230621,F,20대,경기도,700만원 이상,3,8,31,60,30,10,0,0
53331394,20230621,M,50대,대전광역시,300만원 미만,2,12,34,30,15,5,50,0
53331638,20230621,M,50대,울산광역시,700만원 이상,2,16,42,30,40,0,30,0
53331741,20230621,M,50대,경기도,500이상700만원 미만,2,4,18,10,20,10,60,0
53331764,20230621,M,50대,경기도,700만원 이상,1,5,15,100,0,0,0,0
53331943,20230621,F,50대,울산광역시,300이상500만원 미만,3,4,23,25,25,25,25,0
53332098,20230621,M,60대,경기도,700만원 이상,3,5,25,30,40,10,20,0
53332413,20230621,F,30대,경기도,300만원 미만,1,4,13,50,10,20,20,0
53332462,20230621,F,50대,충청남도,700만원 이상,1,1,7,50,20,10,20,0
53332463,20230621,M,50대,경기도,700만원 이상,1,2,9,0,100,0,0,0
53332658,20230621,M,60대,경상남도,300이상500만원 미만,2,6,22,0,40,60,0,0
53332800,20230621,M,20대,인천광역시,무응답,2,4,18,80,10,0,10,0
53332848,20230621,F,40대,충청남도,300만원 미만,4,4,28,80,20,0,0,0
53332964,20230621,M,40대,부산광역시,300만원 미만,2,1,12,20,0,0,80,0
53332974,20230621,M,30대,경기도,무응답,3,10,35,90,0,10,0,0
53333036,20230621,M,50대,경기도,300만원 미만,1,2,9,60,30,0,10,0
53333579,20230621,F,40대,서울특별시,300만원 미만,3,3,21,25,0,25,0,50
53333584,20230621,M,40대,경상북도,300이상500만원 미만,2,2,14,0,40,0,60,0
53333780,20230621,M,30대,강원도,300만원 미만,1,5,15,25,25,25,25,0
53333818,20230621,M,20대,서울특별시,300이상500만원 미만,3,10,35,50,10,10,30,0
53333826,20230621,M,20대,서울특별시,300만원 미만,6,16,62,50,0,50,0,0
53333921,20230621,F,40대,경기도,300이상500만원 미만,1,1,7,10,20,30,40,0
53334004,20230621,M,20대,전라남도,무응답,4,6,32,100,0,0,0,0
53334066,20230621,M,40대,경상북도,무응답,5,5,35,90,10,0,0,0
53334069,20230621,M,40대,부산광역시,300만원 미만,1,3,11,50,30,0,20,0
53334121,20230621,F,50대,충청북도,300만원 미만,2,4,18,70,10,10,10,0
53334138,20230621,F,60대,경기도,300만원 미만,3,16,47,5,5,80,5,5
53334265,20230621,M,50대,경기도,300이상500만원 미만,2,5,20,0,10,10,80,0
53334286,20230621,M,40대,서울특별시,500이상700만원 미만,3,8,31,50,0,0,50,0
53334331,20230621,F,50대,부산광역시,500이상700만원 미만,1,4,13,20,20,20,40,0
53334383,20230621,F,50대,충청남도,700만원 이상,2,3,16,30,20,30,20,0
53334489,20230621,M,50대,경기도,300이상500만원 미만,3,5,25,70,20,0,10,0
53334504,20230621,M,50대,경상남도,700만원 이상,1,2,9,0,100,0,0,0
53334519,20230621,M,60대,부산광역시,300만원 미만,2,6,22,20,20,10,50,0
53334576,20230621,F,30대,전라남도,300이상500만원 미만,3,5,25,30,0,20,50,0
53334581,20230621,F,30대,인천광역시,300이상500만원 미만,2,6,22,20,40,30,10,0
53334738,20230621,M,40대,경상북도,300이상500만원 미만,1,2,9,0,100,0,0,0
53334878,20230621,F,20대,경기도,무응답,1,1,7,10,10,10,70,0
53334886,20230621,F,40대,전라남도,300만원 미만,2,3,16,40,10,20,30,0
53335336,20230621,F,50대,광주광역시,700만원 이상,1,5,15,20,0,80,0,0
53335410,20230621,F,20대,서울특별시,700만원 이상,3,5,25,20,0,50,30,0
53335462,20230621,F,40대,경기도,700만원 이상,3,6,27,30,30,30,10,0
53335881,20230621,M,30대,경기도,700만원 이상,2,6,22,50,20,10,20,0
53335909,20230621,M,60대,서울특별시,300이상500만원 미만,4,5,30,50,30,0,20,0
53336317,20230621,M,60대,경기도,300이상500만원 미만,2,3,16,30,70,0,0,0
53336430,20230621,F,40대,울산광역시,300만원 미만,2,4,18,25,25,25,25,0
53336460,20230621,F,40대,광주광역시,300이상500만원 미만,3,5,25,70,0,10,20,0
53336650,20230621,M,40대,인천광역시,700만원 이상,3,8,31,10,30,10,50,0
53336718,20230621,M,40대,충청남도,300이상500만원 미만,8,8,56,50,30,20,0,0
53336816,20230621,M,50대,서울특별시,700만원 이상,3,8,31,50,5,10,20,15
53336982,20230621,M,60대,울산광역시,500이상700만원 미만,3,5,25,20,40,10,30,0
53337090,20230621,M,40대,경기도,300이상500만원 미만,1,8,21,40,40,20,0,0
53337391,20230621,M,50대,서울특별시,500이상700만원 미만,2,6,22,60,0,0,40,0
53337401,20230621,M,60대,경상북도,300이상500만원 미만,5,8,41,60,20,0,20,0
53337505,20230621,M,40대,세종특별자치시,700만원 이상,3,5,25,40,30,20,10,0
53337523,20230621,M,50대,대전광역시,500이상700만원 미만,1,6,17,30,20,30,20,0
53337716,20230621,F,50대,충청북도,300이상500만원 미만,3,4,23,10,60,20,10,0
53337797,20230621,F,40대,경기도,300이상500만원 미만,1,5,15,10,30,20,40,0
53337943,20230621,F,60대,서울특별시,300만원 미만,2,0,10,25,15,15,45,0
53338080,20230621,F,20대,서울특별시,300만원 미만,3,10,35,85,5,5,5,0
53338179,20230621,F,60대,전라남도,500이상700만원 미만,4,5,30,20,10,20,20,30
53338280,20230621,M,30대,경기도,300이상500만원 미만,1,2,9,10,50,0,40,0
53338381,20230621,M,60대,전라북도,300만원 미만,2,4,18,40,30,0,30,0
53338407,20230621,F,40대,전라북도,무응답,1,4,13,80,10,10,0,0
53338411,20230621,F,50대,경기도,300이상500만원 미만,4,3,26,40,0,50,10,0
53338608,20230621,M,20대,경상남도,500이상700만원 미만,2,4,18,50,20,10,20,0
53338623,20230621,M,60대,서울특별시,700만원 이상,2,4,18,20,10,20,40,10
53338662,20230621,M,40대,인천광역시,300이상500만원 미만,2,2,14,30,20,20,30,0
53338740,20230621,F,40대,전라북도,300만원 미만,1,1,7,50,10,10,0,30
53338751,20230621,M,50대,충청북도,500이상700만원 미만,4,8,36,30,40,0,30,0
53338970,20230621,M,40대,충청북도,300만원 미만,1,1,7,20,5,5,70,0
53339065,20230621,F,20대,전라북도,700만원 이상,1,3,11,50,0,50,0,0
53339226,20230621,M,30대,경기도,700만원 이상,1,4,13,10,0,0,0,90
53339244,20230621,F,40대,경상남도,300이상500만원 미만,2,3,16,50,20,20,10,0
53339253,20230621,F,30대,대전광역시,300만원 미만,4,5,30,50,10,10,30,0
53339277,20230621,F,60대,경기도,300이상500만원 미만,4,4,28,20,30,10,40,0
53339293,20230621,M,40대,인천광역시,700만원 이상,1,4,13,30,20,40,10,0
53339361,20230621,M,20대,서울특별시,300이상500만원 미만,4,10,40,90,10,0,0,0
53339384,20230621,F,50대,인천광역시,300만원 미만,1,3,11,40,20,20,20,0
53339411,20230621,F,60대,서울특별시,300만원 미만,2,5,20,50,30,10,10,0
53339441,20230621,M,40대,경기도,500이상700만원 미만,4,8,36,40,30,10,20,0
53339514,20230621,M,30대,서울특별시,300만원 미만,2,8,26,0,70,30,0,0
53339599,20230621,F,40대,전라북도,500이상700만원 미만,5,8,41,50,0,0,50,0
53339647,20230621,M,40대,충청북도,300이상500만원 미만,1,4,13,10,90,0,0,0
53339654,20230621,M,30대,경기도,700만원 이상,3,12,39,10,10,30,50,0
53339857,20230621,F,20대,충청남도,300이상500만원 미만,8,3,46,95,0,0,5,0
53339868,20230621,M,30대,경기도,500이상700만원 미만,1,3,11,30,40,0,30,0
53339886,20230621,M,40대,전라남도,무응답,1,10,25,75,10,10,5,0
53340064,20230621,M,50대,인천광역시,700만원 이상,4,8,36,50,15,10,25,0
53340104,20230621,M,40대,경기도,300만원 미만,1,3,11,100,0,0,0,0
53340125,20230621,F,20대,울산광역시,무응답,2,6,22,80,0,20,0,0
53340131,20230621,M,60대,전라북도,500이상700만원 미만,4,4,28,19,25,16,30,10
53340138,20230621,F,50대,울산광역시,300이상500만원 미만,8,7,54,70,15,10,5,0
53340247,20230621,M,20대,부산광역시,무응답,4,8,36,25,60,10,5,0
53340262,20230621,M,60대,경기도,500이상700만원 미만,2,3,16,50,5,5,40,0
53340362,20230621,M,50대,부산광역시,500이상700만원 미만,2,4,18,0,60,40,0,0
53340414,20230621,F,50대,대전광역시,700만원 이상,4,4,28,20,30,0,50,0
53340601,20230621,F,20대,서울특별시,500이상700만원 미만,3,3,21,70,0,0,30,0
53340736,20230621,M,60대,경기도,300이상500만원 미만,2,7,24,0,0,0,80,20
53340752,20230621,F,50대,대구광역시,300만원 미만,4,4,28,0,50,50,0,0
53340889,20230621,M,20대,울산광역시,300만원 미만,3,5,25,100,0,0,0,0
53340926,20230621,M,30대,경상남도,무응답,2,12,34,90,10,0,0,0
53341051,20230621,M,20대,대전광역시,700만원 이상,2,2,14,0,0,100,0,0
53341189,20230621,F,60대,경기도,무응답,5,5,35,30,10,10,50,0
53341215,20230621,F,60대,경기도,700만원 이상,1,10,25,0,50,0,50,0
53341289,20230621,F,50대,광주광역시,700만원 이상,1,5,15,20,60,10,10,0
53341651,20230621,F,60대,경기도,300이상500만원 미만,4,3,26,20,30,10,40,0
53341783,20230621,F,50대,경상북도,300만원 미만,1,1,7,0,0,0,100,0
53341796,20230621,M,20대,인천광역시,무응답,3,12,39,5,15,0,80,0
53341844,20230621,M,50대,강원도,700만원 이상,1,1,7,100,0,0,0,0
53341902,20230621,M,50대,경상북도,500이상700만원 미만,4,12,44,40,20,20,20,0
53342000,20230621,M,20대,경상남도,500이상700만원 미만,1,5,15,20,50,0,30,0
53342164,20230621,M,20대,서울특별시,300이상500만원 미만,5,5,35,100,0,0,0,0
53342211,20230621,M,40대,서울특별시,500이상700만원 미만,2,7,24,20,30,20,10,20
53342499,20230621,M,60대,서울특별시,300만원 미만,5,8,41,50,30,0,20,0
53342579,20230621,F,30대,대전광역시,300이상500만원 미만,5,5,35,70,10,10,10,0
53342633,20230621,M,60대,경상북도,700만원 이상,3,3,21,15,30,20,35,0
53342691,20230621,M,60대,경기도,500이상700만원 미만,3,4,23,10,60,10,20,0
53342743,20230621,F,60대,충청북도,500이상700만원 미만,5,7,39,60,30,0,10,0
53342797,20230621,M,50대,서울특별시,300이상500만원 미만,2,8,26,10,70,20,0,0
53342838,20230621,F,60대,경기도,500이상700만원 미만,5,5,35,20,40,20,20,0
53342839,20230621,F,20대,서울특별시,300만원 미만,5,7,39,90,0,0,10,0
53342871,20230621,F,40대,충청남도,300이상500만원 미만,2,5,20,40,0,30,30,0
53342879,20230621,F,40대,서울특별시,500이상700만원 미만,5,12,49,40,40,0,20,0
53342919,20230621,F,50대,충청남도,500이상700만원 미만,1,5,15,40,20,10,30,0
53342961,20230621,F,20대,경기도,700만원 이상,4,10,40,20,20,0,60,0
53343043,20230621,F,40대,광주광역시,300만원 미만,5,10,45,20,20,0,20,40
53343045,20230621,M,30대,경기도,300이상500만원 미만,1,4,13,70,10,0,20,0
53343054,20230621,F,20대,경상남도,500이상700만원 미만,2,6,22,40,20,10,30,0
53343097,20230621,F,30대,서울특별시,300이상500만원 미만,3,5,25,0,0,50,50,0
53343110,20230621,F,30대,충청남도,500이상700만원 미만,7,2,39,50,0,20,30,0
53343338,20230621,M,30대,제주특별자치도,300이상500만원 미만,1,1,7,0,100,0,0,0
53343350,20230621,M,50대,서울특별시,500이상700만원 미만,2,4,18,0,50,0,50,0
53343499,20230621,M,40대,경상남도,300이상500만원 미만,4,4,28,70,30,0,0,0
53343519,20230621,F,20대,충청남도,700만원 이상,5,10,45,80,0,0,20,0
53343720,20230621,M,30대,경기도,300이상500만원 미만,1,2,9,80,20,0,0,0
53343827,20230621,M,60대,광주광역시,300만원 미만,3,3,21,20,30,40,10,0
53343916,20230621,M,20대,전라남도,300만원 미만,2,8,26,99,0,0,1,0
53343958,20230621,M,60대,충청북도,300이상500만원 미만,3,2,19,0,80,0,20,0
53344072,20230621,F,20대,경기도,무응답,3,5,25,50,50,0,0,0
53344119,20230621,F,40대,경기도,300이상500만원 미만,2,4,18,40,50,0,10,0
53344214,20230621,M,20대,대전광역시,무응답,4,12,44,20,5,0,75,0
53344232,20230621,F,60대,전라북도,500이상700만원 미만,12,8,76,0,70,10,20,0
53344251,20230621,M,60대,경기도,500이상700만원 미만,4,8,36,10,30,60,0,0
53344589,20230621,F,30대,충청남도,700만원 이상,2,1,12,50,0,50,0,0
53344901,20230621,M,30대,부산광역시,300만원 미만,2,8,26,10,10,50,30,0
53344933,20230621,F,30대,충청북도,300만원 미만,2,4,18,60,0,10,30,0
53345000,20230621,F,40대,부산광역시,700만원 이상,3,5,25,40,20,10,30,0
53345158,20230621,M,50대,경상남도,300이상500만원 미만,3,8,31,50,30,0,20,0
53345442,20230621,F,40대,서울특별시,300만원 미만,5,7,39,20,20,10,50,0
53345827,20230621,F,40대,경기도,300이상500만원 미만,6,4,38,40,0,0,60,0
53346233,20230621,F,50대,부산광역시,300만원 미만,1,2,9,15,25,35,25,0
53346293,20230621,F,20대,경기도,700만원 이상,3,8,31,50,30,0,20,0
53346303,20230621,M,20대,충청남도,300이상500만원 미만,4,12,44,30,0,10,60,0
