RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322168,20230628,M,30대,세종특별자치시,500이상700만원 미만,4,9,38,10,30,30,30,0
53322615,20230628,M,50대,서울특별시,700만원 이상,3,8,31,80,0,20,0,0
53322650,20230628,M,50대,서울특별시,300이상500만원 미만,4,8,36,20,80,0,0,0
53322728,20230628,M,40대,서울특별시,700만원 이상,4,9,38,10,50,0,40,0
53322767,20230628,F,40대,서울특별시,500이상700만원 미만,4,8,36,50,10,10,30,0
53322841,20230628,F,30대,서울특별시,300이상500만원 미만,2,6,22,30,20,30,20,0
53322994,20230628,M,40대,서울특별시,500이상700만원 미만,5,10,45,30,0,0,70,0
53323089,20230628,F,60대,서울특별시,300이상500만원 미만,3,5,25,40,10,20,30,0
53323396,20230628,M,60대,서울특별시,300이상500만원 미만,5,8,41,0,50,20,30,0
53323407,20230628,M,50대,서울특별시,700만원 이상,3,12,39,30,50,0,20,0
53323433,20230628,F,50대,서울특별시,700만원 이상,2,4,18,50,10,10,20,10
53323527,20230628,M,30대,서울특별시,300이상500만원 미만,3,2,19,80,5,0,15,0
53323605,20230628,F,30대,서울특별시,300이상500만원 미만,3,5,25,65,10,10,15,0
53323829,20230628,M,60대,서울특별시,700만원 이상,3,3,21,30,30,20,20,0
53324042,20230628,M,30대,서울특별시,500이상700만원 미만,2,4,18,10,20,20,50,0
53324068,20230628,M,60대,서울특별시,700만원 이상,5,10,45,80,10,10,0,0
53324312,20230628,M,40대,서울특별시,700만원 이상,1,10,25,30,30,0,40,0
53324595,20230628,F,50대,서울특별시,300만원 미만,3,5,25,20,50,0,30,0
53324613,20230628,F,60대,서울특별시,300만원 미만,3,6,27,60,10,20,10,0
53324700,20230628,F,60대,서울특별시,500이상700만원 미만,6,5,40,20,20,10,50,0
53324795,20230628,M,30대,서울특별시,300만원 미만,6,6,42,90,0,0,10,0
53324977,20230628,F,40대,서울특별시,500이상700만원 미만,2,4,18,60,20,0,20,0
53325016,20230628,F,50대,서울특별시,300만원 미만,2,10,30,70,0,0,30,0
53325084,20230628,F,40대,서울특별시,700만원 이상,3,5,25,50,20,10,10,10
53325113,20230628,M,40대,서울특별시,500이상700만원 미만,1,6,17,30,15,30,25,0
53325476,20230628,F,50대,경기도,무응답,1,7,19,10,20,40,30,0
53325576,20230628,F,40대,부산광역시,300이상500만원 미만,2,4,18,20,25,30,25,0
53325630,20230628,F,40대,경기도,300만원 미만,2,2,14,20,0,0,0,80
53325699,20230628,M,60대,경기도,300만원 미만,5,10,45,30,30,30,10,0
53325919,20230628,F,60대,경기도,500이상700만원 미만,5,0,25,50,20,0,30,0
53325929,20230628,M,30대,부산광역시,300만원 미만,2,4,18,40,20,30,10,0
53325991,20230628,M,50대,서울특별시,300이상500만원 미만,2,8,26,60,10,10,20,0
53326328,20230628,M,60대,부산광역시,700만원 이상,9,9,63,10,60,20,10,0
53326433,20230628,F,30대,충청남도,300이상500만원 미만,3,1,17,90,5,0,5,0
53326500,20230628,M,40대,경기도,300만원 미만,5,10,45,40,10,15,35,0
53326511,20230628,M,30대,서울특별시,무응답,3,12,39,30,0,10,60,0
53326600,20230628,M,60대,인천광역시,300이상500만원 미만,2,3,16,0,50,0,50,0
53326656,20230628,M,60대,전라북도,300이상500만원 미만,2,10,30,10,90,0,0,0
53326696,20230628,M,30대,경기도,700만원 이상,1,1,7,10,20,40,30,0
53326855,20230628,F,30대,대전광역시,300이상500만원 미만,2,5,20,50,0,0,50,0
53326954,20230628,F,30대,충청북도,700만원 이상,2,4,18,50,0,0,0,50
53327318,20230628,F,30대,광주광역시,무응답,1,3,11,30,15,15,40,0
53327617,20230628,F,40대,인천광역시,300이상500만원 미만,2,2,14,50,0,0,50,0
53327780,20230628,F,50대,부산광역시,300만원 미만,3,3,21,30,20,20,30,0
53327838,20230628,M,30대,강원도,300이상500만원 미만,2,4,18,80,10,10,0,0
53327840,20230628,F,30대,서울특별시,300만원 미만,2,5,20,60,5,5,30,0
53327956,20230628,M,60대,서울특별시,700만원 이상,2,10,30,50,0,30,20,0
53328165,20230628,M,40대,대구광역시,300이상500만원 미만,2,5,20,20,10,0,70,0
53328181,20230628,M,60대,부산광역시,무응답,3,3,21,40,0,40,20,0
53328209,20230628,M,20대,서울특별시,300이상500만원 미만,4,8,36,50,10,10,30,0
53328328,20230628,M,30대,서울특별시,500이상700만원 미만,3,7,29,30,0,0,70,0
53328331,20230628,F,60대,경기도,300이상500만원 미만,3,6,27,0,10,60,30,0
53328371,20230628,M,40대,세종특별자치시,300이상500만원 미만,1,2,9,50,30,0,20,0
53328438,20230628,F,30대,서울특별시,무응답,10,10,70,70,30,0,0,0
53328467,20230628,F,60대,서울특별시,300이상500만원 미만,3,8,31,20,50,0,30,0
53328773,20230628,M,40대,경기도,500이상700만원 미만,0,2,4,0,100,0,0,0
53328943,20230628,M,20대,대전광역시,무응답,1,3,11,50,0,0,50,0
53329183,20230628,M,20대,경기도,무응답,5,5,35,40,10,20,30,0
53329441,20230628,F,50대,경기도,700만원 이상,4,7,34,20,20,30,30,0
53329930,20230628,M,60대,전라북도,300이상500만원 미만,8,6,52,10,20,40,30,0
53330036,20230628,F,40대,인천광역시,700만원 이상,2,2,14,50,20,10,20,0
53330099,20230628,F,50대,경상북도,300만원 미만,3,5,25,60,0,0,40,0
53330172,20230628,M,50대,경상남도,700만원 이상,1,5,15,30,20,0,50,0
53330176,20230628,F,40대,서울특별시,700만원 이상,1,3,11,40,0,30,30,0
53330195,20230628,F,60대,경상남도,300만원 미만,2,8,26,20,50,0,30,0
53330333,20230628,M,50대,제주특별자치도,500이상700만원 미만,8,0,40,20,20,40,10,10
53330440,20230628,F,60대,강원도,300이상500만원 미만,2,4,18,60,20,20,0,0
53330697,20230628,F,20대,울산광역시,무응답,2,10,30,50,30,10,10,0
53330701,20230628,M,20대,제주특별자치도,300만원 미만,5,5,35,20,50,0,30,0
53330768,20230628,M,60대,전라남도,300만원 미만,5,15,55,20,30,0,50,0
53330784,20230628,F,20대,대구광역시,700만원 이상,3,8,31,40,40,0,20,0
53330824,20230628,M,30대,경기도,300만원 미만,2,4,18,25,25,25,25,0
53330827,20230628,M,20대,경기도,300이상500만원 미만,5,12,49,90,0,0,10,0
53330829,20230628,F,60대,부산광역시,무응답,1,2,9,50,0,50,0,0
53331088,20230628,F,30대,경상남도,300이상500만원 미만,3,1,17,45,10,15,30,0
53331123,20230628,M,20대,경상북도,300이상500만원 미만,2,10,30,50,20,10,20,0
53331315,20230628,F,30대,경기도,300만원 미만,3,3,21,75,5,10,10,0
53331364,20230628,M,20대,서울특별시,700만원 이상,11,12,79,50,30,10,10,0
53331372,20230628,M,50대,서울특별시,300이상500만원 미만,17,17,119,25,25,25,0,25
53331437,20230628,F,60대,경상북도,500이상700만원 미만,1,3,11,20,20,30,30,0
53331556,20230628,F,40대,충청북도,500이상700만원 미만,10,10,70,40,40,0,20,0
53331582,20230628,F,60대,서울특별시,300만원 미만,4,2,24,0,50,50,0,0
53331667,20230628,F,60대,인천광역시,700만원 이상,3,6,27,50,0,15,35,0
53331810,20230628,M,40대,경기도,300이상500만원 미만,2,2,14,60,20,10,10,0
53331838,20230628,F,40대,대전광역시,700만원 이상,1,6,17,80,0,10,10,0
53331979,20230628,F,30대,대전광역시,300만원 미만,0,10,20,1,0,0,99,0
53332191,20230628,M,50대,경기도,300이상500만원 미만,2,5,20,0,50,20,30,0
53332227,20230628,F,60대,광주광역시,300만원 미만,1,1,7,90,10,0,0,0
53332249,20230628,M,40대,경기도,300이상500만원 미만,1,4,13,30,40,10,20,0
53332470,20230628,M,60대,경기도,300이상500만원 미만,4,5,30,20,0,0,0,80
53332633,20230628,F,20대,충청남도,무응답,4,15,50,60,0,10,30,0
53332649,20230628,F,40대,경기도,700만원 이상,2,6,22,50,0,50,0,0
