RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
52350,20240417,F,60대,경기도,700만원 이상,4,4,28,60.00000,20.00000,10.00000,10.00000,0.00000
66504,20240417,M,50대,전라남도,500이상700만원 미만,2,14,38,10.00000,10.00000,0.00000,80.00000,0.00000
146337,20240417,M,30대,전라남도,300만원 미만,5,7,39,25.00000,25.00000,10.00000,0.00000,40.00000
149538,20240417,M,50대,충청남도,300이상500만원 미만,12,12,84,85.00000,0.00000,10.00000,5.00000,0.00000
238721,20240417,M,20대,경기도,300이상500만원 미만,4,6,32,60.00000,0.00000,20.00000,20.00000,0.00000
254601,20240417,F,60대,경기도,500이상700만원 미만,2,5,20,80.00000,0.00000,0.00000,0.00000,20.00000
257684,20240417,M,40대,경기도,700만원 이상,1,8,21,10.00000,10.00000,20.00000,30.00000,30.00000
265782,20240417,M,30대,경기도,무응답,1,1,7,100.00000,0.00000,0.00000,0.00000,0.00000
281198,20240417,F,60대,전라남도,300만원 미만,3,6,27,50.00000,0.00000,10.00000,40.00000,0.00000
297769,20240417,M,40대,경기도,300이상500만원 미만,2,5,20,20.00000,50.00000,10.00000,20.00000,0.00000
324321,20240417,M,40대,경기도,300이상500만원 미만,1,4,13,0.00000,0.00000,80.00000,20.00000,0.00000
336231,20240417,F,20대,경기도,300이상500만원 미만,5,7,39,80.00000,10.00000,5.00000,5.00000,0.00000
339300,20240417,F,60대,서울특별시,300이상500만원 미만,3,8,31,20.00000,20.00000,60.00000,0.00000,0.00000
365469,20240417,M,20대,울산광역시,500이상700만원 미만,4,10,40,70.00000,10.00000,10.00000,10.00000,0.00000
366557,20240417,M,20대,서울특별시,300만원 미만,4,4,28,80.00000,10.00000,0.00000,10.00000,0.00000
389201,20240417,F,60대,경기도,300만원 미만,3,5,25,70.00000,10.00000,10.00000,10.00000,0.00000
394153,20240417,M,20대,경기도,500이상700만원 미만,4,8,36,25.00000,50.00000,5.00000,20.00000,0.00000
398527,20240417,M,40대,경기도,700만원 이상,2,5,20,25.00000,25.00000,25.00000,25.00000,0.00000
400016,20240417,M,30대,경기도,300이상500만원 미만,2,10,30,30.00000,10.00000,20.00000,40.00000,0.00000
400867,20240417,F,20대,서울특별시,300만원 미만,4,12,44,50.00000,5.00000,40.00000,5.00000,0.00000
408809,20240417,M,30대,경기도,300만원 미만,3,10,35,30.00000,20.00000,30.00000,20.00000,0.00000
418862,20240417,M,20대,경기도,300이상500만원 미만,5,14,53,20.00000,30.00000,20.00000,30.00000,0.00000
419933,20240417,M,50대,전라남도,700만원 이상,1,5,15,50.00000,10.00000,5.00000,35.00000,0.00000
420748,20240417,M,50대,전라남도,700만원 이상,1,2,9,0.00000,100.00000,0.00000,0.00000,0.00000
421289,20240417,M,30대,전라남도,700만원 이상,7,8,51,40.00000,10.00000,10.00000,40.00000,0.00000
422097,20240417,M,20대,서울특별시,300이상500만원 미만,1,3,11,50.00000,30.00000,10.00000,10.00000,0.00000
424547,20240417,M,20대,경상남도,300이상500만원 미만,3,3,21,50.00000,50.00000,0.00000,0.00000,0.00000
425439,20240417,M,20대,부산광역시,300만원 미만,3,6,27,50.00000,50.00000,0.00000,0.00000,0.00000
425872,20240417,M,20대,서울특별시,300만원 미만,10,10,70,40.00000,10.00000,50.00000,0.00000,0.00000
429242,20240417,M,20대,경기도,500이상700만원 미만,2,5,20,0.00000,0.00000,50.00000,50.00000,0.00000
429940,20240417,M,20대,충청북도,300만원 미만,4,4,28,60.00000,10.00000,10.00000,20.00000,0.00000
430734,20240417,M,20대,광주광역시,300만원 미만,12,15,90,50.00000,10.00000,10.00000,30.00000,0.00000
431072,20240417,M,20대,경기도,700만원 이상,8,7,54,40.00000,30.00000,15.00000,15.00000,0.00000
439844,20240417,F,60대,경기도,300이상500만원 미만,8,7,54,60.00000,20.00000,10.00000,10.00000,0.00000
442108,20240417,M,20대,강원도,무응답,4,6,32,60.00000,40.00000,0.00000,0.00000,0.00000
444017,20240417,F,30대,경기도,300이상500만원 미만,1,1,7,90.00000,0.00000,10.00000,0.00000,0.00000
445256,20240417,F,60대,서울특별시,700만원 이상,2,8,26,5.00000,15.00000,45.00000,35.00000,0.00000
445860,20240417,M,20대,경기도,700만원 이상,6,2,34,50.00000,10.00000,10.00000,30.00000,0.00000
447315,20240417,M,20대,경상남도,700만원 이상,3,15,45,70.00000,0.00000,0.00000,30.00000,0.00000
450261,20240417,M,20대,인천광역시,500이상700만원 미만,4,5,30,20.00000,30.00000,20.00000,30.00000,0.00000
453053,20240417,M,20대,경기도,300이상500만원 미만,3,1,17,10.00000,0.00000,10.00000,80.00000,0.00000
454411,20240417,M,20대,강원도,300만원 미만,3,6,27,50.00000,30.00000,0.00000,20.00000,0.00000
457087,20240417,M,20대,충청남도,300만원 미만,6,12,54,100.00000,0.00000,0.00000,0.00000,0.00000
459454,20240417,M,20대,경기도,700만원 이상,1,1,7,20.00000,20.00000,20.00000,20.00000,20.00000
463091,20240417,M,20대,충청북도,500이상700만원 미만,4,10,40,10.00000,50.00000,10.00000,30.00000,0.00000
