model_name,valid_data,accuracy_score,F1_score
lr,train,0.9841359773371104,0.9856012875192005
knn,train,0.9546742209631728,0.9583454854970811
gbc,train,0.9818696883852691,0.9831406738117837
xgb,train,0.9903682719546743,0.9911778430203583
