key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y,s1,s2,s3,s4
S010000952-2023,서울특별시 송파구,S010000952,서울풍납초등학교,무,무,시설없음,14.6,4.739175257731959,0,0,0,2.1618556701030927,10.0,9.0,3.0,3.0,2.0,2.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,시설없음,무,9.108741523432656,1.3854834797022457,1.223155263451874,30.1,22.1
S010000952-2024,서울특별시 송파구,S010000952,서울풍납초등학교,무,무,시설없음,14.0,4.710951008645533,0,0,0,2.4054755043227667,7.0,4.0,6.0,10.0,2.0,1.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,시설없음,무,9.28062451896607,1.438873799454916,1.216875726697975,34.1,22.1
S010000953-2021,서울특별시 송파구,S010000953,서울풍성초등학교,유,유,시설없음,14.0,5.560750853242321,0,0,0,1.8064846416382252,12.0,12.0,15.0,4.0,6.0,2.0,4.0,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,적정설치,미설치,미설치,유,유,시설없음,11.950342592694572,4.295691384923437,1.3329660677650523,55.1,10.1
S010000953-2022,서울특별시 송파구,S010000953,서울풍성초등학교,유,유,시설없음,12.9,4.1625,0,0,0,1.35,11.0,11.0,10.0,4.0,6.0,2.0,3.0,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,적정설치,미설치,미설치,유,유,시설없음,11.44100318537773,4.150052296225169,1.1261424642829747,47.1,10.1
S010000953-2023,서울특별시 송파구,S010000953,서울풍성초등학교,유,유,시설없음,14.0,4.008794788273615,0,0,0,2.3801302931596093,11.0,11.0,10.0,4.0,4.0,2.0,3.0,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,적정설치,미설치,미설치,유,유,시설없음,11.658891603655361,4.433577615604987,1.1038963176945285,45.1,10.1
S010000953-2024,서울특별시 송파구,S010000953,서울풍성초등학교,유,무,시설없음,13.4,5.941924398625429,0,0,0,2.505498281786942,12.0,11.0,10.0,5.2,4.8,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,무,무,시설없음,9.689422503873168,1.459243814820446,1.3771858729653188,47.1,20.1
S010000954-2021,서울특별시 강동구,S010000954,서울한산초등학교,유,유,유,18.3,2.0875776397515526,0,0,0,1.5906832298136646,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,유,유,시설없음,12.651200507486712,5.232081814110508,0.6605481118149865,45.1,19.1
S010000954-2022,서울특별시 강동구,S010000954,서울한산초등학교,유,유,유,17.5,5.080340760157274,0,0,0,1.5416775884665794,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,유,무,시설없음,12.25588104562694,4.216435583340969,1.2808748807247523,45.1,19.1
S010000954-2023,서울특별시 강동구,S010000954,서울한산초등학교,유,유,유,17.200000000000003,4.651539491298527,0,0,0,1.5725568942436412,12.0,9.1,13.0,4.4,4.4,1.5,4.8,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,유,유,시설없음,13.292248096883576,5.226351444848511,1.218284235933836,49.3,19.1
S010000954-2024,서울특별시 강동구,S010000954,서울한산초등학교,유,유,유,16.6,4.556824512534819,0,0,0,1.2142061281337049,14.0,13.6,9.6,10.0,2.0,8.1,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,13.479025406516756,5.097045235378034,1.2021083362464176,59.400000000000006,22.1
