key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
S010001000-2023,서울특별시 양천구,S010001000,영도중학교,시설없음,시설없음,시설없음,13.9,8.741975308641974,0,0,0,2.2604938271604937,10.0,8.0,11.0,9.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음
S010001000-2024,서울특별시 양천구,S010001000,영도중학교,무,무,시설없음,13.2,9.442560553633218,0,0,0,2.522145328719723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,시설없음,무
S010001001-2021,서울특별시 양천구,S010001001,월촌중학교,무,유,유,17.200000000000003,1.2026878015161957,0,0,0,0.8580978635423846,14.0,12.0,13.0,6.0,6.0,4.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음
S010001001-2022,서울특별시 양천구,S010001001,월촌중학교,유,무,유,16.900000000000002,6.158543226684819,0,0,0,0.8488087134104833,9.0,8.0,10.0,2.0,3.0,3.0,7.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,무,시설없음
S010001001-2023,서울특별시 양천구,S010001001,월촌중학교,유,무,유,17.200000000000003,5.56712802768166,0,0,0,0.8612456747404844,10.0,10.0,10.0,7.0,3.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,무,무,시설없음
S010001001-2024,서울특별시 양천구,S010001001,월촌중학교,유,무,유,16.8,6.098588567395907,0,0,0,0.876287932251235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,무,시설없음
S010001002-2021,서울특별시 강서구,S010001002,화곡중학교,무,무,시설없음,19.3,2.9169014084507046,0,0,0,0.9802816901408451,10.0,10.0,10.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음
S010001002-2022,서울특별시 강서구,S010001002,화곡중학교,무,무,시설없음,19.200000000000003,6.708695652173912,0,0,0,0.9695652173913043,8.0,8.0,15.0,3.0,3.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음
S010001002-2023,서울특별시 강서구,S010001002,화곡중학교,무,무,시설없음,17.900000000000002,6.208202443280977,0,0,0,0.9726003490401396,8.3,11.0,15.6,4.0,4.0,3.3,2.6,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음
S010001002-2024,서울특별시 강서구,S010001002,화곡중학교,무,무,시설없음,16.0,6.248282097649185,0,0,0,1.0041591320072334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,시설없음,시설없음,시설없음
