key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,보호자비율,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,614.0,1.1,19.7,무,무,무,무,무,무,0.0,0,1,0,12,0,8,0,330,608,4.6,2.0,11.5,4.0,4.0,2.0,1.4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,280.0,0.0,28.0,1.0,0.0,12.0,8.0,8.0
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,611.0,7.4,19.7,무,무,무,무,무,무,0.0,0,1,10,36,0,8,600,600,606,12.0,11.0,8.0,10.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,265.0,0.0,28.0,1.0,0.0,12.0,0.0,27.0
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,612.0,14.8,19.1,무,무,무,무,무,무,0.0,5,36,36,0,52,610,610,0,607,10.0,10.0,14.0,4.0,6.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,750.0,0.0,28.0,1.0,0.0,12.0,0.0,30.0
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,610.0,15.6,19.1,무,무,무,무,무,무,0.0,2,36,36,0,52,610,610,0,606,10.0,8.0,5.0,4.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,750.0,0.0,28.0,1.0,0.0,12.0,0.0,29.0
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,1,0,1,625.0,2.3,11.2,무,무,시설없음,무,무,무,0.0,0,0,0,0,0,0,0,0,618,14.0,8.3,17.7,6.0,3.3,1.0,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,252.0,20.0,24.0,5.0,0.0,21.0,8.0,8.0
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,573.0,7.3,11.6,무,무,시설없음,무,무,무,0.0,0,0,0,0,0,0,0,0,567,19.0,9.0,18.0,7.3,5.0,1.3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,554.0,59.0,24.0,5.0,0.0,21.0,6.0,40.0
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,582.0,12.9,11.4,유,무,시설없음,무,무,무,0.0,0,0,0,0,0,0,0,0,579,5.3,3.0,17.0,3.0,3.0,2.0,0.6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,315.0,27.0,24.0,5.0,0.0,21.0,3.0,43.0
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,559.0,12.7,11.5,유,무,시설없음,무,무,무,0.0,0,0,0,3,0,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,461.0,14.0,24.0,5.0,0.0,21.0,3.0,70.0
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,0,0,0,443.0,1.2,10.7,무,시설없음,무,무,무,무,7.7,15,1,0,10,36,12,0,40,443,10.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,437.0,0.0,15.0,33.0,0.0,4.0,0.0,30.0
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,438.0,3.2,10.7,무,시설없음,무,무,무,무,0.0,3,10,35,8,34,35,438,43,438,9.0,9.0,5.0,3.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,572.0,0.0,15.0,33.0,0.0,4.0,0.0,28.0
S000003540-2023,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,437.0,4.7,10.1,무,시설없음,무,무,무,무,1.8,3,10,35,8,30,36,438,46,437,8.0,8.0,5.0,5.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,370.0,0.0,15.0,33.0,0.0,4.0,0.0,35.0
S000003540-2024,서울특별시 강남구,S000003540,국립국악고등학교,1,1,0,436.0,3.9,10.7,무,시설없음,무,무,무,무,17.4,3,10,35,8,30,35,438,43,436,8.0,8.0,5.0,5.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,263.0,5.0,15.0,33.0,0.0,4.0,0.0,32.0
S000003542-2021,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,12.6,무,시설없음,시설없음,무,무,무,0.0,0,1,0,0,0,30,0,0,346,15.0,8.0,31.0,10.0,0.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,12.0,32.0,0.0,3.0,8.0,8.0
S000003542-2022,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,12.6,무,시설없음,시설없음,무,무,무,0.0,0,1,0,1,0,29,0,120,352,15.0,10.0,17.0,10.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003542-2023,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,12.6,무,시설없음,시설없음,무,무,무,0.0,0,1,0,3,0,4,0,95,334,10.0,10.0,10.0,10.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003542-2024,서울특별시 강남구,S000003542,국립국악중학교,0,0,0,436.0,3.9,12.6,무,시설없음,시설없음,무,무,무,0.0,0,1,0,3,0,4,0,104,309,10.0,10.0,10.0,5.0,2.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003545-2021,서울특별시 종로구,S000003545,서울농학교,0,0,0,68.0,5.2,1.3,무,무,무,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,68,10.0,10.0,10.0,6.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2022,서울특별시 종로구,S000003545,서울농학교,0,0,0,54.0,12.0,1.6,유,유,유,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,54,6.0,6.0,6.0,3.0,3.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,50.0,20.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2023,서울특별시 종로구,S000003545,서울농학교,0,0,0,70.0,11.9,1.7,유,유,유,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,70,6.0,6.0,6.0,4.0,2.0,4.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003545-2024,서울특별시 종로구,S000003545,서울농학교,0,0,0,71.0,9.7,1.9,유,유,유,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,71,10.0,10.0,10.0,11.0,2.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,47.0,25.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003553-2021,서울특별시 마포구,S000003553,한국우진학교,0,0,0,145.0,3.0,2.2,시설없음,유,시설없음,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,145,13.0,11.0,10.0,5.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003553-2022,서울특별시 마포구,S000003553,한국우진학교,0,0,0,149.0,6.6,2.3,시설없음,무,시설없음,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,149,13.0,11.0,10.0,5.0,5.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003553-2023,서울특별시 마포구,S000003553,한국우진학교,0,0,0,149.0,4.8,2.2,시설없음,무,시설없음,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,149,8.0,8.0,5.0,5.0,5.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003553-2024,서울특별시 마포구,S000003553,한국우진학교,0,0,0,148.0,3.4,2.4,시설없음,시설없음,시설없음,시설없음,시설없음,시설없음,0.0,31,68,68,68,121,180,180,180,148,8.0,8.0,5.0,5.0,5.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003561-2021,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,717.0,2.2,11.6,시설없음,시설없음,시설없음,시설없음,시설없음,시설없음,27.7,0,2,0,0,0,13,0,0,717,7.0,12.0,18.0,6.0,6.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,668.0,0.0,50.0,11.0,2.0,21.0,50.0,57.0
S000003561-2022,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,709.0,6.6,9.7,유,무,무,무,무,무,0.0,0,2,0,0,0,12,0,0,709,8.0,9.0,19.0,5.0,5.0,3.0,6.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,678.0,41.0,50.0,11.0,2.0,21.0,14.0,49.0
S000003561-2023,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,1,0,0,677.0,11.6,10.6,유,무,무,무,무,무,0.0,2,0,0,1,15,0,0,20,677,11.0,12.0,12.0,7.0,2.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,547.0,57.0,50.0,11.0,2.0,21.0,0.0,43.0
S000003561-2024,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,0,1,0,711.0,12.3,10.9,무,무,무,무,무,무,0.0,4,0,5,0,20,0,250,0,711,13.0,8.0,23.0,5.0,3.0,2.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,773.0,22.0,50.0,11.0,2.0,21.0,0.0,47.0
S000003562-2021,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,1,405.0,1.7,8.6,무,시설없음,시설없음,무,무,시설없음,0.0,0,2,0,5,0,17,0,397,397,16.0,5.0,9.0,3.0,3.0,5.0,3.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,단순설치,미설치,단순설치,388.0,37.0,0.0,29.0,0.0,20.0,8.0,8.0
S000003562-2022,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,0,406.0,6.7,8.2,무,시설없음,시설없음,무,무,시설없음,0.0,0,2,5,5,0,19,398,79,399,16.0,5.0,9.0,3.0,3.0,5.0,3.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,364.0,0.0,0.0,29.0,0.0,12.0,12.0,54.0
S000003562-2023,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,1,0,0,362.0,8.7,8.2,무,시설없음,시설없음,무,무,시설없음,0.0,0,2,5,5,0,20,364,79,355,16.0,18.0,18.0,10.0,8.0,3.0,6.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,329.0,17.0,19.0,3.0,0.0,17.0,20.0,59.0
S000003562-2024,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,0,0,335.0,10.8,6.7,무,무,무,무,무,시설없음,0.0,0,2,5,5,0,20,335,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치,391.0,14.0,19.0,11.0,0.0,17.0,22.0,62.0
S000003563-2021,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,0,0,627.0,0.3,16.3,시설없음,무,무,무,무,무,0.0,39,0,0,0,623,0,0,0,620,4.0,0.0,4.0,0.0,1.0,0.0,0.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,171.0,0.0,33.0,1.0,0.0,2.0,8.0,8.0
S000003563-2022,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,1,0,621.0,3.4,17.0,시설없음,무,무,무,무,무,0.0,2,35,35,35,70,617,617,617,617,4.0,4.0,4.0,4.0,4.0,4.0,4.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,500.0,0.0,33.0,1.0,0.0,2.0,0.0,26.0
S000003563-2023,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,1,0,613.0,6.7,16.1,무,무,무,무,무,무,0.0,3,30,30,33,77,610,610,610,607,12.0,11.0,8.0,10.0,4.0,2.0,2.0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,333.0,19.0,33.0,1.0,0.0,2.0,2.0,26.0
S000003563-2024,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,0,1,0,595.0,7.1,16.0,시설없음,무,무,무,무,무,0.0,6,30,30,30,80,600,600,600,588,14.0,15.0,10.0,8.0,4.0,4.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,333.0,19.0,33.0,1.0,0.0,2.0,3.0,26.0
S000003610-2021,서울특별시 종로구,S000003610,서울맹학교,0,0,1,105.0,3.2,1.6,시설없음,무,유,유,유,시설없음,0.0,0,0,0,20,0,0,0,87,105,10.0,10.0,10.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,152.0,0.0,42.0,6.0,0.0,28.0,8.0,8.0
S000003610-2022,서울특별시 종로구,S000003610,서울맹학교,0,0,1,110.0,5.6,1.6,시설없음,무,무,무,무,시설없음,0.0,0,0,0,20,0,0,0,80,110,8.0,8.0,5.0,2.0,3.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,42.0,6.0,0.0,28.0,8.0,8.0
S000003610-2023,서울특별시 종로구,S000003610,서울맹학교,0,0,1,107.0,5.3,1.5,시설없음,무,무,무,무,시설없음,0.0,0,0,0,20,0,0,0,80,107,5.0,5.0,6.0,7.0,2.0,7.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000003610-2024,서울특별시 종로구,S000003610,서울맹학교,0,0,0,104.0,6.0,1.6,시설없음,무,무,무,무,시설없음,0.0,0,0,0,20,0,0,0,80,104,10.0,10.0,11.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000005401-2021,서울특별시 금천구,S000005401,국립전통예술고등학교,0,1,0,527.0,2.9,12.8,시설없음,무,무,무,무,시설없음,20.9,0,0,0,0,0,0,0,0,527,10.0,10.0,10.0,5.0,5.0,2.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,103.0,0.0,18.0,0.0,0.0,49.0,7.0,34.0
S000005401-2022,서울특별시 금천구,S000005401,국립전통예술고등학교,0,1,0,526.0,10.2,12.2,시설없음,무,무,무,무,시설없음,27.7,0,0,0,0,0,0,0,0,526,8.0,8.0,5.0,2.0,3.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,326.0,6.0,18.0,0.0,0.0,49.0,5.0,27.0
S000005401-2023,서울특별시 금천구,S000005401,국립전통예술고등학교,0,1,0,523.0,12.9,5.1,시설없음,무,무,무,무,시설없음,0.0,2,0,0,0,10,0,0,0,523,8.0,8.0,5.0,5.0,4.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,504.0,3.0,18.0,0.0,0.0,49.0,0.0,31.0
S000005401-2024,서울특별시 금천구,S000005401,국립전통예술고등학교,1,1,1,518.0,4.1,3.7,시설없음,무,무,무,무,시설없음,0.0,0,0,0,2,0,0,0,10,518,11.0,10.0,17.0,8.0,2.0,1.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,461.0,4.0,18.0,0.0,0.0,49.0,0.0,36.0
S000005402-2021,서울특별시 금천구,S000005402,국립전통예술중학교,0,0,0,518.0,4.1,4.0,시설없음,무,무,무,무,무,0.0,0,0,0,18,0,0,0,34,219,12.0,8.6,19.3,4.4,2.0,3.0,2.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,9.0,0.0,0.0,19.0,8.0,8.0
S000005402-2022,서울특별시 금천구,S000005402,국립전통예술중학교,0,0,0,518.0,4.1,4.0,시설없음,무,무,무,무,무,0.0,2,2,26,2,34,16,219,16,222,14.0,10.0,15.0,6.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000005402-2023,서울특별시 금천구,S000005402,국립전통예술중학교,0,0,0,518.0,4.1,4.0,시설없음,무,무,무,무,무,0.0,2,2,26,2,34,16,221,16,222,9.0,7.0,8.0,10.0,2.0,2.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000005402-2024,서울특별시 금천구,S000005402,국립전통예술중학교,0,0,0,518.0,4.1,4.0,시설없음,무,무,무,무,무,0.0,2,2,26,2,34,16,214,16,214,9.0,7.0,8.0,6.0,4.0,2.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,0.0,0.0,9.0,1.0,0.0,19.0,8.0,8.0
S010000370-2021,서울특별시 송파구,S010000370,가락고등학교,0,0,0,823.0,2.3,13.0,무,무,시설없음,유,무,무,16.1,0,2,0,0,0,16,0,0,823,11.0,12.0,12.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,509.0,0.0,33.0,3.0,1.0,8.0,28.0,42.0
S010000370-2022,서울특별시 송파구,S010000370,가락고등학교,0,0,0,822.0,4.1,12.6,무,무,무,유,무,무,0.0,0,2,0,0,0,16,0,0,822,12.0,12.0,12.0,6.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,790.0,0.0,33.0,3.0,1.0,8.0,8.0,43.0
S010000370-2023,서울특별시 송파구,S010000370,가락고등학교,0,0,0,767.0,5.3,13.0,무,무,시설없음,유,무,무,0.0,0,0,1,0,0,0,761,0,767,10.0,10.0,10.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,890.0,0.0,30.0,3.0,1.0,8.0,1.0,38.0
S010000370-2024,서울특별시 송파구,S010000370,가락고등학교,0,0,0,765.0,5.2,13.8,무,무,시설없음,유,무,무,0.0,0,0,1,0,0,0,761,0,765,10.0,10.0,10.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,920.0,18.0,30.0,3.0,1.0,8.0,0.0,40.0
S010000371-2021,서울특별시 강동구,S010000371,강동고등학교,1,0,0,609.0,1.2,13.4,유,무,유,유,유,무,12.0,0,1,0,0,0,24,0,0,609,2.0,2.0,2.0,1.0,0.0,1.0,3.0,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,183.0,45.0,24.0,0.0,0.0,11.0,53.0,30.0
S010000371-2022,서울특별시 강동구,S010000371,강동고등학교,1,0,0,604.0,2.1,12.8,유,시설없음,유,유,유,유,0.0,1,1,1,1,22,22,22,22,604,4.0,4.0,2.0,2.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치,447.0,47.0,24.0,0.0,0.0,10.0,29.0,22.0
S010000371-2023,서울특별시 강동구,S010000371,강동고등학교,1,0,0,615.0,5.9,14.0,유,시설없음,유,유,유,유,0.0,1,1,1,1,24,24,24,24,615,10.0,8.0,16.0,5.0,1.0,1.0,2.0,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치,698.0,45.0,24.0,3.0,0.0,7.0,0.0,30.0
S010000371-2024,서울특별시 강동구,S010000371,강동고등학교,0,0,0,672.0,6.1,13.8,유,시설없음,유,유,유,유,0.0,1,1,1,1,28,28,28,28,672,10.0,10.0,10.0,7.0,3.0,5.0,2.0,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치,822.0,50.0,24.0,3.0,0.0,7.0,0.0,30.0
S010000372-2021,서울특별시 양천구,S010000372,강서고등학교,0,0,0,980.0,1.3,15.0,유,시설없음,무,무,무,무,10.9,0,0,0,18,0,0,0,62,980,10.0,10.0,12.4,2.0,1.6,2.0,2.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치,192.0,0.0,36.0,6.0,0.0,3.0,5.0,53.0
S010000372-2022,서울특별시 양천구,S010000372,강서고등학교,0,0,0,1004.0,2.4,15.5,유,시설없음,시설없음,무,무,무,0.0,11,0,0,11,1007,0,0,1007,1004,10.0,11.0,12.4,2.6,2.0,2.0,1.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치,200.0,50.0,36.0,0.0,4.0,12.0,1.0,50.0
S010000372-2023,서울특별시 양천구,S010000372,강서고등학교,0,0,0,992.0,3.7,14.9,유,시설없음,시설없음,무,무,무,0.0,36,0,0,11,1014,0,0,1014,992,8.0,8.0,8.5,2.0,3.5,1.0,1.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치,494.0,73.0,35.0,0.0,4.0,12.0,1.0,53.0
S010000372-2024,서울특별시 양천구,S010000372,강서고등학교,0,0,0,1014.0,3.4,14.6,유,시설없음,시설없음,무,무,무,5.1,36,0,0,11,1014,0,0,1014,1014,8.0,7.0,14.0,3.0,3.0,1.0,1.0,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치,312.0,28.0,35.0,0.0,4.0,12.0,0.0,54.0
S010000373-2021,서울특별시 강남구,S010000373,개포고등학교,0,0,0,622.0,2.7,11.7,유,무,시설없음,유,무,시설없음,34.9,1,1,1,0,15,15,14,0,622,10.0,10.0,10.0,6.0,4.0,3.0,0.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,356.0,2.0,31.0,10.0,0.0,7.0,25.0,38.0
S010000373-2022,서울특별시 강남구,S010000373,개포고등학교,0,0,0,642.0,4.7,11.6,유,무,시설없음,유,무,시설없음,0.0,2,0,6,0,30,0,590,0,642,15.0,10.0,16.0,5.0,5.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,451.0,39.0,31.0,10.0,0.0,7.0,4.0,40.0
S010000373-2023,서울특별시 강남구,S010000373,개포고등학교,0,0,0,639.0,7.5,11.9,유,무,시설없음,유,무,시설없음,0.0,2,0,6,0,40,0,590,0,639,10.0,8.0,12.0,2.0,3.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,379.0,23.0,31.0,10.0,0.0,7.0,2.0,39.0
S010000373-2024,서울특별시 강남구,S010000373,개포고등학교,0,0,0,693.0,6.7,12.8,유,무,시설없음,유,무,시설없음,0.0,2,0,6,0,40,0,590,0,693,12.0,8.0,17.0,4.0,4.0,3.0,2.0,단순설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,단순설치,미설치,미설치,540.0,127.0,31.0,10.0,0.0,7.0,0.0,39.0
S010000374-2021,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,0,0,1,1016.0,2.0,13.5,유,유,시설없음,유,유,시설없음,14.0,0,0,0,0,0,0,0,0,1016,10.0,5.0,4.0,2.0,2.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,462.0,1.0,41.0,6.0,0.0,9.0,77.0,52.0
