key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,보호자비율,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000764-2021,서울특별시 서초구,S010000764,서울서초초등학교,0,0,0,1084.0,0.4,25.6,유,무,시설없음,유,유,시설없음,0.0,1,1,0,6,20,20,0,60,1078,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,350.0,0.0,36.0,2.0,1.0,2.0,8.0,8.0
S010000764-2022,서울특별시 서초구,S010000764,서울서초초등학교,0,0,0,1074.0,4.7,22.5,유,무,시설없음,유,유,시설없음,0.0,36,36,36,49,40,1060,1060,1060,1068,10.0,9.0,3.0,5.0,5.0,0.0,1.0,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,478.0,1.0,36.0,2.0,1.0,2.0,0.0,18.0
S010000764-2023,서울특별시 서초구,S010000764,서울서초초등학교,0,0,0,1057.0,7.9,22.3,유,무,시설없음,유,유,시설없음,0.0,36,36,36,53,72,1042,1042,1042,1052,10.0,9.0,3.0,2.0,3.0,0.0,1.0,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,558.0,1.0,36.0,2.0,1.0,2.0,0.0,18.0
S010000764-2024,서울특별시 서초구,S010000764,서울서초초등학교,0,0,0,1027.0,13.1,20.2,유,무,시설없음,무,무,시설없음,0.0,36,36,36,52,72,1017,1017,1017,1022,12.0,11.0,10.0,5.0,5.5,2.0,2.3,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,543.0,0.0,36.0,2.0,1.0,2.0,0.0,21.0
S010000765-2021,서울특별시 강남구,S010000765,서울수서초등학교,0,0,0,176.0,1.2,9.4,유,시설없음,유,유,무,시설없음,48.2,0,1,0,0,0,6,0,0,166,13.0,12.0,10.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,146.0,10.0,13.0,4.0,1.0,8.0,8.0,8.0
S010000765-2022,서울특별시 강남구,S010000765,서울수서초등학교,0,0,0,150.0,7.5,8.5,유,시설없음,유,유,무,시설없음,15.0,4,1,0,0,15,6,0,0,141,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,135.0,45.0,13.0,4.0,1.0,8.0,6.0,8.0
S010000765-2023,서울특별시 강남구,S010000765,서울수서초등학교,0,0,0,153.0,12.0,8.4,유,시설없음,유,유,무,시설없음,0.0,1,14,0,0,8,151,0,0,144,12.0,11.0,19.0,10.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,0.0,0.0,13.0,4.0,1.0,8.0,5.0,8.0
S010000765-2024,서울특별시 강남구,S010000765,서울수서초등학교,0,0,0,142.0,15.8,7.4,유,유,유,유,무,시설없음,0.0,1,14,0,0,8,151,0,0,135,12.0,11.0,19.0,10.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,0.0,0.0,13.0,4.0,1.0,8.0,5.0,10.0
S010000766-2021,서울특별시 강남구,S010000766,서울신구초등학교,0,0,0,524.0,0.6,18.4,유,유,시설없음,무,유,무,0.0,0,22,0,0,0,550,0,0,513,12.0,11.0,8.0,6.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,미설치,미설치,0.0,0.0,24.0,6.0,0.0,3.0,8.0,8.0
S010000766-2022,서울특별시 강남구,S010000766,서울신구초등학교,0,0,0,497.0,4.3,17.4,유,유,시설없음,무,유,무,0.0,0,0,22,0,0,0,490,0,485,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,미설치,미설치,0.0,120.0,24.0,6.0,0.0,3.0,0.0,22.0
S010000766-2023,서울특별시 강남구,S010000766,서울신구초등학교,0,0,0,486.0,5.4,17.3,유,유,시설없음,무,유,무,0.0,0,0,22,0,0,0,487,0,478,12.0,11.0,8.0,2.0,8.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,미설치,미설치,0.0,132.0,24.0,6.0,0.0,3.0,0.0,27.0
S010000766-2024,서울특별시 강남구,S010000766,서울신구초등학교,0,0,0,466.0,5.9,16.4,유,유,시설없음,무,무,무,0.0,0,0,22,0,0,0,487,0,456,12.0,11.0,8.0,2.0,8.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,미설치,미설치,609.0,126.0,24.0,6.0,0.0,3.0,0.0,27.0
S010000767-2021,서울특별시 서초구,S010000767,서울신동초등학교,0,0,0,1468.0,0.7,24.8,유,시설없음,무,무,무,시설없음,0.0,0,0,0,0,0,0,0,0,1468,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,304.0,5.0,49.0,0.0,0.0,2.0,8.0,8.0
