var,statistics,pvalue
s1,3774.518867437078,0.0
s2,299.4377684449464,5.994181739718699e-180
s3,245.91764177326618,1.144906122373544e-149
s4,56.810704180255506,3.727617889980736e-36
y,7469.491297162197,0.0
