key,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000650-2024,797.0,92.0,24.0,2.0,8.0,14.0,23.0,29.0
S010000651-2021,641.0,63.0,44.0,0.0,10.0,5.0,4.0,80.0
S010000651-2022,671.0,104.0,45.0,0.0,10.0,5.0,3.0,82.0
S010000651-2023,631.0,244.0,45.0,0.0,10.0,5.0,0.0,82.0
S010000651-2024,531.0,187.0,45.0,0.0,10.0,5.0,0.0,82.0
S010000655-2021,0.0,14.0,24.0,4.0,0.0,3.0,0.0,40.0
S010000655-2022,0.0,42.0,24.0,4.0,0.0,3.0,2.0,31.0
S010000655-2023,0.0,20.0,24.0,4.0,0.0,3.0,0.0,24.0
S010000655-2024,88.0,0.0,24.0,4.0,0.0,3.0,2.0,20.0
S010000656-2021,444.0,0.0,18.0,0.0,0.0,1.0,8.0,22.0
S010000656-2022,703.0,0.0,18.0,0.0,0.0,1.0,5.0,28.0
S010000656-2023,695.0,30.0,18.0,0.0,0.0,1.0,13.0,24.0
S010000656-2024,317.0,34.0,18.0,0.0,0.0,1.0,13.0,22.0
S010000657-2021,417.0,141.0,24.0,0.0,0.0,41.0,1.0,36.0
S010000657-2022,292.0,6.0,15.0,1.0,0.0,27.0,3.0,16.0
S010000657-2023,269.0,37.0,16.0,1.0,0.0,27.0,3.0,9.0
S010000657-2024,334.0,1.0,16.0,1.0,0.0,24.0,6.0,12.0
S010000658-2021,457.0,0.0,36.0,0.0,0.0,14.0,43.0,34.0
S010000658-2022,450.0,55.0,36.0,0.0,0.0,14.0,22.0,33.0
S010000658-2023,255.0,0.0,36.0,0.0,0.0,14.0,15.0,38.0
S010000658-2024,271.0,0.0,36.0,0.0,0.0,14.0,18.0,38.0
S010000659-2021,320.0,0.0,26.0,13.0,1.0,18.0,22.0,50.0
S010000659-2022,343.0,0.0,26.0,13.0,1.0,18.0,20.0,45.0
S010000659-2023,310.0,0.0,26.0,13.0,1.0,18.0,20.0,53.0
S010000659-2024,420.0,12.0,26.0,13.0,1.0,18.0,25.0,56.0
S010000662-2021,560.0,0.0,15.0,0.0,0.0,2.0,15.0,28.0
S010000662-2022,540.0,219.0,15.0,0.0,0.0,2.0,12.0,25.0
S010000662-2023,530.0,209.0,15.0,0.0,0.0,2.0,11.0,28.0
S010000662-2024,509.0,90.0,12.0,0.0,2.0,2.0,0.0,24.0
S010000663-2021,0.0,0.0,7.0,0.0,0.0,1.0,8.0,8.0
S010000664-2021,0.0,0.0,7.0,0.0,1.0,0.0,8.0,8.0
S010000664-2024,0.0,0.0,7.0,1.0,0.0,0.0,8.0,8.0
S010000665-2021,0.0,0.0,18.0,0.0,0.0,1.0,8.0,8.0
S010000665-2024,83.0,0.0,18.0,0.0,0.0,1.0,8.0,8.0
S010000667-2021,0.0,0.0,29.0,8.0,0.0,0.0,8.0,8.0
S010000667-2023,0.0,0.0,30.0,3.0,0.0,0.0,8.0,8.0
S010000669-2021,0.0,0.0,33.0,0.0,0.0,4.0,8.0,8.0
S010000669-2022,0.0,0.0,31.0,0.0,0.0,6.0,8.0,8.0
S010000670-2021,0.0,0.0,10.0,0.0,0.0,2.0,8.0,8.0
S010000671-2021,0.0,0.0,25.0,0.0,0.0,10.0,8.0,8.0
S010000671-2024,0.0,0.0,25.0,0.0,0.0,14.0,8.0,8.0
S010000673-2021,0.0,0.0,35.0,0.0,0.0,12.0,8.0,8.0
S010000675-2021,0.0,0.0,6.0,0.0,0.0,28.0,8.0,8.0
S010000675-2022,0.0,0.0,6.0,0.0,0.0,30.0,8.0,8.0
S010000675-2024,0.0,0.0,7.0,0.0,0.0,28.0,8.0,8.0
S010000676-2021,0.0,0.0,21.0,0.0,14.0,4.0,8.0,8.0
S010000676-2022,0.0,7.0,21.0,0.0,13.0,4.0,8.0,8.0
S010000676-2023,0.0,1.0,21.0,0.0,3.0,4.0,8.0,8.0
S010000676-2024,0.0,2.0,21.0,0.0,3.0,4.0,8.0,8.0
S010000677-2021,0.0,0.0,24.0,5.0,0.0,17.0,8.0,8.0
S010000677-2022,0.0,0.0,24.0,5.0,0.0,20.0,8.0,8.0
S010000677-2024,0.0,2.0,24.0,5.0,0.0,20.0,8.0,8.0
S010000679-2021,0.0,0.0,32.0,2.0,0.0,7.0,8.0,8.0
S010000680-2021,0.0,0.0,40.0,0.0,0.0,8.0,8.0,8.0
S010000680-2023,0.0,0.0,34.0,0.0,0.0,10.0,8.0,8.0
S010000681-2021,0.0,0.0,35.0,0.0,0.0,14.0,8.0,8.0
S010000682-2021,0.0,0.0,54.0,4.0,0.0,13.0,8.0,8.0
S010000682-2024,0.0,20.0,54.0,4.0,0.0,13.0,8.0,8.0
S010000683-2021,0.0,0.0,28.0,0.0,0.0,9.0,8.0,8.0
S010000684-2021,0.0,0.0,5.0,0.0,0.0,3.0,8.0,8.0
S010000684-2022,0.0,0.0,5.0,0.0,0.0,4.0,8.0,8.0
S010000685-2021,0.0,0.0,4.0,0.0,0.0,39.0,8.0,8.0
S010000686-2021,0.0,0.0,16.0,0.0,0.0,5.0,8.0,8.0
S010000686-2022,250.0,0.0,16.0,0.0,0.0,5.0,8.0,8.0
S010000686-2024,300.0,0.0,16.0,0.0,0.0,5.0,8.0,8.0
S010000687-2021,0.0,0.0,29.0,0.0,0.0,27.0,8.0,8.0
S010000688-2021,0.0,0.0,25.0,0.0,0.0,11.0,8.0,8.0
S010000688-2024,519.0,0.0,25.0,0.0,0.0,11.0,8.0,8.0
S010000690-2021,0.0,0.0,17.0,0.0,0.0,17.0,8.0,8.0
S010000690-2022,0.0,0.0,20.0,0.0,0.0,18.0,8.0,8.0
S010000690-2023,0.0,0.0,19.0,0.0,0.0,18.0,8.0,8.0
S010000690-2024,0.0,0.0,19.0,0.0,0.0,14.0,8.0,8.0
S010000691-2021,0.0,0.0,30.0,0.0,0.0,2.0,8.0,8.0
S010000693-2021,0.0,0.0,38.0,0.0,0.0,4.0,8.0,8.0
S010000694-2021,0.0,0.0,30.0,1.0,0.0,7.0,8.0,8.0
S010000694-2022,0.0,1.0,30.0,1.0,0.0,7.0,8.0,8.0
S010000695-2021,0.0,0.0,18.0,0.0,7.0,11.0,8.0,8.0
S010000695-2023,0.0,0.0,18.0,8.0,0.0,8.0,8.0,8.0
S010000696-2021,0.0,0.0,29.0,1.0,0.0,3.0,8.0,8.0
S010000696-2022,0.0,0.0,29.0,0.0,0.0,8.0,8.0,8.0
S010000697-2021,0.0,0.0,23.0,6.0,6.0,18.0,8.0,8.0
S010000697-2024,17.0,0.0,23.0,6.0,6.0,18.0,8.0,8.0
S010000698-2021,630.0,84.0,25.0,11.0,0.0,14.0,8.0,8.0
S010000698-2022,663.0,1.0,25.0,11.0,0.0,14.0,29.0,44.0
S010000698-2023,675.0,6.0,30.0,5.0,0.0,10.0,42.0,44.0
S010000698-2024,612.0,0.0,30.0,5.0,0.0,10.0,33.0,44.0
S010000699-2024,0.0,0.0,30.0,10.0,0.0,1.0,13.0,52.0
S010000700-2021,221.0,37.0,35.0,3.0,0.0,5.0,8.0,8.0
S010000700-2022,539.0,160.0,35.0,3.0,0.0,5.0,22.0,57.0
S010000700-2023,574.0,48.0,35.0,3.0,0.0,5.0,24.0,58.0
S010000700-2024,612.0,32.0,35.0,3.0,0.0,5.0,34.0,66.0
S010000701-2021,358.0,120.0,27.0,3.0,0.0,8.0,8.0,8.0
S010000701-2022,156.0,109.0,27.0,3.0,0.0,8.0,11.0,41.0
S010000701-2023,421.0,53.0,27.0,3.0,0.0,8.0,21.0,47.0
S010000701-2024,530.0,64.0,27.0,3.0,0.0,8.0,24.0,47.0
S010000702-2021,186.0,116.0,17.0,4.0,1.0,6.0,8.0,8.0
S010000702-2022,267.0,3.0,17.0,4.0,1.0,6.0,24.0,28.0
S010000702-2023,210.0,9.0,17.0,4.0,1.0,6.0,21.0,36.0
S010000702-2024,330.0,24.0,17.0,4.0,1.0,6.0,24.0,59.0
S010000704-2021,0.0,0.0,18.0,0.0,1.0,2.0,8.0,8.0
S010000704-2022,0.0,0.0,18.0,0.0,1.0,2.0,8.0,27.0
S010000704-2023,124.0,4.0,18.0,0.0,1.0,2.0,7.0,27.0
S010000704-2024,116.0,2.0,18.0,0.0,1.0,2.0,8.0,27.0
S010000705-2021,340.0,38.0,30.0,0.0,1.0,12.0,8.0,8.0
S010000705-2022,586.0,29.0,30.0,0.0,1.0,12.0,43.0,48.0
S010000705-2023,550.0,18.0,30.0,0.0,1.0,12.0,32.0,62.0
S010000705-2024,863.0,14.0,30.0,0.0,1.0,12.0,31.0,49.0
S010000706-2021,335.0,14.0,27.0,1.0,1.0,8.0,8.0,8.0
S010000706-2022,324.0,14.0,27.0,1.0,1.0,8.0,43.0,44.0
S010000706-2023,273.0,30.0,27.0,1.0,1.0,8.0,28.0,44.0
S010000706-2024,340.0,50.0,27.0,1.0,0.0,8.0,44.0,45.0
S010000707-2021,890.0,6.0,32.0,4.0,2.0,6.0,8.0,8.0
S010000707-2022,479.0,15.0,32.0,4.0,2.0,6.0,35.0,49.0
S010000707-2023,663.0,54.0,32.0,4.0,2.0,6.0,30.0,49.0
S010000707-2024,437.0,0.0,32.0,4.0,2.0,6.0,33.0,51.0
S010000708-2021,265.0,22.0,21.0,1.0,4.0,8.0,8.0,8.0
S010000708-2022,465.0,10.0,21.0,1.0,4.0,8.0,17.0,35.0
S010000708-2023,509.0,16.0,21.0,1.0,4.0,8.0,16.0,34.0
S010000708-2024,511.0,0.0,21.0,1.0,4.0,8.0,11.0,34.0
S010000709-2021,700.0,0.0,25.0,5.0,1.0,5.0,8.0,8.0
S010000709-2022,346.0,0.0,24.0,5.0,1.0,6.0,7.0,41.0
S010000709-2023,366.0,38.0,24.0,5.0,1.0,6.0,23.0,41.0
S010000709-2024,255.0,43.0,24.0,5.0,1.0,6.0,31.0,41.0
S010000710-2021,186.0,0.0,23.0,2.0,0.0,5.0,8.0,8.0
S010000710-2022,486.0,27.0,23.0,2.0,0.0,5.0,11.0,67.0
S010000710-2023,421.0,21.0,23.0,2.0,0.0,5.0,11.0,65.0
S010000710-2024,349.0,62.0,23.0,2.0,0.0,5.0,13.0,52.0
S010000711-2021,153.0,17.0,27.0,1.0,3.0,9.0,8.0,8.0
S010000711-2022,275.0,15.0,18.0,1.0,3.0,9.0,3.0,30.0
S010000711-2023,207.0,0.0,18.0,1.0,3.0,9.0,1.0,18.0
S010000712-2021,274.0,6.0,20.0,3.0,4.0,5.0,8.0,8.0
S010000712-2022,618.0,49.0,27.0,3.0,4.0,5.0,21.0,25.0
S010000712-2023,681.0,40.0,29.0,2.0,0.0,5.0,21.0,38.0
S010000712-2024,785.0,66.0,31.0,0.0,0.0,5.0,25.0,40.0
S010000713-2021,192.0,5.0,15.0,3.0,0.0,6.0,8.0,8.0
S010000713-2022,704.0,0.0,15.0,3.0,0.0,6.0,13.0,28.0
S010000713-2023,704.0,26.0,15.0,3.0,0.0,6.0,10.0,39.0
S010000713-2024,684.0,0.0,15.0,3.0,0.0,6.0,6.0,20.0
S010000714-2021,302.0,0.0,26.0,3.0,0.0,10.0,8.0,8.0
S010000714-2022,509.0,1.0,24.0,0.0,0.0,11.0,10.0,36.0
S010000714-2023,758.0,29.0,24.0,0.0,0.0,11.0,10.0,33.0
S010000714-2024,941.0,15.0,24.0,0.0,0.0,11.0,4.0,36.0
S010000715-2021,380.0,0.0,35.0,5.0,0.0,11.0,8.0,8.0
S010000715-2022,340.0,10.0,35.0,5.0,0.0,11.0,19.0,48.0
S010000715-2023,427.0,20.0,35.0,5.0,0.0,11.0,19.0,62.0
S010000715-2024,450.0,0.0,36.0,5.0,0.0,10.0,20.0,62.0
S010000716-2021,450.0,0.0,34.0,0.0,2.0,13.0,8.0,8.0
S010000716-2022,520.0,4.0,34.0,0.0,2.0,13.0,29.0,63.0
S010000716-2023,661.0,11.0,34.0,0.0,2.0,13.0,29.0,52.0
S010000716-2024,878.0,80.0,34.0,0.0,2.0,13.0,27.0,53.0
S010000717-2021,336.0,0.0,27.0,1.0,3.0,7.0,8.0,8.0
S010000717-2022,488.0,4.0,27.0,1.0,3.0,7.0,23.0,44.0
S010000717-2023,517.0,8.0,27.0,1.0,3.0,7.0,20.0,44.0
S010000717-2024,583.0,8.0,27.0,1.0,3.0,7.0,19.0,43.0
S010000718-2021,285.0,0.0,27.0,0.0,0.0,10.0,8.0,8.0
S010000718-2022,427.0,0.0,27.0,0.0,0.0,10.0,5.0,66.0
S010000718-2023,1247.0,36.0,27.0,0.0,0.0,10.0,7.0,69.0
S010000718-2024,1289.0,9.0,27.0,0.0,0.0,10.0,8.0,60.0
S010000719-2021,403.0,0.0,3.0,26.0,0.0,13.0,8.0,8.0
S010000719-2022,403.0,4.0,24.0,5.0,0.0,13.0,13.0,40.0
S010000719-2023,515.0,62.0,24.0,5.0,0.0,13.0,16.0,42.0
S010000719-2024,612.0,89.0,24.0,5.0,0.0,13.0,14.0,58.0
S010000720-2021,330.0,32.0,27.0,3.0,0.0,7.0,8.0,8.0
S010000720-2022,728.0,61.0,27.0,3.0,0.0,7.0,25.0,46.0
S010000720-2023,938.0,20.0,27.0,3.0,0.0,7.0,13.0,46.0
S010000720-2024,824.0,58.0,27.0,3.0,0.0,7.0,20.0,47.0
S010000721-2021,100.0,50.0,16.0,11.0,0.0,8.0,8.0,8.0
S010000721-2022,263.0,0.0,14.0,11.0,0.0,8.0,11.0,24.0
S010000721-2023,226.0,0.0,14.0,11.0,0.0,8.0,18.0,24.0
S010000721-2024,292.0,0.0,12.0,11.0,0.0,10.0,11.0,28.0
S010000722-2021,88.0,0.0,27.0,3.0,4.0,6.0,8.0,8.0
S010000722-2022,126.0,38.0,27.0,3.0,4.0,6.0,54.0,43.0
S010000722-2023,406.0,215.0,27.0,3.0,4.0,6.0,61.0,44.0
S010000722-2024,406.0,116.0,27.0,3.0,4.0,6.0,62.0,44.0
S010000723-2021,242.0,0.0,29.0,7.0,0.0,13.0,8.0,8.0
S010000723-2022,356.0,0.0,29.0,7.0,0.0,13.0,11.0,45.0
S010000723-2023,592.0,0.0,29.0,7.0,0.0,13.0,28.0,47.0
S010000723-2024,272.0,7.0,29.0,7.0,0.0,13.0,24.0,48.0
S010000724-2021,237.0,0.0,18.0,1.0,3.0,7.0,8.0,8.0
S010000724-2022,456.0,16.0,17.0,4.0,3.0,8.0,16.0,44.0
S010000724-2023,626.0,4.0,17.0,4.0,3.0,8.0,8.0,26.0
S010000724-2024,653.0,1.0,17.0,4.0,3.0,8.0,11.0,26.0
S010000725-2021,350.0,20.0,19.0,5.0,0.0,12.0,8.0,8.0
S010000725-2022,662.0,44.0,18.0,6.0,0.0,12.0,7.0,28.0
S010000725-2023,593.0,9.0,17.0,7.0,2.0,10.0,12.0,27.0
S010000725-2024,359.0,0.0,16.0,6.0,1.0,10.0,5.0,27.0
S010000726-2021,513.0,17.0,14.0,10.0,2.0,7.0,8.0,8.0
S010000726-2022,227.0,5.0,14.0,10.0,2.0,7.0,7.0,46.0
S010000726-2023,316.0,10.0,14.0,10.0,2.0,7.0,7.0,40.0
S010000726-2024,285.0,1.0,14.0,10.0,2.0,7.0,4.0,24.0
S010000727-2021,423.0,38.0,30.0,0.0,2.0,8.0,8.0,8.0
S010000727-2022,537.0,89.0,30.0,0.0,2.0,8.0,23.0,48.0
S010000727-2023,498.0,43.0,30.0,1.0,2.0,8.0,29.0,50.0
S010000727-2024,591.0,39.0,30.0,1.0,2.0,8.0,33.0,48.0
S010000728-2021,86.0,0.0,36.0,5.0,0.0,9.0,8.0,8.0
S010000728-2022,205.0,0.0,36.0,5.0,0.0,9.0,31.0,57.0
S010000728-2023,368.0,0.0,36.0,5.0,0.0,9.0,21.0,57.0
S010000728-2024,416.0,0.0,36.0,5.0,0.0,9.0,34.0,60.0
S010000729-2021,337.0,55.0,33.0,0.0,3.0,9.0,8.0,8.0
S010000729-2022,386.0,85.0,33.0,0.0,3.0,9.0,11.0,54.0
S010000729-2023,494.0,14.0,33.0,0.0,3.0,9.0,8.0,54.0
S010000729-2024,438.0,4.0,35.0,0.0,3.0,7.0,10.0,57.0
S010000730-2021,501.0,46.0,35.0,1.0,0.0,7.0,8.0,8.0
S010000730-2022,643.0,47.0,37.0,0.0,0.0,6.0,26.0,59.0
S010000730-2023,574.0,54.0,37.0,0.0,0.0,6.0,16.0,63.0
S010000730-2024,661.0,28.0,46.0,0.0,0.0,6.0,25.0,64.0
S010000731-2021,219.0,0.0,15.0,0.0,0.0,5.0,8.0,8.0
S010000731-2022,271.0,0.0,15.0,0.0,0.0,5.0,12.0,24.0
S010000731-2023,421.0,0.0,15.0,0.0,0.0,5.0,20.0,25.0
S010000731-2024,477.0,0.0,15.0,0.0,0.0,5.0,22.0,24.0
S010000732-2021,131.0,27.0,18.0,0.0,0.0,7.0,8.0,8.0
S010000732-2022,540.0,101.0,19.0,0.0,0.0,6.0,10.0,31.0
S010000732-2023,233.0,83.0,19.0,0.0,0.0,6.0,4.0,22.0
S010000732-2024,318.0,65.0,19.0,0.0,0.0,6.0,5.0,52.0
S010000733-2021,39.0,0.0,30.0,0.0,1.0,11.0,8.0,8.0
S010000733-2022,68.0,5.0,30.0,0.0,1.0,11.0,22.0,39.0
S010000733-2023,96.0,8.0,30.0,0.0,1.0,12.0,21.0,50.0
S010000733-2024,303.0,18.0,30.0,5.0,1.0,12.0,32.0,43.0
S010000734-2021,0.0,2.0,30.0,7.0,0.0,15.0,8.0,8.0
S010000734-2022,0.0,9.0,30.0,7.0,0.0,15.0,42.0,42.0
S010000734-2023,0.0,3.0,30.0,7.0,0.0,15.0,38.0,41.0
S010000734-2024,0.0,9.0,30.0,7.0,0.0,15.0,28.0,40.0
S010000735-2021,306.0,0.0,0.0,29.0,0.0,3.0,8.0,8.0
S010000735-2022,796.0,0.0,17.0,7.0,0.0,7.0,15.0,26.0
S010000735-2023,794.0,0.0,17.0,7.0,0.0,7.0,11.0,25.0
S010000735-2024,775.0,0.0,16.0,8.0,0.0,7.0,17.0,45.0
S010000736-2021,231.0,0.0,24.0,25.0,0.0,12.0,8.0,8.0
S010000736-2022,244.0,0.0,24.0,25.0,0.0,12.0,15.0,38.0
S010000736-2023,424.0,0.0,24.0,25.0,0.0,12.0,18.0,40.0
S010000736-2024,173.0,0.0,24.0,24.0,0.0,12.0,13.0,37.0
S010000737-2024,0.0,0.0,47.0,1.0,0.0,4.0,0.0,4.0
S010000738-2021,40.0,0.0,32.0,0.0,0.0,1.0,8.0,8.0
S010000738-2022,40.0,0.0,32.0,0.0,0.0,1.0,4.0,33.0
S010000738-2023,0.0,0.0,33.0,2.0,0.0,3.0,6.0,33.0
S010000738-2024,0.0,0.0,33.0,2.0,0.0,3.0,3.0,33.0
S010000739-2023,0.0,0.0,42.0,12.0,0.0,8.0,0.0,33.0
S010000739-2024,60.0,6.0,44.0,10.0,0.0,9.0,0.0,34.0
S010000741-2021,449.0,18.0,31.0,4.0,0.0,3.0,8.0,8.0
S010000741-2022,450.0,18.0,39.0,1.0,0.0,3.0,0.0,22.0
S010000741-2023,504.0,5.0,39.0,1.0,0.0,3.0,1.0,27.0
S010000741-2024,329.0,0.0,39.0,1.0,0.0,3.0,0.0,21.0
S010000742-2021,204.0,30.0,23.0,1.0,0.0,13.0,8.0,8.0
S010000742-2022,493.0,57.0,23.0,1.0,0.0,13.0,0.0,14.0
S010000742-2023,454.0,59.0,23.0,1.0,0.0,13.0,0.0,14.0
S010000742-2024,480.0,55.0,23.0,1.0,0.0,13.0,0.0,9.0
S010000743-2021,54.0,0.0,46.0,1.0,0.0,4.0,8.0,8.0
S010000743-2022,47.0,0.0,46.0,1.0,0.0,4.0,1.0,47.0
S010000743-2023,670.0,0.0,46.0,1.0,0.0,4.0,1.0,47.0
S010000743-2024,382.0,0.0,46.0,1.0,0.0,4.0,0.0,47.0
S010000744-2021,17.0,2.0,64.0,0.0,0.0,4.0,8.0,8.0
S010000744-2022,134.0,0.0,62.0,0.0,0.0,4.0,18.0,47.0
S010000744-2023,425.0,0.0,62.0,0.0,0.0,4.0,9.0,62.0
S010000744-2024,493.0,0.0,62.0,0.0,0.0,4.0,21.0,62.0
S010000745-2021,7.0,2.0,33.0,0.0,0.0,3.0,8.0,8.0
S010000745-2022,0.0,0.0,33.0,0.0,0.0,3.0,1.0,33.0
S010000745-2023,0.0,0.0,33.0,0.0,0.0,3.0,1.0,31.0
S010000746-2021,0.0,0.0,38.0,0.0,0.0,2.0,8.0,8.0
S010000746-2022,0.0,0.0,38.0,0.0,0.0,2.0,4.0,31.0
S010000746-2023,0.0,0.0,38.0,0.0,0.0,2.0,0.0,26.0
S010000746-2024,0.0,4.0,38.0,0.0,0.0,2.0,0.0,24.0
S010000747-2021,418.0,0.0,17.0,1.0,0.0,5.0,8.0,8.0
S010000747-2022,418.0,0.0,17.0,1.0,0.0,5.0,2.0,15.0
S010000747-2023,418.0,0.0,17.0,1.0,0.0,5.0,0.0,15.0
S010000747-2024,418.0,0.0,17.0,1.0,0.0,7.0,1.0,14.0
S010000748-2021,660.0,10.0,14.0,1.0,1.0,2.0,8.0,8.0
S010000748-2022,1289.0,50.0,14.0,1.0,1.0,2.0,3.0,7.0
S010000748-2023,721.0,78.0,14.0,1.0,1.0,2.0,3.0,13.0
S010000748-2024,639.0,73.0,11.0,4.0,0.0,2.0,8.0,11.0
S010000749-2021,0.0,0.0,48.0,0.0,1.0,2.0,8.0,8.0
S010000749-2022,0.0,0.0,45.0,0.0,0.0,3.0,0.0,38.0
S010000749-2023,0.0,0.0,45.0,0.0,0.0,3.0,0.0,37.0
S010000749-2024,0.0,1.0,45.0,0.0,0.0,3.0,0.0,37.0
S010000750-2021,0.0,0.0,31.0,0.0,0.0,11.0,8.0,8.0
S010000750-2022,0.0,0.0,31.0,0.0,0.0,11.0,0.0,30.0
S010000750-2023,0.0,0.0,35.0,0.0,0.0,7.0,0.0,32.0
S010000750-2024,0.0,0.0,38.0,0.0,0.0,4.0,0.0,36.0
S010000751-2021,486.0,8.0,36.0,2.0,2.0,4.0,8.0,8.0
S010000751-2022,1130.0,100.0,36.0,2.0,2.0,4.0,0.0,36.0
S010000751-2023,1172.0,68.0,36.0,2.0,2.0,4.0,2.0,40.0
S010000751-2024,1036.0,142.0,36.0,2.0,2.0,4.0,0.0,36.0
S010000752-2021,323.0,0.0,58.0,0.0,0.0,2.0,8.0,8.0
S010000752-2022,718.0,0.0,58.0,0.0,0.0,2.0,3.0,57.0
S010000752-2023,999.0,0.0,58.0,0.0,0.0,2.0,2.0,57.0
S010000752-2024,806.0,0.0,58.0,0.0,0.0,2.0,2.0,57.0
S010000753-2021,0.0,0.0,50.0,0.0,0.0,3.0,8.0,8.0
S010000753-2022,0.0,0.0,50.0,0.0,0.0,3.0,0.0,50.0
S010000753-2024,0.0,0.0,53.0,0.0,0.0,3.0,0.0,53.0
S010000754-2021,0.0,0.0,34.0,3.0,0.0,5.0,8.0,8.0
S010000754-2022,0.0,0.0,34.0,3.0,0.0,5.0,0.0,9.0
S010000755-2021,0.0,0.0,41.0,5.0,0.0,5.0,8.0,8.0
S010000755-2022,0.0,0.0,41.0,5.0,0.0,5.0,36.0,34.0
S010000755-2023,0.0,0.0,41.0,5.0,0.0,5.0,1.0,33.0
S010000756-2021,0.0,0.0,36.0,0.0,0.0,6.0,8.0,8.0
S010000756-2022,0.0,0.0,38.0,0.0,0.0,4.0,2.0,18.0
S010000756-2023,0.0,0.0,38.0,0.0,0.0,2.0,2.0,37.0
S010000756-2024,0.0,0.0,38.0,0.0,0.0,2.0,2.0,42.0
S010000757-2021,0.0,0.0,15.0,1.0,0.0,3.0,8.0,8.0
S010000757-2022,0.0,0.0,14.0,1.0,0.0,4.0,0.0,10.0
S010000757-2023,0.0,0.0,13.0,1.0,0.0,5.0,0.0,13.0
S010000757-2024,0.0,0.0,12.0,1.0,0.0,6.0,0.0,12.0
S010000758-2021,0.0,0.0,26.0,0.0,0.0,16.0,8.0,8.0
S010000758-2022,0.0,52.0,23.0,3.0,1.0,9.0,1.0,23.0
S010000758-2023,305.0,14.0,23.0,8.0,0.0,6.0,0.0,23.0
S010000758-2024,400.0,50.0,22.0,7.0,1.0,6.0,0.0,22.0
S010000759-2021,186.0,54.0,23.0,5.0,0.0,1.0,8.0,8.0
S010000759-2022,334.0,34.0,23.0,5.0,0.0,1.0,2.0,23.0
S010000759-2023,335.0,0.0,23.0,5.0,0.0,1.0,0.0,23.0
S010000759-2024,356.0,0.0,23.0,5.0,0.0,1.0,0.0,23.0
S010000760-2021,0.0,0.0,47.0,0.0,0.0,1.0,8.0,8.0
S010000760-2022,0.0,0.0,47.0,0.0,0.0,1.0,0.0,45.0
S010000760-2023,0.0,0.0,47.0,1.0,0.0,1.0,1.0,45.0
S010000760-2024,0.0,0.0,47.0,1.0,0.0,1.0,2.0,50.0
S010000761-2021,0.0,0.0,53.0,1.0,0.0,5.0,8.0,8.0
S010000761-2022,0.0,6.0,53.0,1.0,0.0,5.0,0.0,33.0
S010000761-2023,0.0,72.0,53.0,1.0,0.0,5.0,0.0,35.0
S010000761-2024,0.0,22.0,53.0,1.0,0.0,5.0,0.0,52.0
S010000762-2021,0.0,0.0,44.0,0.0,0.0,5.0,8.0,8.0
S010000762-2022,0.0,0.0,44.0,0.0,0.0,5.0,0.0,47.0
S010000762-2023,0.0,0.0,47.0,0.0,0.0,2.0,0.0,47.0
S010000762-2024,0.0,0.0,48.0,1.0,0.0,3.0,0.0,48.0
S010000763-2021,0.0,0.0,23.0,0.0,1.0,4.0,8.0,8.0
S010000763-2022,0.0,0.0,23.0,0.0,1.0,4.0,0.0,24.0
S010000763-2023,0.0,0.0,23.0,0.0,1.0,4.0,0.0,23.0
S010000764-2021,350.0,0.0,36.0,2.0,1.0,2.0,8.0,8.0
S010000764-2022,478.0,1.0,36.0,2.0,1.0,2.0,0.0,18.0
S010000764-2023,558.0,1.0,36.0,2.0,1.0,2.0,0.0,18.0
S010000764-2024,543.0,0.0,36.0,2.0,1.0,2.0,0.0,21.0
S010000765-2021,146.0,10.0,13.0,4.0,1.0,8.0,8.0,8.0
S010000765-2022,135.0,45.0,13.0,4.0,1.0,8.0,6.0,8.0
S010000765-2023,0.0,0.0,13.0,4.0,1.0,8.0,5.0,8.0
S010000765-2024,0.0,0.0,13.0,4.0,1.0,8.0,5.0,10.0
S010000766-2021,0.0,0.0,24.0,6.0,0.0,3.0,8.0,8.0
S010000766-2022,0.0,120.0,24.0,6.0,0.0,3.0,0.0,22.0
S010000766-2023,0.0,132.0,24.0,6.0,0.0,3.0,0.0,27.0
S010000766-2024,609.0,126.0,24.0,6.0,0.0,3.0,0.0,27.0
S010000767-2021,304.0,5.0,49.0,0.0,0.0,2.0,8.0,8.0
S010000767-2022,467.0,5.0,49.0,0.0,0.0,2.0,3.0,49.0
S010000767-2023,473.0,6.0,49.0,0.0,0.0,2.0,0.0,49.0
S010000767-2024,557.0,31.0,49.0,0.0,0.0,2.0,0.0,49.0
S010000768-2021,0.0,0.0,37.0,0.0,0.0,4.0,8.0,8.0
S010000768-2022,0.0,68.0,37.0,2.0,0.0,2.0,4.0,27.0
S010000768-2023,0.0,76.0,37.0,2.0,0.0,2.0,1.0,36.0
S010000768-2024,0.0,20.0,37.0,2.0,0.0,2.0,1.0,36.0
S010000769-2022,254.0,0.0,37.0,0.0,0.0,4.0,0.0,25.0
S010000769-2023,255.0,0.0,37.0,0.0,0.0,4.0,0.0,16.0
S010000769-2024,255.0,0.0,37.0,0.0,0.0,4.0,0.0,19.0
S010000770-2021,0.0,6.0,29.0,0.0,0.0,5.0,8.0,8.0
