key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%)
S010002296-2024,서울특별시 성북구,S010002296,서울미아초등학교,0,0,0,1188.0,7.9,5.0,0.0,19.0,4.0,0.0,18.5,유,유,시설없음,유,유,유,0.0,1.0,1.0,2.0,1.0,0.11282051282051282,0.4717948717948718,0.3384615384615385,0.07435897435897436,0.002564102564102564
S010002297-2021,서울특별시 강북구,S010002297,서울미양초등학교,0,0,0,518.0,1.3,5.0,0.0,16.0,3.5,0.0,15.6,유,유,무,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.11282051282051282,0.4717948717948718,0.3384615384615385,0.07435897435897436,0.002564102564102564
S010002297-2022,서울특별시 강북구,S010002297,서울미양초등학교,0,0,0,498.0,5.6,5.0,0.0,16.0,3.5,0.0,15.5,유,유,무,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.030864197530864196,0.2345679012345679,0.5185185185185185,0.20987654320987653,0.006172839506172839
S010002297-2023,서울특별시 강북구,S010002297,서울미양초등학교,0,0,0,465.0,11.9,5.0,0.0,16.0,4.5,0.0,14.7,유,유,무,무,무,시설없음,0.0,0.0,0.0,2.0,0.0,0.012578616352201259,0.16352201257861634,0.49056603773584906,0.31446540880503143,0.018867924528301886
S010002297-2024,서울특별시 강북구,S010002297,서울미양초등학교,0,1,0,440.0,5.7,6.0,0.0,16.0,5.0,0.0,14.0,유,유,무,무,무,시설없음,0.0,0.0,0.0,2.0,0.0,0.01744186046511628,0.4186046511627907,0.45348837209302323,0.10465116279069768,0.005813953488372093
S010002298-2021,서울특별시 강북구,S010002298,서울번동초등학교,0,0,0,679.0,1.2,5.0,0.0,16.0,5.5,0.0,16.2,유,시설없음,유,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.01744186046511628,0.4186046511627907,0.45348837209302323,0.10465116279069768,0.005813953488372093
S010002298-2022,서울특별시 강북구,S010002298,서울번동초등학교,0,0,0,631.0,3.7,5.0,0.0,16.0,4.0,0.0,14.5,유,시설없음,유,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.0,0.06550218340611354,0.44541484716157204,0.38427947598253276,0.10480349344978165
S010002298-2023,서울특별시 강북구,S010002298,서울번동초등학교,0,0,0,578.0,8.0,5.0,0.0,15.0,5.0,0.0,15.3,유,시설없음,유,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.00851063829787234,0.17872340425531916,0.46808510638297873,0.30638297872340425,0.03829787234042553
S010002298-2024,서울특별시 강북구,S010002298,서울번동초등학교,0,0,0,520.0,10.6,5.0,0.0,14.0,2.5,0.0,15.2,유,시설없음,유,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.0051813471502590676,0.13989637305699482,0.47150259067357514,0.33678756476683935,0.046632124352331605
S010002299-2021,서울특별시 강북구,S010002299,서울삼각산초등학교,0,0,0,1181.0,0.8,5.0,0.0,19.0,0.0,0.0,21.2,유,유,시설없음,유,유,유,0.0,0.0,1.0,1.0,1.0,0.0051813471502590676,0.13989637305699482,0.47150259067357514,0.33678756476683935,0.046632124352331605
