학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S010000634-2021,서울특별시 종로구,S010000634,대동세무고등학교,0,1,1,0,0,9,56,0,725,8,8,5,5,5,2,2,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000634-2022,서울특별시 종로구,S010000634,대동세무고등학교,1,1,1,1,20,8,20,20,646,8,8,5,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000634-2023,서울특별시 종로구,S010000634,대동세무고등학교,1,1,1,1,20,8,20,20,566,8,8,5,3,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000634-2024,서울특별시 종로구,S010000634,대동세무고등학교,1,1,1,1,13,8,13,13,490,8,8,5,3,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000635-2021,서울특별시 양천구,S010000635,대일관광고등학교,0,1,0,0,0,17,0,0,472,8,11,6,4,1,2,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000635-2022,서울특별시 양천구,S010000635,대일관광고등학교,0,0,0,0,0,0,0,0,421,8,8,5,2,4,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000635-2023,서울특별시 양천구,S010000635,대일관광고등학교,0,0,5,0,0,0,13,0,371,8,8,5,3,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000635-2024,서울특별시 양천구,S010000635,대일관광고등학교,0,0,5,0,0,0,13,0,328,6,10,6,9,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000636-2021,서울특별시 송파구,S010000636,덕수고등학교,0,1,0,0,0,11,0,0,388,10,10,13,3,3,4,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000636-2022,서울특별시 송파구,S010000636,덕수고등학교,0,1,0,0,0,8,0,0,237,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000636-2023,서울특별시 송파구,S010000636,덕수고등학교,0,1,0,0,0,6,0,0,102,8,8,8,6,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
S010000636-2024,서울특별시 송파구,S010000636,덕수고등학교,0,1,0,0,0,16,0,0,41,10,10,14,10,10,4,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000637-2021,서울특별시 도봉구,S010000637,서울문화고등학교,0,0,0,0,0,0,0,0,558,10,10,10,4,6,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010000637-2022,서울특별시 도봉구,S010000637,서울문화고등학교,0,0,0,0,0,0,0,0,477,9,9,15,4,4,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010000637-2023,서울특별시 도봉구,S010000637,서울문화고등학교,1,1,0,0,10,5,0,0,419,12,11,12,9,9,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010000637-2024,서울특별시 도봉구,S010000637,서울문화고등학교,1,1,0,0,10,5,0,0,393,12,11,14,10,6,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010000638-2021,서울특별시 은평구,S010000638,동명생활경영고등학교,0,0,0,3,0,0,0,326,326,10,7,9,3,2,4,3,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치,미설치,적정설치
S010000638-2022,서울특별시 은평구,S010000638,동명생활경영고등학교,3,0,1,0,293,0,20,0,290,8,8,5,3,2,1,1,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치,미설치,적정설치
S010000638-2023,서울특별시 은평구,S010000638,동명생활경영고등학교,3,0,1,0,234,0,20,0,237,8,8,5,3,2,1,1,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치,미설치,적정설치
S010000638-2024,서울특별시 은평구,S010000638,동명생활경영고등학교,4,0,1,0,213,0,24,0,217,8,8,5,3,2,1,1,적정설치,적정설치,미설치,미설치,미설치,적정설치,미설치,미설치,미설치,미설치,적정설치
S010000639-2021,서울특별시 관악구,S010000639,미림마이스터고등학교,0,1,0,0,0,3,0,0,336,17.2,3.7,6.1,3.2,3.3,2.8,16.5,미설치,미설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
S010000639-2022,서울특별시 관악구,S010000639,미림마이스터고등학교,0,1,0,2,0,3,0,10,318,8,8,5,2,3,1,1,미설치,미설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
S010000639-2023,서울특별시 관악구,S010000639,미림마이스터고등학교,0,1,0,2,0,3,0,10,307,10,10,10,10,4,3,2,미설치,미설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
S010000639-2024,서울특별시 관악구,S010000639,미림마이스터고등학교,0,1,0,2,0,3,0,10,285,10,10,10,10,0,3,2,미설치,미설치,미설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
S010000640-2021,서울특별시 송파구,S010000640,보인고등학교,0,0,1,0,0,0,13,0,1103,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,미설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치
S010000640-2022,서울특별시 송파구,S010000640,보인고등학교,0,0,0,1,0,0,0,23,1088,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,미설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치
S010000640-2023,서울특별시 송파구,S010000640,보인고등학교,1,0,0,0,14,0,0,0,1093,10,10,12,6,6,3,2,적정설치,적정설치,적정설치,미설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치
S010000640-2024,서울특별시 송파구,S010000640,보인고등학교,1,0,0,0,10,0,0,0,1103,10,10,12,6,6,3,2,적정설치,적정설치,적정설치,미설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,적정설치
S010000641-2021,서울특별시 구로구,S010000641,서서울생활과학고등학교,0,0,0,0,0,0,0,0,907,12,12,18,13,2,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000641-2022,서울특별시 구로구,S010000641,서서울생활과학고등학교,0,0,0,0,0,0,0,0,849,11,8,15,8,7,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000641-2023,서울특별시 구로구,S010000641,서서울생활과학고등학교,1,0,0,0,24,0,0,0,734,12,10,18,9,4,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000641-2024,서울특별시 구로구,S010000641,서서울생활과학고등학교,1,0,0,0,24,0,0,0,592,10,10,11,10,1,4,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000642-2021,서울특별시 양천구,S010000642,서울금융고등학교,0,0,0,0,0,0,0,0,306,14,6,18,4,5,4,3,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010000642-2022,서울특별시 양천구,S010000642,서울금융고등학교,0,0,0,0,0,0,0,0,327,14,6,18,4.5,4.5,4,3,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010000642-2023,서울특별시 양천구,S010000642,서울금융고등학교,0,0,0,0,0,0,0,0,269,14,10,8,8,4,8,2,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010000642-2024,서울특별시 양천구,S010000642,서울금융고등학교,0,1,0,5,0,20,0,250,277,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010000644-2021,서울특별시 종로구,S010000644,서일문화예술고등학교,0,1,0,1,0,10,0,13,301,12,8,6,6,0,2,2,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
S010000644-2022,서울특별시 종로구,S010000644,서일문화예술고등학교,1,1,3,1,22,10,332,8,332,1,1,11,2,2,1,3,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
S010000644-2023,서울특별시 종로구,S010000644,서일문화예술고등학교,1,1,2,1,20,12,315,6,319,10,10,15,10,2,3,3,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
S010000644-2024,서울특별시 종로구,S010000644,서일문화예술고등학교,1,1,2,1,20,13,300,7,292,10,10,10,10,2,4,2,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
S010000645-2021,서울특별시 강북구,S010000645,성암국제무역고등학교,0,1,0,0,0,12,0,0,530,10,10,10,5,5,3,2,단순설치,단순설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,단순설치,미설치
