학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,12,0,8,0,330,608,4.6,2,11.5,4,4,2,1.4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,10,36,0,8,600,600,606,12,11,8,10,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,5,36,36,0,52,610,610,0,607,10,10,14,4,6,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,2,36,36,0,52,610,610,0,606,10,8,5,4,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,618,14,8.3,17.7,6,3.3,1,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,567,19,9,18,7.3,5,1.3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,579,5.3,3,17,3,3,2,0.6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,15,1,0,10,36,12,0,40,443,10,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,34,35,438,43,438,9,9,5,3,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S000003540-2023,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,30,36,438,46,437,8,8,5,5,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S000003540-2024,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,30,35,438,43,436,8,8,5,5,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S000003542-2021,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,0,0,30,0,0,346,15,8,31,10,0,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2022,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,1,0,29,0,120,352,15,10,17,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2023,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,3,0,4,0,95,334,10,10,10,10,4,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2024,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,3,0,4,0,104,309,10,10,10,5,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003545-2021,서울특별시 종로구,S000003545,서울농학교,0,0,0,0,0,0,0,0,68,10,10,10,6,4,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003545-2022,서울특별시 종로구,S000003545,서울농학교,0,0,0,0,0,0,0,0,54,6,6,6,3,3,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003545-2023,서울특별시 종로구,S000003545,서울농학교,0,0,0,0,0,0,0,0,70,6,6,6,4,2,4,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003545-2024,서울특별시 종로구,S000003545,서울농학교,0,0,0,0,0,0,0,0,71,10,10,10,11,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003553-2021,서울특별시 마포구,S000003553,한국우진학교,0,0,0,0,0,0,0,0,145,13,11,10,5,5,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S000003553-2022,서울특별시 마포구,S000003553,한국우진학교,0,0,0,0,0,0,0,0,149,13,11,10,5,5,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S000003553-2023,서울특별시 마포구,S000003553,한국우진학교,0,0,0,0,0,0,0,0,149,8,8,5,5,5,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S000003553-2024,서울특별시 마포구,S000003553,한국우진학교,31,68,68,68,121,180,180,180,148,8,8,5,5,5,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S000003561-2021,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,0,2,0,0,0,13,0,0,717,7,12,18,6,6,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003561-2022,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,0,2,0,0,0,12,0,0,709,8,9,19,5,5,3,6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003561-2023,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,2,0,0,1,15,0,0,20,677,11,12,12,7,2,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003561-2024,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,4,0,5,0,20,0,250,0,711,13,8,23,5,3,2,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003562-2021,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,2,0,5,0,17,0,397,397,16,5,9,3,3,5,3,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,단순설치,미설치,단순설치
S000003562-2022,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,2,5,5,0,19,398,79,399,16,5,9,3,3,5,3,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치
S000003562-2023,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,2,5,5,0,20,364,79,355,16,18,18,10,8,3,6,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치
S000003562-2024,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,0,2,5,5,0,20,335,80,0,0,0,0,0,0,0,0,단순설치,적정설치,적정설치,단순설치,단순설치,미설치,단순설치,단순설치,단순설치,단순설치,단순설치
S000003563-2021,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,39,0,0,0,623,0,0,0,620,4,0,4,0,1,0,0,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치
S000003563-2022,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,2,35,35,35,70,617,617,617,617,4,4,4,4,4,4,4,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치
S000003563-2023,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,3,30,30,33,77,610,610,610,607,12,11,8,10,4,2,2,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치
S000003563-2024,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,6,30,30,30,80,600,600,600,588,14,15,10,8,4,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003610-2021,서울특별시 종로구,S000003610,서울맹학교,0,0,0,20,0,0,0,87,105,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003610-2022,서울특별시 종로구,S000003610,서울맹학교,0,0,0,20,0,0,0,80,110,8,8,5,2,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003610-2023,서울특별시 종로구,S000003610,서울맹학교,0,0,0,20,0,0,0,80,107,5,5,6,7,2,7,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003610-2024,서울특별시 종로구,S000003610,서울맹학교,0,0,0,20,0,0,0,80,104,10,10,11,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005401-2021,서울특별시 금천구,S000005401,국립전통예술고등학교,0,0,0,0,0,0,0,0,527,10,10,10,5,5,2,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005401-2022,서울특별시 금천구,S000005401,국립전통예술고등학교,0,0,0,0,0,0,0,0,526,8,8,5,2,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005401-2023,서울특별시 금천구,S000005401,국립전통예술고등학교,2,0,0,0,10,0,0,0,523,8,8,5,5,4,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005401-2024,서울특별시 금천구,S000005401,국립전통예술고등학교,0,0,0,2,0,0,0,10,518,11,10,17,8,2,1,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005402-2021,서울특별시 금천구,S000005402,국립전통예술중학교,0,0,0,18,0,0,0,34,219,12,8.6,19.3,4.4,2,3,2.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005402-2022,서울특별시 금천구,S000005402,국립전통예술중학교,2,2,26,2,34,16,219,16,222,14,10,15,6,4,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005402-2023,서울특별시 금천구,S000005402,국립전통예술중학교,2,2,26,2,34,16,221,16,222,9,7,8,10,2,2,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000005402-2024,서울특별시 금천구,S000005402,국립전통예술중학교,2,2,26,2,34,16,214,16,214,9,7,8,6,4,2,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000370-2021,서울특별시 송파구,S010000370,가락고등학교,0,2,0,0,0,16,0,0,823,11,12,12,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S010000370-2022,서울특별시 송파구,S010000370,가락고등학교,0,2,0,0,0,16,0,0,822,12,12,12,6,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000370-2023,서울특별시 송파구,S010000370,가락고등학교,0,0,1,0,0,0,761,0,767,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000370-2024,서울특별시 송파구,S010000370,가락고등학교,0,0,1,0,0,0,761,0,765,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000371-2021,서울특별시 강동구,S010000371,강동고등학교,0,1,0,0,0,24,0,0,609,2,2,2,1,0,1,3,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치
S010000371-2022,서울특별시 강동구,S010000371,강동고등학교,1,1,1,1,22,22,22,22,604,4,4,2,2,2,1,1,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000371-2023,서울특별시 강동구,S010000371,강동고등학교,1,1,1,1,24,24,24,24,615,10,8,16,5,1,1,2,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000371-2024,서울특별시 강동구,S010000371,강동고등학교,1,1,1,1,28,28,28,28,672,10,10,10,7,3,5,2,적정설치,적정설치,적정설치,단순설치,단순설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000372-2021,서울특별시 양천구,S010000372,강서고등학교,0,0,0,18,0,0,0,62,980,10,10,12.4,2,1.6,2,2,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치
S010000372-2022,서울특별시 양천구,S010000372,강서고등학교,11,0,0,11,1007,0,0,1007,1004,10,11,12.4,2.6,2,2,1,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치
S010000372-2023,서울특별시 양천구,S010000372,강서고등학교,36,0,0,11,1014,0,0,1014,992,8,8,8.5,2,3.5,1,1,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치
S010000372-2024,서울특별시 양천구,S010000372,강서고등학교,36,0,0,11,1014,0,0,1014,1014,8,7,14,3,3,1,1,미설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,미설치,미설치
S010000373-2021,서울특별시 강남구,S010000373,개포고등학교,1,1,1,0,15,15,14,0,622,10,10,10,6,4,3,0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치
S010000373-2022,서울특별시 강남구,S010000373,개포고등학교,2,0,6,0,30,0,590,0,642,15,10,16,5,5,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치
S010000373-2023,서울특별시 강남구,S010000373,개포고등학교,2,0,6,0,40,0,590,0,639,10,8,12,2,3,1,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치
S010000373-2024,서울특별시 강남구,S010000373,개포고등학교,2,0,6,0,40,0,590,0,693,12,8,17,4,4,3,2,단순설치,적정설치,단순설치,단순설치,적정설치,단순설치,적정설치,적정설치,단순설치,미설치,미설치
S010000374-2021,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,0,0,0,0,0,0,0,0,1016,10,5,4,2,2,2,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치
S010000374-2022,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,36,0,0,0,1002,0,0,0,1001,4,5,6,1,2,2,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치
S010000374-2023,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,36,0,0,0,966,0,0,0,966,7,5,12,4,2,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치
S010000374-2024,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,36,0,0,0,985,0,0,0,986,10,10,10,10,2,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치
S010000375-2021,서울특별시 강남구,S010000375,경기고등학교,0,0,0,0,0,0,0,0,1156,10,10,10,5,5,5,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000375-2022,서울특별시 강남구,S010000375,경기고등학교,0,0,0,0,0,0,0,0,1101,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000375-2023,서울특별시 강남구,S010000375,경기고등학교,0,0,0,0,0,0,0,0,1065,10,10,10,1,1,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000375-2024,서울특별시 강남구,S010000375,경기고등학교,0,0,0,0,0,0,0,0,1063,10,10,10,7,6,3,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000376-2021,서울특별시 강남구,S010000376,경기여자고등학교,0,2,0,0,0,24,0,0,1090,8,5,6,3,3,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000376-2022,서울특별시 강남구,S010000376,경기여자고등학교,0,1,0,1,0,20,0,5,1095,15,7.6,9.6,3,2,3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000376-2023,서울특별시 강남구,S010000376,경기여자고등학교,0,1,0,1,0,20,0,5,1065,12,10,14.3,8,8,1.7,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000376-2024,서울특별시 강남구,S010000376,경기여자고등학교,0,1,0,1,0,17,0,22,1094,11,10,16,6,4,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000377-2021,서울특별시 성북구,S010000377,경동고등학교,0,0,0,0,0,0,0,0,513,14,18,18,24,14,5,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000377-2022,서울특별시 성북구,S010000377,경동고등학교,0,0,0,0,0,0,0,0,533,14,18,18,18,18,5,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000377-2023,서울특별시 성북구,S010000377,경동고등학교,0,0,0,0,0,0,0,0,533,18,18,18,18,18,5,5,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치
S010000377-2024,서울특별시 성북구,S010000377,경동고등학교,0,0,0,0,0,0,0,0,542,24,24,15,14,14,3,4,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치
S010000378-2021,서울특별시 동작구,S010000378,경문고등학교,0,0,0,26,0,0,0,542,542,10,10,10,5,5,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010000378-2022,서울특별시 동작구,S010000378,경문고등학교,0,0,0,33,0,0,0,568,576,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010000378-2023,서울특별시 동작구,S010000378,경문고등학교,0,0,0,31,0,0,0,590,624,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010000378-2024,서울특별시 동작구,S010000378,경문고등학교,0,1,0,0,0,14,0,0,649,10,10,8,5,5,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010000379-2021,서울특별시 종로구,S010000379,경복고등학교,0,1,0,0,0,7,0,0,726,10,10,12,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000379-2022,서울특별시 종로구,S010000379,경복고등학교,0,0,0,0,0,0,0,0,652,9,9,9,3,4,4,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000379-2023,서울특별시 종로구,S010000379,경복고등학교,0,0,0,0,0,0,0,0,596,13,10,11,10,4,3,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000379-2024,서울특별시 종로구,S010000379,경복고등학교,0,1,0,0,0,11,0,0,589,13,10,11,11,4,3,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000380-2021,서울특별시 강서구,S010000380,경복여자고등학교,0,1,0,0,0,20,0,0,669,11,10,12,4,6,5,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,적정설치,단순설치,단순설치,미설치
S010000380-2022,서울특별시 강서구,S010000380,경복여자고등학교,1,0,0,0,24,0,0,0,643,11,8,14,5,4,5,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,단순설치,미설치
S010000380-2023,서울특별시 강서구,S010000380,경복여자고등학교,1,0,0,0,17,0,0,0,602,8,8,10,6,4,3,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,단순설치,단순설치,미설치
S010000380-2024,서울특별시 강서구,S010000380,경복여자고등학교,1,0,0,0,14,0,0,0,604,10,10,11,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,단순설치
S010000381-2021,서울특별시 마포구,S010000381,경성고등학교,0,0,0,0,0,0,0,0,664,10,10,7,5,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
S010000381-2022,서울특별시 마포구,S010000381,경성고등학교,0,0,0,0,0,0,0,0,637,5,5,10,3,3,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000381-2023,서울특별시 마포구,S010000381,경성고등학교,0,0,0,0,0,0,0,0,638,5,5,10,6,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000381-2024,서울특별시 마포구,S010000381,경성고등학교,0,0,0,0,0,0,0,0,639,5,5,10,6,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000382-2021,서울특별시 종로구,S010000382,경신고등학교,3,3,0,3,567,567,0,567,565,8,8,5,2,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000382-2022,서울특별시 종로구,S010000382,경신고등학교,2,2,2,2,480,480,480,480,498,8,8,5,2,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000382-2023,서울특별시 종로구,S010000382,경신고등학교,0,0,2,24,0,0,458,458,465,8,8,5,2,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000382-2024,서울특별시 종로구,S010000382,경신고등학교,0,0,2,24,0,0,466,466,463,9,8,6,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000383-2021,서울특별시 구로구,S010000383,경인고등학교,0,0,0,0,0,0,0,0,1081,15,12,11,5,6,5,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000383-2022,서울특별시 구로구,S010000383,경인고등학교,1,0,0,0,30,0,0,0,1075,12,16,16,6,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000383-2023,서울특별시 구로구,S010000383,경인고등학교,1,0,0,0,30,0,0,0,1079,12,16,16,4,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000383-2024,서울특별시 구로구,S010000383,경인고등학교,1,0,0,0,21,0,0,0,1095,12,16,16,5,5,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000384-2021,서울특별시 동대문구,S010000384,경희고등학교,0,0,0,0,0,0,0,0,736,2,1,14,2,4,2,2,적정설치,적정설치,적정설치,단순설치,적정설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000384-2022,서울특별시 동대문구,S010000384,경희고등학교,0,0,0,0,0,0,0,0,727,1,1,9,5,2,0,4,적정설치,적정설치,적정설치,단순설치,적정설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000384-2023,서울특별시 동대문구,S010000384,경희고등학교,0,0,0,0,0,0,0,0,707,36,8,36,12,12,0,10,적정설치,적정설치,적정설치,단순설치,적정설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000384-2024,서울특별시 동대문구,S010000384,경희고등학교,0,0,0,0,0,0,0,0,726,10,11,12,10,2,2,5,적정설치,적정설치,적정설치,단순설치,적정설치,미설치,적정설치,적정설치,미설치,미설치,적정설치
S010000385-2021,서울특별시 동대문구,S010000385,경희여자고등학교,0,1,0,0,0,22,0,0,463,20,20,14,10,8,6,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000385-2022,서울특별시 동대문구,S010000385,경희여자고등학교,1,0,0,1,12,0,0,10,442,16,16,12,6,6,4,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000385-2023,서울특별시 동대문구,S010000385,경희여자고등학교,1,0,0,1,12,0,0,10,390,16,16,12,10,8,4,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000385-2024,서울특별시 동대문구,S010000385,경희여자고등학교,1,0,0,1,12,0,0,10,369,16,16,12,12,8,4,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000386-2021,서울특별시 성북구,S010000386,계성고등학교,0,1,1,0,0,13,30,0,851,14,14,12,2,2,4,7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
